"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","L_HorizDD_use","~","L_VertDD_use",0.906421158896084,0.0378185898604436,23.9676085819413,0,0.832298084823523,0.980544232968645
"2","L_HorizDD_use","~","L_DpthMx_mod",-0.00622300900687661,0.056724175933415,-0.109706468264632,0.91264217045081,-0.117400350889084,0.10495433287533
"3","L_HorizDD_use","~","L_LkAreakm2",-0.0039425687390708,0.0634808881069399,-0.0621063891297354,0.950478109033179,-0.12836282313529,0.120477685657148
"4","L_HorizDD_use","~","L_SLD",-0.0288597902411538,0.062013932102771,-0.465375912517959,0.641662280665311,-0.150404863702297,0.0926852832199897
"5","L_HorizDD_use","~","bffFlat_grad",0.236488585248987,0.0349233367168944,6.77164920311249,1.27322596910062e-11,0.168040103063909,0.304937067434065
"6","L_HorizDD_use","~","Temp_degC_avg_yr",-0.0246296965012359,0.0526605572286345,-0.467706720122653,0.639994334732005,-0.12784249207517,0.0785830990726981
"7","L_HorizDD_use","~","Precip_mm_total_yr_sc",0.156395135823989,0.0307648178155183,5.08357100509469,3.70404018790182e-07,0.0960972009146374,0.216693070733342
"8","L_HorizDD_use","~","PHDI",-0.0762349162216627,0.0589906159882716,-1.29232276938453,0.196245389899476,-0.191854398984508,0.0393845665411823
"9","L_HorizDD_use","~","HydrAP",0.0339929049420478,0.0383536843621503,0.886300899310576,0.375455404574088,-0.0411789350821839,0.109164744966279
"10","L_VertDD_use","~","L_LkAreakm2",0.219869293353631,0.0931650841817368,2.35999672285738,0.0182750965021343,0.0372690837407846,0.402469502966477
"11","L_VertDD_use","~","L_DpthMx_mod",0.143101888094173,0.0605662666451771,2.36273252456726,0.0181407572365435,0.0243941867915765,0.26180958939677
"12","L_VertDD_use","~","L_SLD",0.054082224912326,0.0990559582573937,0.545976495142221,0.585082094383184,-0.140063885726269,0.248228335550921
"13","L_VertDD_use","~","L_EI",-0.00327432552710006,0.0687123750344768,-0.0476526320834806,0.961993085304501,-0.137948105886884,0.131399454832684
"14","L_VertDD_use","~","L_inflow",-0.0781998718604207,0.0686034582273253,-1.13988235988478,0.25433531511688,-0.212660179200876,0.0562604354800349
"15","L_VertDD_use","~","BFIWs",0.05356725988967,0.0624821464780872,0.857321057439286,0.391267474060204,-0.068895496884137,0.176030016663477
"16","L_VertDD_use","~","Temp_degC_avg_yr",0.1646589265415,0.0924559602300177,1.78094442080155,0.0749215308524001,-0.0165514256654025,0.345869278748402
"17","L_VertDD_use","~","Precip_mm_total_yr_sc",-0.35843336594992,0.0540949994402813,-6.62599814508948,3.44908546168199e-11,-0.464457616596586,-0.252409115303255
"18","L_VertDD_use","~","PHDI",0.135737528055049,0.0812617001310396,1.67037519318651,0.094845154533566,-0.0235324775242822,0.29500753363438
"19","L_VertDD_use","~","HydrAP",0.0796166955562962,0.0648968075958169,1.22681990849467,0.21989028641893,-0.0475787100431302,0.206812101155723
"20","L_EI","~","L_LkAreakm2",0.0109799214230573,0.0680046184637358,0.161458466661532,0.87173232091434,-0.122306681548253,0.144266524394367
"21","L_EI","~","L_DpthMx_mod",-0.287914899820225,0.0759477870436554,-3.79095838111424,0.0001500671016752,-0.436769827131307,-0.139059972509142
"22","L_EI","~","bffFlat_grad",-0.00439940323612084,0.071902593130541,-0.0611855990803226,0.951211398513082,-0.145325896167018,0.136527089694777
