"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","L_HorizDD_use","~","L_VertDD_use",0.67428610725906,0.0843386911443214,7.99497950596853,1.33226762955019e-15,0.508985310112942,0.839586904405177
"2","L_HorizDD_use","~","L_DpthMx_mod",-0.0239597942614811,0.0560645578355076,-0.427360799522912,0.669116554951113,-0.133844308428239,0.0859247199052767
"3","L_HorizDD_use","~","L_LkAreakm2",0.189824301258923,0.120253342689482,1.57853658795239,0.114442389511434,-0.0458679194330137,0.42551652195086
"4","L_HorizDD_use","~","L_SLD",-0.219811526330317,0.0789278897928787,-2.78496646631682,0.00535332590992077,-0.374507347700105,-0.065115704960528
"5","L_HorizDD_use","~","bffFlat_grad",0.0864020874220456,0.0500458445919582,1.72645877248177,0.0842649101966253,-0.0116859655540811,0.184490140398172
"6","L_HorizDD_use","~","Temp_degC_avg_yr",-0.0313898951054299,0.0645244903338218,-0.486480326199126,0.62662665088427,-0.157855572280523,0.0950757820696635
"7","L_HorizDD_use","~","Precip_mm_total_yr_sc",-0.0195351189977656,0.0448786108825515,-0.435287960424835,0.663353422775665,-0.107495580003754,0.0684253420082225
"8","L_HorizDD_use","~","PHDI",-0.440561132595528,0.179800212146098,-2.45028149487136,0.0142744570939133,-0.792963072814541,-0.0881591923765149
"9","L_HorizDD_use","~","HydrAP",0.0607169832379967,0.0839464329204206,0.723282468661356,0.469506361292874,-0.103815001916635,0.225248968392629
"10","L_HorizDD_use","~","hydrap_phdi",0.28950213193664,0.17099274001906,1.69306680449925,0.0904427520091518,-0.0456374801185371,0.624641743991818
"11","L_VertDD_use","~","L_LkAreakm2",0.0886185603594203,0.134859203255651,0.657119115492825,0.511104328603715,-0.175700621005422,0.352937741724263
"12","L_VertDD_use","~","L_DpthMx_mod",0.204610190765246,0.10373164672066,1.97249534962307,0.0485530866600439,0.0012998991357191,0.407920482394772
"13","L_VertDD_use","~","L_SLD",0.0932668072767236,0.131980078299811,0.70667337433196,0.479769479488624,-0.165409392867682,0.351943007421129
"14","L_VertDD_use","~","L_EI",-0.0665831900545499,0.115374593758939,-0.577104437686405,0.563868906726479,-0.29271323855301,0.15954685844391
"15","L_VertDD_use","~","L_inflow",0.0202756174800634,0.119294161269535,0.169963200749218,0.865039077070704,-0.213536642174137,0.254087877134264
"16","L_VertDD_use","~","BFIWs",0.0550879345905783,0.14135750831406,0.389706463049611,0.696753616823435,-0.221967690649301,0.332143559830457
"17","L_VertDD_use","~","Temp_degC_avg_yr",0.188872880110067,0.139739067547786,1.35161113799102,0.176499745375816,-0.0850106595168039,0.462756419736937
"18","L_VertDD_use","~","Precip_mm_total_yr_sc",-0.16890440011236,0.11683213347066,-1.4457015813614,0.148260920629014,-0.397891173951831,0.0600823737271104
