"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","L_HorizDD_use","~","L_VertDD_use","a",0.744934468797438,0.0452351861737977,16.4680314553218,0,0.65627513306283,0.833593804532045
"2","L_HorizDD_use","~","L_DpthMx_mod","l",-0.11914664274904,0.0328627514860397,-3.62558329297699,0.000288309947505283,-0.183556452094568,-0.0547368334035123
"3","L_HorizDD_use","~","L_LkAreakm2","o",0.00347241855780854,0.064396198710537,0.0539227256785323,0.956996730530728,-0.122741811656129,0.129686648771746
"4","L_HorizDD_use","~","L_SLD","r",-0.00776206489653421,0.0480241887702028,-0.161628235589276,0.87159862087439,-0.101887745272885,0.0863636154798162
"5","L_HorizDD_use","~","bffFlat_grad","t",0.1694585710533,0.0281071830942049,6.02901295677113,1.64964064630624e-09,0.114369504481785,0.224547637624814
"6","L_HorizDD_use","~","Temp_degC_avg_yr","z",-0.114177660574757,0.0666214708705799,-1.71382677510319,0.0865605444293656,-0.244753344078178,0.0163980229286639
"7","L_HorizDD_use","~","Precip_mm_total_yr_sc","e",-0.0193979606292616,0.0390077515955511,-0.497284766125152,0.618988252890577,-0.0958517488744266,0.0570558276159033
"8","L_HorizDD_use","~","PHDI_inv","d",0.00762335093200014,0.0699375583104136,0.109002245948655,0.913200708942151,-0.129451744523081,0.144698446387081
"9","L_HorizDD_use","~","HydrAP","g",-0.0193676654565231,0.0450171513846685,-0.430228587567164,0.667029368550079,-0.107599660857061,0.0688643299440145
"10","L_HorizDD_use","~","hydrap_phdiinv","delta",0.0376795941745374,0.0591965460290506,0.636516768327095,0.52443965515067,-0.0783435040515693,0.153702692400644
"11","L_VertDD_use","~","L_LkAreakm2","p",0.263758191264613,0.0648643247158471,4.06630597666847,4.77642160137126e-05,0.136626450940042,0.390889931589185
"12","L_VertDD_use","~","L_DpthMx_mod","m",0.0199073711935553,0.0532177878892204,0.37407363182767,0.708349535683614,-0.0843975764062085,0.124212318793319
"13","L_VertDD_use","~","L_SLD","s",0.00712539009893246,0.0698661419607682,0.101986311236902,0.918767540476172,-0.129809731882936,0.144060512080801
"14","L_VertDD_use","~","L_EI","h",0.20689728591715,0.0522877139632011,3.95690058400258,7.59285115992103e-05,0.104415249715344,0.309379322118956
"15","L_VertDD_use","~","L_inflow","v",0.160430065146055,0.0703457056940324,2.28059500666385,0.0225724230542039,0.0225550155186976,0.298305114773413
"16","L_VertDD_use","~","BFIWs","y",-0.159996306768707,0.0631138885475407,-2.53504118429003,0.0112434106640902,-0.283697255246161,-0.0362953582912518
"17","L_VertDD_use","~","Temp_degC_avg_yr","j",0.290917220513535,0.0987113691371489,2.94715009077968,0.00320717493729594,0.0974464921400847,0.484387948886986
"18","L_VertDD_use","~","Precip_mm_total_yr_sc","c",0.00922263692799248,0.0767725087775644,0.120129419695187,0.90438062759465,-0.141248715278819,0.159693989134804
"19","L_VertDD_use","~","PHDI_inv","b",0.475484886012546,0.083839779018328,5.67135185206775,1.41675084996962e-08,0.311161938664826,0.639807833360265
"20","L_VertDD_use","~","HydrAP","f",-0.189332969193246,0.0677044400706392,-2.7964631122524,0.00516653084121343,-0.322031233325149,-0.0566347050613426
"21","L_VertDD_use","~","hydrap_phdiinv","eps",-0.311620207002791,0.0856903379490256,-3.63658510937561,0.000276276386154128,-0.479570183205947,-0.143670230799635
"22","L_EI","~","L_LkAreakm2","q",0.0459521681313024,0.047113469007186,0.975350979234695,0.329386190905215,-0.0463885343095263,0.138292870572131
"23","L_EI","~","L_DpthMx_mod","n",-0.200038900597324,0.0463455570778103,-4.31624762350952,1.58703940591476e-05,-0.290874523313277,-0.10920327788137
"24","L_EI","~","bffFlat_grad","u",0.0577991021214702,0.0342536986467821,1.68738280550325,0.0915297679085105,-0.00933691356351112,0.124935117806452
"25","L_EI","~","L_inflow","w",-0.520985946965177,0.0529585199374959,-9.83762287125978,0,-0.624782738717215,-0.417189155213138
"26","L_EI","~","BFIWs","x",-0.0812621332189007,0.0558296655171433,-1.45553680943956,0.145520707463052,-0.190686266901419,0.0281620004636179
"27","L_EI","~","Temp_degC_avg_yr","i",-0.035622982328904,0.0895064398225054,-0.397993511970153,0.690634968263727,-0.211052380765416,0.139806416107608
"28","L_EI","~","Precip_mm_total_yr_sc","alpha",-0.0633908568719229,0.074717776068203,-0.848403956965464,0.396213039729857,-0.20983500697053,0.0830532932266838
"29","L_EI","~","PHDI_inv","beta",-0.0668425886456547,0.0716576542132717,-0.932804588421412,0.350920871718516,-0.207289010120292,0.0736038328289825
