Type,Subpopulation,Indicator,Statistic,NResp,Estimate,StdError,LCB95Pct,UCB95Pct,Lake_origin,ECO
National,All_Lakes,vert,5Pct,112,0,,0,0,,
National,All_Lakes,vert,10Pct,112,0,,0,0,,
National,All_Lakes,vert,25Pct,143,0.036889795,,0,0.075511246,,
National,All_Lakes,vert,50Pct,362,0.179569217,,0.136576037,0.197857962,,
National,All_Lakes,vert,75Pct,581,0.335335914,,0.300959227,0.458994074,,
National,All_Lakes,vert,90Pct,792,0.966308813,,0.679170195,1.099203663,,
National,All_Lakes,vert,95Pct,851,1.497908974,,0.996271772,2.592557308,,
National,All_Lakes,vert,Mean,959,0.387803693,0.034552701,0.320081643,0.455525743,,
National,All_Lakes,vert,Variance,959,1.226820035,0.423526964,0.39672244,2.05691763,,
National,All_Lakes,vert,Std. Deviation,959,1.107619084,0.191188004,0.732897482,1.482340686,,
Lake_Origin,MAN_MADE,vert,5Pct,61,0,,0,0,,
Lake_Origin,MAN_MADE,vert,10Pct,61,0,,0,0,,
Lake_Origin,MAN_MADE,vert,25Pct,78,0.048168759,,0,0.097897973,,
Lake_Origin,MAN_MADE,vert,50Pct,211,0.208581124,,0.178205141,0.262015183,,
Lake_Origin,MAN_MADE,vert,75Pct,332,0.494108304,,0.325539121,0.681576276,,
Lake_Origin,MAN_MADE,vert,90Pct,436,1.141583965,,0.791755276,1.846965202,,
Lake_Origin,MAN_MADE,vert,95Pct,470,1.846374224,,1.144692931,25.22456135,,
Lake_Origin,MAN_MADE,vert,Mean,547,0.52915174,0.057685206,0.416090814,0.642212667,,
Lake_Origin,MAN_MADE,vert,Variance,547,2.621502919,1.057102123,0.549620831,4.693385007,,
Lake_Origin,MAN_MADE,vert,Std. Deviation,547,1.619105592,0.326446319,0.979282563,2.258928621,,
Lake_Origin,NATURAL,vert,5Pct,51,0,,0,0,,
Lake_Origin,NATURAL,vert,10Pct,51,0,,0,0,,
Lake_Origin,NATURAL,vert,25Pct,64,0.029667089,,0,0.059246149,,
Lake_Origin,NATURAL,vert,50Pct,150,0.117673965,,0.097534666,0.187740187,,
Lake_Origin,NATURAL,vert,75Pct,279,0.30781913,,0.294518991,0.393187795,,
Lake_Origin,NATURAL,vert,90Pct,362,0.686766028,,0.491118314,0.989238149,,
Lake_Origin,NATURAL,vert,95Pct,376,0.996545539,,0.796480308,2.613312446,,
Lake_Origin,NATURAL,vert,Mean,412,0.286917636,0.041113096,0.206337448,0.367497823,,
Lake_Origin,NATURAL,vert,Variance,412,0.206938046,0.082757896,0.044735549,0.369140542,,
Lake_Origin,NATURAL,vert,Std. Deviation,412,0.454904436,0.090961848,0.276622489,0.633186382,,
WSA9_Ecoregions,CPL,vert,5Pct,16,0,,0,0,,
WSA9_Ecoregions,CPL,vert,10Pct,16,0,,0,0,,
WSA9_Ecoregions,CPL,vert,25Pct,16,0,,0,0.038143647,,
WSA9_Ecoregions,CPL,vert,50Pct,30,0.100408833,,0,0.291308355,,
WSA9_Ecoregions,CPL,vert,75Pct,72,0.538973757,,0.28942155,0.987266963,,
WSA9_Ecoregions,CPL,vert,90Pct,77,0.996359085,,0.791188134,3.1,,
WSA9_Ecoregions,CPL,vert,95Pct,83,1.498691879,,0.976573309,3.1,,
WSA9_Ecoregions,CPL,vert,Mean,87,0.418767478,0.113576987,0.196160673,0.641374283,,
WSA9_Ecoregions,CPL,vert,Variance,87,0.4659484,0.233654558,0.007993881,0.92390292,,
WSA9_Ecoregions,CPL,vert,Std. Deviation,87,0.682604131,0.171149388,0.347157495,1.018050767,,
WSA9_Ecoregions,NAP,vert,5Pct,9,0.011006468,,0,0.091274454,,
WSA9_Ecoregions,NAP,vert,10Pct,14,0.09244909,,0.011730258,0.097198299,,
WSA9_Ecoregions,NAP,vert,25Pct,30,0.136342301,,0.097173214,0.210050265,,
WSA9_Ecoregions,NAP,vert,50Pct,54,0.244934407,,0.199938651,0.32494619,,
WSA9_Ecoregions,NAP,vert,75Pct,71,0.391018824,,0.295461533,1.830105789,,
WSA9_Ecoregions,NAP,vert,90Pct,89,1.830045162,,0.391482706,1.85,,
WSA9_Ecoregions,NAP,vert,95Pct,89,1.840022581,,0.398578211,1.85,,
WSA9_Ecoregions,NAP,vert,Mean,91,0.411993468,0.121168852,0.174506882,0.649480053,,
WSA9_Ecoregions,NAP,vert,Variance,91,0.257266149,0.151576433,0,0.554350499,,
WSA9_Ecoregions,NAP,vert,Std. Deviation,91,0.507214106,0.149420562,0.214355186,0.800073025,,
WSA9_Ecoregions,NPL,vert,5Pct,10,0,,0,0.022295473,,
WSA9_Ecoregions,NPL,vert,10Pct,10,0.019512369,,0,0.02630825,,
WSA9_Ecoregions,NPL,vert,25Pct,13,0.092121476,,0,0.490024586,,
WSA9_Ecoregions,NPL,vert,50Pct,30,0.491703258,,0.094346912,0.497118923,,
WSA9_Ecoregions,NPL,vert,75Pct,30,0.49779563,,0.491321032,5,,
WSA9_Ecoregions,NPL,vert,90Pct,49,1.18318884,,0.499786188,1.884880693,,
WSA9_Ecoregions,NPL,vert,95Pct,55,1.779327368,,1.185414692,4.914856231,,
WSA9_Ecoregions,NPL,vert,Mean,63,0.47930306,0.072187054,0.337819034,0.620787086,,
WSA9_Ecoregions,NPL,vert,Variance,63,0.304545854,0.083858363,0.140186483,0.468905224,,
WSA9_Ecoregions,NPL,vert,Std. Deviation,63,0.551856733,0.075978381,0.402941842,0.700771624,,
WSA9_Ecoregions,SAP,vert,5Pct,10,0,,0,0.03679274,,
WSA9_Ecoregions,SAP,vert,10Pct,10,0,,0,0.092912262,,
WSA9_Ecoregions,SAP,vert,25Pct,19,0.090473459,,0,0.158208757,,
WSA9_Ecoregions,SAP,vert,50Pct,34,0.187097366,,0.138621773,0.19871499,,
WSA9_Ecoregions,SAP,vert,75Pct,46,0.217575386,,0.194405102,0.686263643,,
WSA9_Ecoregions,SAP,vert,90Pct,82,0.688355232,,0.246567229,7,,
WSA9_Ecoregions,SAP,vert,95Pct,89,0.874675073,,0.694877227,1.465440713,,
WSA9_Ecoregions,SAP,vert,Mean,109,0.284461918,0.044370968,0.197496419,0.371427416,,
WSA9_Ecoregions,SAP,vert,Variance,109,0.296544877,0.113076657,0.074918701,0.518171052,,
WSA9_Ecoregions,SAP,vert,Std. Deviation,109,0.544559342,0.103823999,0.341068043,0.748050641,,
WSA9_Ecoregions,SPL,vert,5Pct,23,0,,0,0,,
WSA9_Ecoregions,SPL,vert,10Pct,23,0,,0,0,,
WSA9_Ecoregions,SPL,vert,25Pct,23,0,,0,0.091185077,,
WSA9_Ecoregions,SPL,vert,50Pct,49,0.157175956,,0,0.493989811,,
WSA9_Ecoregions,SPL,vert,75Pct,92,0.576511351,,0.296732201,1.491420661,,
WSA9_Ecoregions,SPL,vert,90Pct,109,1.198206658,,0.741855713,6,,
WSA9_Ecoregions,SPL,vert,95Pct,113,1.497001549,,0.74932004,6,,
WSA9_Ecoregions,SPL,vert,Mean,120,0.433375373,0.095581223,0.246039617,0.620711128,,
WSA9_Ecoregions,SPL,vert,Variance,120,0.417306384,0.148461133,0.126327911,0.708284857,,
WSA9_Ecoregions,SPL,vert,Std. Deviation,120,0.645992557,0.114909321,0.420774426,0.871210688,,
WSA9_Ecoregions,TPL,vert,5Pct,18,0,,0,0,,
WSA9_Ecoregions,TPL,vert,10Pct,18,0,,0,0.050214352,,
WSA9_Ecoregions,TPL,vert,25Pct,25,0.058365154,,0.04645046,0.114366313,,
WSA9_Ecoregions,TPL,vert,50Pct,69,0.168757267,,0.105227393,0.29173038,,
WSA9_Ecoregions,TPL,vert,75Pct,95,0.296733212,,0.200690955,0.498723403,,
WSA9_Ecoregions,TPL,vert,90Pct,113,0.494824119,,0.314020576,1.014912488,,
WSA9_Ecoregions,TPL,vert,95Pct,122,0.618203316,,0.49741001,1.041235273,,
WSA9_Ecoregions,TPL,vert,Mean,131,0.244138418,0.025358757,0.194436168,0.293840668,,
WSA9_Ecoregions,TPL,vert,Variance,131,0.089658161,0.026968166,0.036801526,0.142514795,,
WSA9_Ecoregions,TPL,vert,Std. Deviation,131,0.299429726,0.045032546,0.211167557,0.387691895,,
WSA9_Ecoregions,UMW,vert,5Pct,21,0,,0,0,,
WSA9_Ecoregions,UMW,vert,10Pct,21,0,,0,0,,
WSA9_Ecoregions,UMW,vert,25Pct,21,0,,0,0.037073088,,
WSA9_Ecoregions,UMW,vert,50Pct,50,0.095219613,,0.050206507,0.110398272,,
WSA9_Ecoregions,UMW,vert,75Pct,104,0.293590926,,0.177969042,0.317301619,,
WSA9_Ecoregions,UMW,vert,90Pct,127,0.45860672,,0.31471952,1.334404199,,
WSA9_Ecoregions,UMW,vert,95Pct,139,0.974264629,,0.398971868,2.66,,
WSA9_Ecoregions,UMW,vert,Mean,144,0.240633425,0.067616086,0.108108332,0.373158519,,
WSA9_Ecoregions,UMW,vert,Variance,144,0.245095309,0.14906699,0,0.537261241,,
WSA9_Ecoregions,UMW,vert,Std. Deviation,144,0.495071014,0.150551119,0.199996243,0.790145785,,
WSA9_Ecoregions,WMT,vert,5Pct,4,0.017088059,,0,0.089001027,,
WSA9_Ecoregions,WMT,vert,10Pct,13,0.089317882,,0.016147628,0.111798103,,
WSA9_Ecoregions,WMT,vert,25Pct,27,0.185030272,,0.089886629,0.238367507,,
WSA9_Ecoregions,WMT,vert,50Pct,44,0.32708842,,0.235376407,0.495656984,,
WSA9_Ecoregions,WMT,vert,75Pct,79,0.79954662,,0.469752974,1.085780246,,
WSA9_Ecoregions,WMT,vert,90Pct,91,1.099166314,,0.979392023,24.19697218,,
