Type,Subpopulation,Indicator,Statistic,NResp,Estimate,StdError,LCB95Pct,UCB95Pct,Lake type,eco
National,All_Lakes,lkarea_km,5Pct,7,0.043530239,,0.041892233,0.045533026,,
National,All_Lakes,lkarea_km,10Pct,12,0.047133165,,0.043917256,0.05076744,,
National,All_Lakes,lkarea_km,25Pct,35,0.065217827,,0.059381908,0.070937577,,
National,All_Lakes,lkarea_km,50Pct,141,0.140263659,,0.117854004,0.174353202,,
National,All_Lakes,lkarea_km,75Pct,351,0.380058265,,0.35107494,0.44458642,,
National,All_Lakes,lkarea_km,90Pct,661,1.406098214,,1.035106713,1.859342092,,
National,All_Lakes,lkarea_km,95Pct,772,3.04649504,,2.502960109,4.282746487,,
National,All_Lakes,lkarea_km,Mean,1028,1.680285521,0.264809628,1.161268188,2.199302853,,
National,All_Lakes,lkarea_km,Variance,1028,628.7846558,262.2781564,114.7289153,1142.840396,,
National,All_Lakes,lkarea_km,Std. Deviation,1028,25.07557887,5.229752776,14.82545178,35.32570596,,
Lake_Origin,MAN_MADE,lkarea_km,5Pct,3,0.04263544,,0.040366747,0.043846963,,
Lake_Origin,MAN_MADE,lkarea_km,10Pct,6,0.043903267,,0.041766451,0.050205528,,
Lake_Origin,MAN_MADE,lkarea_km,25Pct,16,0.059056791,,0.050333464,0.065935067,,
Lake_Origin,MAN_MADE,lkarea_km,50Pct,36,0.097183302,,0.077739018,0.126190831,,
Lake_Origin,MAN_MADE,lkarea_km,75Pct,154,0.267372442,,0.210278571,0.342571962,,
Lake_Origin,MAN_MADE,lkarea_km,90Pct,338,0.956810471,,0.699832946,1.665353988,,
Lake_Origin,MAN_MADE,lkarea_km,95Pct,434,3.682035883,,2.140439391,6.429641356,,
Lake_Origin,MAN_MADE,lkarea_km,Mean,594,1.760294801,0.350036825,1.074235232,2.446354371,,
Lake_Origin,MAN_MADE,lkarea_km,Variance,594,582.019319,371.6197567,0,1310.380658,,
Lake_Origin,MAN_MADE,lkarea_km,Std. Deviation,594,24.12507656,7.701939427,9.02955267,39.22060045,,
Lake_Origin,NATURAL,lkarea_km,5Pct,2,0.045593091,,0.042878484,0.047151135,,
Lake_Origin,NATURAL,lkarea_km,10Pct,5,0.050634848,,0.044802684,0.059447537,,
Lake_Origin,NATURAL,lkarea_km,25Pct,16,0.067701235,,0.062215706,0.103659774,,
Lake_Origin,NATURAL,lkarea_km,50Pct,81,0.195524483,,0.139670331,0.278115596,,
Lake_Origin,NATURAL,lkarea_km,75Pct,167,0.466813012,,0.391661541,0.637146658,,
Lake_Origin,NATURAL,lkarea_km,90Pct,307,1.598795599,,1.053467938,2.205051648,,
Lake_Origin,NATURAL,lkarea_km,95Pct,346,2.990791317,,2.203092068,5.369108177,,
Lake_Origin,NATURAL,lkarea_km,Mean,434,1.623618498,0.381663372,0.875572034,2.371664962,,
Lake_Origin,NATURAL,lkarea_km,Variance,434,661.8987233,368.3896524,0,1383.929174,,
Lake_Origin,NATURAL,lkarea_km,Std. Deviation,434,25.72739247,7.159482891,11.69506386,39.75972108,,
WSA9_Ecoregions,CPL,lkarea_km,5Pct,1,0.040366747,,0.040366747,0.046201966,,
WSA9_Ecoregions,CPL,lkarea_km,10Pct,2,0.043948726,,0.040366747,0.049087726,,
WSA9_Ecoregions,CPL,lkarea_km,25Pct,5,0.050013665,,0.04396503,0.060049226,,
WSA9_Ecoregions,CPL,lkarea_km,50Pct,12,0.076262611,,0.059483274,0.154570371,,
WSA9_Ecoregions,CPL,lkarea_km,75Pct,30,0.297423957,,0.154653199,0.369189676,,
WSA9_Ecoregions,CPL,lkarea_km,90Pct,45,0.501140912,,0.371082149,0.946936318,,
WSA9_Ecoregions,CPL,lkarea_km,95Pct,62,1.055989934,,0.69085203,2.767040652,,
WSA9_Ecoregions,CPL,lkarea_km,Mean,101,1.604080043,0.517329533,0.590132791,2.618027296,,
WSA9_Ecoregions,CPL,lkarea_km,Variance,101,976.4351199,736.0289441,0,2419.025342,,
WSA9_Ecoregions,CPL,lkarea_km,Std. Deviation,101,31.24796185,11.77723123,8.165012812,54.33091089,,
WSA9_Ecoregions,NAP,lkarea_km,5Pct,0,0.04326073,,0.043185767,0.043335693,,
WSA9_Ecoregions,NAP,lkarea_km,10Pct,1,0.050141433,,0.040366747,0.119860231,,
WSA9_Ecoregions,NAP,lkarea_km,25Pct,6,0.120451701,,0.043389446,0.219114066,,
WSA9_Ecoregions,NAP,lkarea_km,50Pct,21,0.258065609,,0.165696665,0.461589564,,
WSA9_Ecoregions,NAP,lkarea_km,75Pct,44,0.651412637,,0.439309022,1.040972835,,
WSA9_Ecoregions,NAP,lkarea_km,90Pct,70,2.022515818,,1.043248709,3.061669459,,
WSA9_Ecoregions,NAP,lkarea_km,95Pct,77,3.060742144,,2.727538001,10.62537807,,
WSA9_Ecoregions,NAP,lkarea_km,Mean,93,3.079364826,1.713840184,-0.27970021,6.438429862,,
WSA9_Ecoregions,NAP,lkarea_km,Variance,93,2021.509027,1759.690253,0,5470.438547,,
WSA9_Ecoregions,NAP,lkarea_km,Std. Deviation,93,44.96119468,19.56898906,6.606680916,83.31570844,,
WSA9_Ecoregions,NPL,lkarea_km,5Pct,0,0.04166894,,0.041346934,0.062359281,,
WSA9_Ecoregions,NPL,lkarea_km,10Pct,1,0.062442102,,0.040366747,0.062733004,,
WSA9_Ecoregions,NPL,lkarea_km,25Pct,1,0.062868952,,0.062501455,0.069287903,,
WSA9_Ecoregions,NPL,lkarea_km,50Pct,4,0.083019686,,0.062906208,0.171589743,,
WSA9_Ecoregions,NPL,lkarea_km,75Pct,18,0.174906594,,0.128908269,0.541389666,,
WSA9_Ecoregions,NPL,lkarea_km,90Pct,35,0.589926237,,0.441341096,1.482012453,,
WSA9_Ecoregions,NPL,lkarea_km,95Pct,47,1.02900965,,0.643333459,15.70228248,,
WSA9_Ecoregions,NPL,lkarea_km,Mean,65,3.000410825,2.313982812,-1.534912147,7.535733796,,
WSA9_Ecoregions,NPL,lkarea_km,Variance,65,3223.770124,2856.969099,0,8823.326663,,
WSA9_Ecoregions,NPL,lkarea_km,Std. Deviation,65,56.77825397,25.15900806,7.467504287,106.0890037,,
WSA9_Ecoregions,SAP,lkarea_km,5Pct,0,0.040773097,,0.040647077,0.04380676,,
WSA9_Ecoregions,SAP,lkarea_km,10Pct,1,0.04386189,,0.040366747,0.054574197,,
WSA9_Ecoregions,SAP,lkarea_km,25Pct,3,0.063140095,,0.04384469,0.072452142,,
WSA9_Ecoregions,SAP,lkarea_km,50Pct,7,0.085394605,,0.06562259,0.124231672,,
WSA9_Ecoregions,SAP,lkarea_km,75Pct,32,0.214988636,,0.120228187,0.34843696,,
WSA9_Ecoregions,SAP,lkarea_km,90Pct,69,0.948575692,,0.342794231,9.146667052,,
WSA9_Ecoregions,SAP,lkarea_km,95Pct,94,9.125365938,,1.589707349,103.6255229,,
WSA9_Ecoregions,SAP,lkarea_km,Mean,120,2.278696627,0.592637085,1.117149284,3.44024397,,
WSA9_Ecoregions,SAP,lkarea_km,Variance,120,348.1067224,176.6787021,1.822829526,694.3906153,,
WSA9_Ecoregions,SAP,lkarea_km,Std. Deviation,120,18.65761835,4.734760321,9.377658644,27.93757805,,
WSA9_Ecoregions,SPL,lkarea_km,5Pct,0,0.042588861,,0.042386703,0.042791019,,
WSA9_Ecoregions,SPL,lkarea_km,10Pct,1,0.048840989,,0.040366747,0.053838386,,
WSA9_Ecoregions,SPL,lkarea_km,25Pct,3,0.060680234,,0.048723736,0.087365243,,
WSA9_Ecoregions,SPL,lkarea_km,50Pct,7,0.091546195,,0.078945925,0.109320698,,
WSA9_Ecoregions,SPL,lkarea_km,75Pct,24,0.138024105,,0.10062842,0.28223936,,
WSA9_Ecoregions,SPL,lkarea_km,90Pct,59,0.699216108,,0.28699703,2.408912971,,
WSA9_Ecoregions,SPL,lkarea_km,95Pct,92,3.031599363,,1.605679967,7.036859645,,
WSA9_Ecoregions,SPL,lkarea_km,Mean,128,1.007416415,0.238950153,0.539082721,1.475750109,,
WSA9_Ecoregions,SPL,lkarea_km,Variance,128,37.23539932,12.61482724,12.51079225,61.96000639,,
WSA9_Ecoregions,SPL,lkarea_km,Std. Deviation,128,6.102081556,1.033649512,4.07616574,8.127997372,,
WSA9_Ecoregions,TPL,lkarea_km,5Pct,0,0.042903814,,0.042873798,0.04293383,,
WSA9_Ecoregions,TPL,lkarea_km,10Pct,1,0.046990928,,0.040366747,0.051136985,,
WSA9_Ecoregions,TPL,lkarea_km,25Pct,2,0.051429665,,0.042967841,0.128080716,,
WSA9_Ecoregions,TPL,lkarea_km,50Pct,20,0.160720987,,0.108859126,0.318204296,,
WSA9_Ecoregions,TPL,lkarea_km,75Pct,43,0.340511427,,0.211865361,0.96253694,,
WSA9_Ecoregions,TPL,lkarea_km,90Pct,84,1.239470843,,0.824148053,3.269093945,,
WSA9_Ecoregions,TPL,lkarea_km,95Pct,101,3.004603173,,1.806202857,5.824429106,,
WSA9_Ecoregions,TPL,lkarea_km,Mean,138,1.54235896,0.613703194,0.339522803,2.745195118,,
WSA9_Ecoregions,TPL,lkarea_km,Variance,138,377.9581649,301.2712085,0,968.4388832,,
WSA9_Ecoregions,TPL,lkarea_km,Std. Deviation,138,19.44114618,7.748288236,4.254780297,34.62751207,,
WSA9_Ecoregions,UMW,lkarea_km,5Pct,1,0.045188172,,0.041922689,0.050639179,,
WSA9_Ecoregions,UMW,lkarea_km,10Pct,2,0.050751017,,0.044171933,0.065844358,,
WSA9_Ecoregions,UMW,lkarea_km,25Pct,6,0.070800605,,0.059365329,0.142014067,,
WSA9_Ecoregions,UMW,lkarea_km,50Pct,35,0.261237721,,0.160020352,0.361680642,,
