"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"National","All_Lakes","vert","5Pct",111,0,"",0,0
"National","All_Lakes","vert","10Pct",111,0,"",0,0
"National","All_Lakes","vert","25Pct",142,0.0392795503843009,"",0,0.0891499799805034
"National","All_Lakes","vert","50Pct",376,0.186753424750654,"",0.156632542142369,0.210688383905434
"National","All_Lakes","vert","75Pct",590,0.351873248910157,"",0.303920246107759,0.468260755318441
"National","All_Lakes","vert","90Pct",791,0.939868267676932,"",0.682390976254358,1.01963584274004
"National","All_Lakes","vert","95Pct",852,1.38172873732573,"",0.99138293576047,1.8493068405697
"National","All_Lakes","vert","Mean",962,0.38388281557964,"0.0347195759471673",0.315833697164689,0.451931933994592
"National","All_Lakes","vert","Variance",962,1.51672205803084,"0.659049204272174",0.225009353617599,2.80843476244408
"National","All_Lakes","vert","Std. Deviation",962,1.2315527020923,"0.267568413090446",0.707128249034488,1.75597715515011
"Lake_Origin","MAN_MADE","vert","5Pct",61,0,"",0,0
"Lake_Origin","MAN_MADE","vert","10Pct",61,0,"",0,0
"Lake_Origin","MAN_MADE","vert","25Pct",83,0.0546594682416077,"",0,0.0956451891156383
"Lake_Origin","MAN_MADE","vert","50Pct",192,0.197927065362172,"",0.165766262120333,0.245728609478776
"Lake_Origin","MAN_MADE","vert","75Pct",333,0.49176155589699,"",0.307254306470677,0.675594556342369
"Lake_Origin","MAN_MADE","vert","90Pct",427,1.00422618181638,"",0.745523631282567,1.83228499349091
"Lake_Origin","MAN_MADE","vert","95Pct",471,1.83300233068344,"",1.08028311106641,3.894689155334
"Lake_Origin","MAN_MADE","vert","Mean",547,0.504756766829228,"0.0613737267517726",0.384466472798751,0.625047060859704
"Lake_Origin","MAN_MADE","vert","Variance",547,3.36801497552767,"1.67348748983134",0.0880397668799007,6.64799018417543
"Lake_Origin","MAN_MADE","vert","Std. Deviation",547,1.83521523956392,"0.455937661630629",0.94159384357248,2.72883663555537
"Lake_Origin","NATURAL","vert","5Pct",50,0,"",0,0
"Lake_Origin","NATURAL","vert","10Pct",50,0,"",0,0
"Lake_Origin","NATURAL","vert","25Pct",67,0.0380122656793158,"",0,0.0893063230792765
"Lake_Origin","NATURAL","vert","50Pct",184,0.17818436680523,"",0.102822545933459,0.212689649503421
"Lake_Origin","NATURAL","vert","75Pct",281,0.318118127911496,"",0.296749509437122,0.402147430372699
"Lake_Origin","NATURAL","vert","90Pct",369,0.790325498324796,"",0.494429871251395,0.989372520516052
"Lake_Origin","NATURAL","vert","95Pct",379,0.996398771793682,"",0.798049621347435,2.59775813132768
"Lake_Origin","NATURAL","vert","Mean",415,0.299433908939555,"0.0410733574243129",0.218931607663761,0.37993621021535
"Lake_Origin","NATURAL","vert","Variance",415,0.205972060095014,"0.0820210563049154",0.0452137437634477,0.36673037642658
"Lake_Origin","NATURAL","vert","Std. Deviation",415,0.453841448189799,"0.0903631175954359",0.276732992171987,0.630949904207611
"WSA9_Ecoregions","CPL","vert","5Pct",16,0,"",0,0
"WSA9_Ecoregions","CPL","vert","10Pct",16,0,"",0,0
"WSA9_Ecoregions","CPL","vert","25Pct",16,0,"",0,0.0770766953648956
"WSA9_Ecoregions","CPL","vert","50Pct",31,0.103236781867638,"",0.0469092558669683,0.292203975106265
"WSA9_Ecoregions","CPL","vert","75Pct",57,0.299217221487737,"",0.262893837107033,0.973845085874172
"WSA9_Ecoregions","CPL","vert","90Pct",79,0.971705785704628,"",0.653284638565481,3.1
"WSA9_Ecoregions","CPL","vert","95Pct",79,0.99382485847948,"",0.795403409169368,3.1
"WSA9_Ecoregions","CPL","vert","Mean",88,0.306430447270038,"0.0607290168638763",0.187403761400315,0.425457133139761
"WSA9_Ecoregions","CPL","vert","Variance",88,0.160042403915579,"0.0382517258748924",0.0850703988542913,0.235014408976867
"WSA9_Ecoregions","CPL","vert","Std. Deviation",88,0.400053001383041,"0.0478083225755721",0.306350410973646,0.493755591792435
"WSA9_Ecoregions","NAP","vert","5Pct",6,0.00971736709872507,"",0.00916979159917176,0.0140692282692739
"WSA9_Ecoregions","NAP","vert","10Pct",14,0.0900585752332272,"",0.00957630243528001,0.0959045897550276
"WSA9_Ecoregions","NAP","vert","25Pct",31,0.138012934834513,"",0.0953459687578726,0.210297508082134
"WSA9_Ecoregions","NAP","vert","50Pct",54,0.248422319100787,"",0.210296981317758,0.322376886188156
"WSA9_Ecoregions","NAP","vert","75Pct",71,0.390156200430333,"",0.295351733559366,0.957800825812295
"WSA9_Ecoregions","NAP","vert","90Pct",87,1.19163408559735,"",0.393744210739771,1.85
"WSA9_Ecoregions","NAP","vert","95Pct",89,1.83942189261889,"",0.424009188370254,1.85
"WSA9_Ecoregions","NAP","vert","Mean",91,0.404292327885926,"0.112593505143815",0.183613112910923,0.62497154286093
"WSA9_Ecoregions","NAP","vert","Variance",91,0.247672073667257,"0.142356748359934",0,0.52668617340896
"WSA9_Ecoregions","NAP","vert","Std. Deviation",91,0.497666629047254,"0.143024205412834",0.217344337520642,0.777988920573867
"WSA9_Ecoregions","NPL","vert","5Pct",10,0,"",0,0.0187980673870984
"WSA9_Ecoregions","NPL","vert","10Pct",10,0.0132516350179473,"",0,0.0290672601881948
"WSA9_Ecoregions","NPL","vert","25Pct",13,0.0924569246659231,"",0.016072147738476,0.0980743336973098
"WSA9_Ecoregions","NPL","vert","50Pct",22,0.318541396114215,"",0.0933343485632536,0.49758191968481
"WSA9_Ecoregions","NPL","vert","75Pct",31,0.498487615477495,"",0.490951028183368,1.77907175886777
"WSA9_Ecoregions","NPL","vert","90Pct",52,1.26575770287563,"",0.724276644003324,2.01212237117135
"WSA9_Ecoregions","NPL","vert","95Pct",57,1.78123153262097,"",1.18735201071631,5
"WSA9_Ecoregions","NPL","vert","Mean",65,0.462605665930301,"0.091588875113352",0.283094769323594,0.642116562537007
"WSA9_Ecoregions","NPL","vert","Variance",65,0.310740863764649,"0.0760755884959401",0.161635450209916,0.459846277319381
"WSA9_Ecoregions","NPL","vert","Std. Deviation",65,0.557441354551892,"0.068236405385724",0.423700457561398,0.691182251542386
"WSA9_Ecoregions","SAP","vert","5Pct",10,0,"",0,0.0450286632594758
"WSA9_Ecoregions","SAP","vert","10Pct",10,0,"",0,0.0951966285829559
"WSA9_Ecoregions","SAP","vert","25Pct",24,0.136727291584138,"",0,0.159797967117734
"WSA9_Ecoregions","SAP","vert","50Pct",34,0.189986098795966,"",0.156941981517197,0.212489497980703
"WSA9_Ecoregions","SAP","vert","75Pct",50,0.233845276708049,"",0.197343700722578,0.683039849999828
"WSA9_Ecoregions","SAP","vert","90Pct",82,0.687092947552904,"",0.289771849199302,7
"WSA9_Ecoregions","SAP","vert","95Pct",83,0.727213534622795,"",0.692935233456239,1.14364986084438
"WSA9_Ecoregions","SAP","vert","Mean",109,0.284651318408418,"0.0430413199020933",0.200291881553248,0.369010755263588
"WSA9_Ecoregions","SAP","vert","Variance",109,0.22939203083877,"0.0854271384098131",0.0619579162532179,0.396826145424322
"WSA9_Ecoregions","SAP","vert","Std. Deviation",109,0.478948881237622,"0.0891818957683607",0.30415557745863,0.653742185016614
"WSA9_Ecoregions","SPL","vert","5Pct",23,0,"",0,0
"WSA9_Ecoregions","SPL","vert","10Pct",23,0,"",0,0
"WSA9_Ecoregions","SPL","vert","25Pct",23,0,"",0,0.0938065771314829
"WSA9_Ecoregions","SPL","vert","50Pct",52,0.189489212439799,"",0,0.571035261074737
"WSA9_Ecoregions","SPL","vert","75Pct",93,0.57720550224544,"",0.294542221174686,1.49609134020704
"WSA9_Ecoregions","SPL","vert","90Pct",112,1.20050647191909,"",0.712318884965477,6
"WSA9_Ecoregions","SPL","vert","95Pct",114,1.49646292523984,"",0.747030636586523,6
"WSA9_Ecoregions","SPL","vert","Mean",121,0.432898262917592,"0.0950067724764413",0.246688410576376,0.619108115258808
"WSA9_Ecoregions","SPL","vert","Variance",121,0.395503839127707,"0.137291888560504",0.126416682179634,0.664590996075781
"WSA9_Ecoregions","SPL","vert","Std. Deviation",121,0.628890959648576,"0.109153968946558",0.414953111743719,0.842828807553433
"WSA9_Ecoregions","TPL","vert","5Pct",17,0,"",0,0.0115281469195922
"WSA9_Ecoregions","TPL","vert","10Pct",17,0,"",0,0.0512043694076252
"WSA9_Ecoregions","TPL","vert","25Pct",24,0.0558849732584802,"",0,0.125576242648655
"WSA9_Ecoregions","TPL","vert","50Pct",72,0.1846184761188,"",0.0935127410503169,0.293320972822807
"WSA9_Ecoregions","TPL","vert","75Pct",94,0.297923164405185,"",0.189724760561176,0.498858657490271
"WSA9_Ecoregions","TPL","vert","90Pct",112,0.494654032582199,"",0.313629177270046,2.96
"WSA9_Ecoregions","TPL","vert","95Pct",118,0.539340119698891,"",0.496637751554219,1.01535667378264
"WSA9_Ecoregions","TPL","vert","Mean",130,0.235899334858162,"0.0277857171950799",0.18144032987119,0.290358339845134
"WSA9_Ecoregions","TPL","vert","Variance",130,0.0688816703765033,"0.0160259361384393",0.0374714127266234,0.100291928026383
"WSA9_Ecoregions","TPL","vert","Std. Deviation",130,0.262453177493631,"0.0305310385103419",0.202613441602755,0.322292913384506
"WSA9_Ecoregions","UMW","vert","5Pct",21,0,"",0,0
"WSA9_Ecoregions","UMW","vert","10Pct",21,0,"",0,0
"WSA9_Ecoregions","UMW","vert","25Pct",21,0,"",0,0.0391480527038361
"WSA9_Ecoregions","UMW","vert","50Pct",50,0.0988938118204024,"",0.0681953512055042,0.178193016411651
"WSA9_Ecoregions","UMW","vert","75Pct",104,0.296137225594192,"",0.19231801975293,0.357058189438422
"WSA9_Ecoregions","UMW","vert","90Pct",131,0.49317908105273,"",0.333562707684265,2.55769642823746
"WSA9_Ecoregions","UMW","vert","95Pct",139,0.986278585208212,"",0.472645043153044,2.66
"WSA9_Ecoregions","UMW","vert","Mean",144,0.263765790594546,"0.0717143925043152",0.123208164112919,0.404323417076173
"WSA9_Ecoregions","UMW","vert","Variance",144,0.262884251395809,"0.155223825334614",0,0.567117358594189
"WSA9_Ecoregions","UMW","vert","Std. Deviation",144,0.512722392134193,"0.151372192550923",0.216038346473521,0.809406437794865
"WSA9_Ecoregions","WMT","vert","5Pct",7,0.0217031984024583,"",0,0.0895962762121272
"WSA9_Ecoregions","WMT","vert","10Pct",13,0.0898691216490509,"",0.0214258458069569,0.114978365223573
"WSA9_Ecoregions","WMT","vert","25Pct",27,0.186389221473343,"",0.111540459241111,0.287998919033241
"WSA9_Ecoregions","WMT","vert","50Pct",44,0.327875424303333,"",0.234590555364917,0.498695249549763
"WSA9_Ecoregions","WMT","vert","75Pct",79,0.793794683373831,"",0.398258442023773,1.09493121257802
"WSA9_Ecoregions","WMT","vert","90Pct",91,1.09541588110393,"",0.946336979767443,28
"WSA9_Ecoregions","WMT","vert","95Pct",110,2.3590939192124,"",1.6403666172657,4.49941139128869
"WSA9_Ecoregions","WMT","vert","Mean",134,0.871814989736376,"0.174973444291586",0.528873340673942,1.21475663879881
"WSA9_Ecoregions","WMT","vert","Variance",134,6.38117363127771,"3.82549316763213",0,13.8790024629407
"WSA9_Ecoregions","WMT","vert","Std. Deviation",134,2.52609849991597,"0.757193982688992",1.0420255645351,4.01017143529684
"WSA9_Ecoregions","XER","vert","5Pct",7,0.191635933872655,"",0.179373748726581,0.194740344247938
"WSA9_Ecoregions","XER","vert","10Pct",7,0.197223177807539,"",0.193339088900915,0.219553396185706
"WSA9_Ecoregions","XER","vert","25Pct",19,0.367752438515713,"",0.198130185226061,0.521121054264704
"WSA9_Ecoregions","XER","vert","50Pct",39,0.933059358755646,"",0.495051879955875,0.9987371181558
"WSA9_Ecoregions","XER","vert","75Pct",44,1.0523926155691,"",0.986303748664847,1.99273571264552
"WSA9_Ecoregions","XER","vert","90Pct",62,2.7833897987799,"",1.95841535378533,12.312030734714
"WSA9_Ecoregions","XER","vert","95Pct",74,7.50243007740305,"",2.49311115363059,40
"WSA9_Ecoregions","XER","vert","Mean",80,2.41314212462329,"1.07630001236576",0.303632863826382,4.52265138542019
"WSA9_Ecoregions","XER","vert","Variance",80,48.7937241032524,"38.2180327158994",0,123.699691786389
"WSA9_Ecoregions","XER","vert","Std. Deviation",80,6.98525046818311,"2.73562364656625",1.62352664565714,12.3469742907091
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","5Pct",12,0,"",0,0
"WSA9_by_Lake_Origin","CPL_MAN_MADE","vert","10Pct",12,0,"",0,0
