"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"National","All_Lakes","vert","5Pct",112,0,"",0,0
"National","All_Lakes","vert","10Pct",112,0,"",0,0
"National","All_Lakes","vert","25Pct",143,0.0391139481266676,"",0,0.0891106324986992
"National","All_Lakes","vert","50Pct",376,0.187352036078407,"",0.157079473156277,0.2111111095576
"National","All_Lakes","vert","75Pct",600,0.380149019870331,"",0.312543752093854,0.490777523672545
"National","All_Lakes","vert","90Pct",792,0.965790711580925,"",0.692708360774332,1.09460197875542
"National","All_Lakes","vert","95Pct",851,1.49697997401675,"",0.998161630238736,2.59190713305801
"National","All_Lakes","vert","Mean",959,0.403797587806662,"0.0385968577751361",0.328149136650981,0.479446038962344
"National","All_Lakes","vert","Variance",959,1.56251653407717,"0.656620658086456",0.275563692722732,2.84946937543162
"National","All_Lakes","vert","Std. Deviation",959,1.25000661361337,"0.262646873598682",0.735228200707914,1.76478502651883
"Lake_Origin","MAN_MADE","vert","5Pct",61,0,"",0,0
"Lake_Origin","MAN_MADE","vert","10Pct",61,0,"",0,0
"Lake_Origin","MAN_MADE","vert","25Pct",89,0.062603298689447,"",0,0.097364910265191
"Lake_Origin","MAN_MADE","vert","50Pct",214,0.211111100040406,"",0.179670964950721,0.264679639231156
"Lake_Origin","MAN_MADE","vert","75Pct",332,0.496121386455158,"",0.323857908236213,0.694653840733321
"Lake_Origin","MAN_MADE","vert","90Pct",432,1.09265737860209,"",0.873135681734163,1.85499221194376
"Lake_Origin","MAN_MADE","vert","95Pct",470,1.84715662065122,"",1.09933372550399,10.3159905431812
"Lake_Origin","MAN_MADE","vert","Mean",547,0.552983808423144,"0.06929283770502",0.417172342134725,0.688795274711562
"Lake_Origin","MAN_MADE","vert","Variance",547,3.43571839076148,"1.64816166035556",0.205380895764856,6.66605588575811
"Lake_Origin","MAN_MADE","vert","Std. Deviation",547,1.85356909522183,"0.444591373638086",0.982186015053994,2.72495217538967
"Lake_Origin","NATURAL","vert","5Pct",51,0,"",0,0
"Lake_Origin","NATURAL","vert","10Pct",51,0,"",0,0
"Lake_Origin","NATURAL","vert","25Pct",68,0.037408878339998,"",0,0.0890440928850815
"Lake_Origin","NATURAL","vert","50Pct",185,0.177839307693886,"",0.1009193336515,0.199066395960956
"Lake_Origin","NATURAL","vert","75Pct",280,0.317585045619951,"",0.296452214352568,0.399538039683275
"Lake_Origin","NATURAL","vert","90Pct",366,0.790480917505901,"",0.494019993974965,0.989664287122328
"Lake_Origin","NATURAL","vert","95Pct",376,0.996563969507503,"",0.798139546754194,2.598293423651
"Lake_Origin","NATURAL","vert","Mean",412,0.297956218144077,"0.0411580598941152",0.217287903078069,0.378624533210086
"Lake_Origin","NATURAL","vert","Variance",412,0.206565871653899,"0.0823010931274475",0.045258693235825,0.367873050071973
"Lake_Origin","NATURAL","vert","Std. Deviation",412,0.4544951833121,"0.0905412160011075",0.277037660833467,0.631952705790732
"WSA9_Ecoregions","CPL","vert","5Pct",16,0,"",0,0
"WSA9_Ecoregions","CPL","vert","10Pct",16,0,"",0,0
"WSA9_Ecoregions","CPL","vert","25Pct",16,0,"",0,0.0781941592328344
"WSA9_Ecoregions","CPL","vert","50Pct",37,0.167484394463476,"",0.0492720911393182,0.295204647815692
"WSA9_Ecoregions","CPL","vert","75Pct",74,0.681844662104175,"",0.291944244586606,0.991054849399165
"WSA9_Ecoregions","CPL","vert","90Pct",77,0.994856300035462,"",0.791604745672871,3.1
"WSA9_Ecoregions","CPL","vert","95Pct",85,2.96313480492039,"",0.97695820638061,3.1
"WSA9_Ecoregions","CPL","vert","Mean",87,0.454237756274035,"0.134187690772147",0.191234715192028,0.717240797356041
"WSA9_Ecoregions","CPL","vert","Variance",87,0.522336888291183,"0.286934662337665",0,1.08471849238917
"WSA9_Ecoregions","CPL","vert","Std. Deviation",87,0.722728779205023,"0.198507843186543",0.333660555910674,1.11179700249937
"WSA9_Ecoregions","NAP","vert","5Pct",6,0.00971736709603747,"",0.00916979159629201,0.0140692282309467
"WSA9_Ecoregions","NAP","vert","10Pct",14,0.0900585752216915,"",0.00957630243255999,0.095904589749866
"WSA9_Ecoregions","NAP","vert","25Pct",31,0.138012934848886,"",0.0953459687527418,0.211111102923642
"WSA9_Ecoregions","NAP","vert","50Pct",54,0.248422319123933,"",0.211111102918413,0.322376886185349
"WSA9_Ecoregions","NAP","vert","75Pct",71,0.390156200423012,"",0.295351733551589,0.957800826318369
"WSA9_Ecoregions","NAP","vert","90Pct",87,1.1916340855379,"",0.393744210700088,1.85
"WSA9_Ecoregions","NAP","vert","95Pct",89,1.8394218926177,"",0.424009171399185,1.85
"WSA9_Ecoregions","NAP","vert","Mean",91,0.404292327859638,"0.11259350524281",0.183613112690608,0.624971543028668
"WSA9_Ecoregions","NAP","vert","Variance",91,0.247672073650552,"0.142356748498368",0,0.52668617366358
"WSA9_Ecoregions","NAP","vert","Std. Deviation",91,0.497666629030471,"0.14302420555674",0.217344337221806,0.777988920839135
"WSA9_Ecoregions","NPL","vert","5Pct",10,0,"",0,0.0184035534740626
"WSA9_Ecoregions","NPL","vert","10Pct",10,0.0123428574519484,"",0,0.0287952590970439
"WSA9_Ecoregions","NPL","vert","25Pct",13,0.0921866135869522,"",0.0131344544749923,0.097883232102311
"WSA9_Ecoregions","NPL","vert","50Pct",19,0.197504294021328,"",0.0925646802182575,0.497565240754982
"WSA9_Ecoregions","NPL","vert","75Pct",30,0.497955489252142,"",0.490344207827922,1.78023545371139
"WSA9_Ecoregions","NPL","vert","90Pct",52,1.49073887480071,"",0.725546286455184,2.05109521189161
"WSA9_Ecoregions","NPL","vert","95Pct",55,1.7814151240138,"",1.18732033217161,5
"WSA9_Ecoregions","NPL","vert","Mean",63,0.461160398667228,"0.0965660681379001",0.271894382988303,0.650426414346153
"WSA9_Ecoregions","NPL","vert","Variance",63,0.319229976567768,"0.0804363366689737",0.161577653648241,0.476882299487294
"WSA9_Ecoregions","NPL","vert","Std. Deviation",63,0.565004404025108,"0.071182043976952",0.425490161484336,0.70451864656588
"WSA9_Ecoregions","SAP","vert","5Pct",10,0,"",0,0.0450286630637711
"WSA9_Ecoregions","SAP","vert","10Pct",10,0,"",0,0.0951966281928129
"WSA9_Ecoregions","SAP","vert","25Pct",24,0.136727291495431,"",0,0.159797967522577
"WSA9_Ecoregions","SAP","vert","50Pct",34,0.189986099141951,"",0.156941981939619,0.212489498253666
"WSA9_Ecoregions","SAP","vert","75Pct",50,0.233845280534712,"",0.197343700903452,0.683039850460279
"WSA9_Ecoregions","SAP","vert","90Pct",82,0.687092947794744,"",0.289771853828234,7
"WSA9_Ecoregions","SAP","vert","95Pct",83,0.72721353792532,"",0.692935233602331,1.14364986134274
"WSA9_Ecoregions","SAP","vert","Mean",109,0.284651319747743,"0.043041320191732",0.200291882324892,0.369010757170595
"WSA9_Ecoregions","SAP","vert","Variance",109,0.229392032771407,"0.0854271391511355",0.0619579167328898,0.396826148809924
"WSA9_Ecoregions","SAP","vert","Std. Deviation",109,0.478948883255204,"0.0891818961665857",0.304155578695705,0.653742187814703
"WSA9_Ecoregions","SPL","vert","5Pct",23,0,"",0,0
"WSA9_Ecoregions","SPL","vert","10Pct",23,0,"",0,0
"WSA9_Ecoregions","SPL","vert","25Pct",23,0,"",0,0.0937672429112486
"WSA9_Ecoregions","SPL","vert","50Pct",52,0.188676252813485,"",0,0.571091112621566
"WSA9_Ecoregions","SPL","vert","75Pct",92,0.577233346203679,"",0.294488072525444,1.49613706653849
"WSA9_Ecoregions","SPL","vert","90Pct",111,1.20160909674675,"",0.713199380292675,6
"WSA9_Ecoregions","SPL","vert","95Pct",113,1.49647204498902,"",0.747039633881666,6
"WSA9_Ecoregions","SPL","vert","Mean",120,0.433058083094002,"0.0951198445718682",0.246626613518092,0.619489552669911
"WSA9_Ecoregions","SPL","vert","Variance",120,0.39595821364747,"0.137427849108072",0.126604578922844,0.665311848372096
"WSA9_Ecoregions","SPL","vert","Std. Deviation",120,0.629252106589616,"0.109199355607163",0.415225302464595,0.843278910714638
"WSA9_Ecoregions","TPL","vert","5Pct",18,0,"",0,0
"WSA9_Ecoregions","TPL","vert","10Pct",18,0,"",0,0.0500641439819349
"WSA9_Ecoregions","TPL","vert","25Pct",25,0.0548779408615147,"",0,0.115125061229219
"WSA9_Ecoregions","TPL","vert","50Pct",73,0.184064040338396,"",0.0914501941686166,0.292924494579938
"WSA9_Ecoregions","TPL","vert","75Pct",95,0.297718881804846,"",0.189443576195645,0.498450100673852
"WSA9_Ecoregions","TPL","vert","90Pct",113,0.494488237625628,"",0.313445233051521,2.96
"WSA9_Ecoregions","TPL","vert","95Pct",118,0.537310772796321,"",0.496564274189778,1.01402484588322
"WSA9_Ecoregions","TPL","vert","Mean",131,0.232641496183062,"0.0273850618444063",0.178967761253623,0.2863152311125
"WSA9_Ecoregions","TPL","vert","Variance",131,0.0686883028875852,"0.0158494794532085",0.037623893985589,0.0997527117895815
"WSA9_Ecoregions","TPL","vert","Std. Deviation",131,0.262084533858038,"0.0302373421657029",0.202820432225046,0.32134863549103
"WSA9_Ecoregions","UMW","vert","5Pct",21,0,"",0,0
"WSA9_Ecoregions","UMW","vert","10Pct",21,0,"",0,0
"WSA9_Ecoregions","UMW","vert","25Pct",21,0,"",0,0.0391480527007946
"WSA9_Ecoregions","UMW","vert","50Pct",50,0.0988938118220779,"",0.0681953511124684,0.178193016415753
"WSA9_Ecoregions","UMW","vert","75Pct",104,0.296137225598078,"",0.192318019791209,0.357058189484068
