"","Type","ECOREG_use","Lake_Origin_use","Indicator","10Pct","25Pct","50Pct","5Pct","75Pct","90Pct","95Pct","Mean","Std. Deviation","Variance"
"1","WSA9_by_Lake_Origin","CPL","MAN_MADE","E_I",0.0380562061227109,0.161835344706285,0.223554045111376,0.0318951755483492,0.414564550397532,0.495999906279347,0.633070185405842,0.273256092962018,0.173291885060937,0.0300300774279729
"2","WSA9_by_Lake_Origin","CPL","NATURAL","E_I",0.143675166572668,0.196160184296639,0.333931292270173,0.118129836052234,0.498527828628994,0.63948036484622,0.714741121783719,0.377179173941696,0.193711983019074,0.0375243323651821
"3","WSA9_by_Lake_Origin","NAP","MAN_MADE","E_I",0.0205629775309866,0.0459331227384389,0.0946309132116273,0.0143543925273585,0.105391636422691,0.131963388238289,0.232762073820603,0.0938481343016949,0.0566606355130796,0.00321042761674606
"4","WSA9_by_Lake_Origin","NAP","NATURAL","E_I",0.0162932494956919,0.0495703053683087,0.0938966411884702,0.0126199514943811,0.164617789489758,0.18378620342082,0.291668102275068,0.116730377217322,0.0821027982905941,0.00674086948714598
"5","WSA9_by_Lake_Origin","NPL","MAN_MADE","E_I",0.190433018255234,0.196538122740478,0.226023263815671,0.113884864563299,0.405798635645401,0.633549884356861,0.775595371475609,0.32883376225503,0.198235842330089,0.0392974491843199
"6","WSA9_by_Lake_Origin","NPL","NATURAL","E_I",0.314365000524162,0.326718152205061,0.461045660095372,0.312102269771019,0.695569751877096,0.855344293934421,0.868526278607741,0.528800736399446,0.213202691330362,0.0454553875905096
"7","WSA9_by_Lake_Origin","SAP","MAN_MADE","E_I",0.0501815115696746,0.101249499345623,0.138823500740788,0.022526011529709,0.186447666928888,0.337910536761188,0.604956429529163,0.18363226329126,0.154735641874514,0.0239431188663178
"8","WSA9_by_Lake_Origin","SPL","MAN_MADE","E_I",0.0222876800825586,0.0758969115919572,0.146373064550587,0,0.347606731326794,0.399132382158406,0.554382461833803,0.20924446981031,0.186545730823807,0.0347993096885881
"9","WSA9_by_Lake_Origin","SPL","NATURAL","E_I",0.245609410541985,0.622105715818457,0.810302307872619,0.241568732844115,0.908645681231817,0.994711816342418,1.04235590817121,0.719531632149022,0.267373618288334,0.0714886517565959
"10","WSA9_by_Lake_Origin","TPL","MAN_MADE","E_I",0.0827948047332355,0.158174036222753,0.427478633951948,0.0544355346975171,0.491210305564374,0.498230791945737,0.583222864082485,0.347961767719906,0.180868745493057,0.0327135030962323
"11","WSA9_by_Lake_Origin","TPL","NATURAL","E_I",0.410232911829928,0.475784133593781,0.551238098239021,0.205345709917906,0.777810823314582,0.80837020120465,0.901764038063037,0.591600018647583,0.195015379830695,0.0380309983705102
"12","WSA9_by_Lake_Origin","UMW","MAN_MADE","E_I",0.0277168685790175,0.160642290697672,0.164545358397898,0.0238584342895088,0.168448426098125,0.179553955934267,0.304850946092585,0.165355971383822,0.0668993958388925,0.00447552916360883
"13","WSA9_by_Lake_Origin","UMW","NATURAL","E_I",0.0509951855968095,0.17535513944901,0.275653106344667,0.0145063595524392,0.565823293056661,0.731412797486751,0.820652150912403,0.357415890896946,0.24816898539357,0.0615878453112741
"14","WSA9_by_Lake_Origin","WMT","MAN_MADE","E_I",0.0329644159286854,0.0634753407919151,0.10889021623475,0.0241833970406138,0.228624078808943,0.248177522686964,0.426497162389887,0.15991631883467,0.115090405531141,0.0132458014453224
"15","WSA9_by_Lake_Origin","WMT","NATURAL","E_I",0.0175233907899235,0.0841356589923366,0.119643376513565,0.0123192921401321,0.222086149938306,0.52154908905596,0.765684003377829,0.20698427822908,0.212549380126912,0.0451772389923346
"16","WSA9_by_Lake_Origin","XER","MAN_MADE","E_I",0.0833692903312175,0.111538198460934,0.163566374724796,0.0278961192237464,0.383252235152915,0.712948602674073,0.960098560369258,0.294548407130266,0.251865523876208,0.0634362421174367
"17","WSA9_by_Lake_Origin","XER","NATURAL","E_I",0.0760320731129687,0.219490947854122,0.296887187355503,0.0730160365564843,0.318218877630837,0.514456447934156,0.593619370208179,0.306249595023495,0.144593770555542,0.0209073584834686
