"Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"National","All_Lakes","vert","5Pct",626,0,"",0,0
"National","All_Lakes","vert","10Pct",626,0,"",0,0
"National","All_Lakes","vert","25Pct",626,0,"",0,0
"National","All_Lakes","vert","50Pct",626,0,"",0,0
"National","All_Lakes","vert","75Pct",626,0,"",0,0.0888666681344435
"National","All_Lakes","vert","90Pct",735,0.449661551620152,"",0.355037030640116,0.555641351366513
"National","All_Lakes","vert","95Pct",798,0.981876856460842,"",0.696369337371531,1.19849468281364
"National","All_Lakes","vert","Mean",930,0.204829140822949,"0.0251415178709058",0.155552671279304,0.254105610366595
"National","All_Lakes","vert","Variance",930,1.78841910080244,"0.841829849686432",0.138462914306266,3.43837528729862
"National","All_Lakes","vert","Std. Deviation",930,1.33731787575073,"0.314745605719902",0.720427824247476,1.95420792725398
"Lake_Origin","MAN_MADE","vert","5Pct",286,0,"",0,0
"Lake_Origin","MAN_MADE","vert","10Pct",286,0,"",0,0
"Lake_Origin","MAN_MADE","vert","25Pct",286,0,"",0,0
"Lake_Origin","MAN_MADE","vert","50Pct",286,0,"",0,0
"Lake_Origin","MAN_MADE","vert","75Pct",331,0.318183716017782,"",0.249796807688922,0.474464627612646
"Lake_Origin","MAN_MADE","vert","90Pct",391,0.91496868700557,"",0.695397702558914,1.20092184592458
"Lake_Origin","MAN_MADE","vert","95Pct",443,1.73870637489284,"",1.49462682538581,2.12336272714537
"Lake_Origin","MAN_MADE","vert","Mean",518,0.423282583877425,"0.0596377573569711",0.306394727339023,0.540170440415827
"Lake_Origin","MAN_MADE","vert","Variance",518,4.33065983392178,"2.05427133772016",0.304361997517347,8.35695767032622
"Lake_Origin","MAN_MADE","vert","Std. Deviation",518,2.08102374660209,"0.493572296105317",1.11363982246893,3.04840767073525
"Lake_Origin","NATURAL","vert","5Pct",340,0,"",0,0
"Lake_Origin","NATURAL","vert","10Pct",340,0,"",0,0
"Lake_Origin","NATURAL","vert","25Pct",340,0,"",0,0
"Lake_Origin","NATURAL","vert","50Pct",340,0,"",0,0
"Lake_Origin","NATURAL","vert","75Pct",340,0,"",0,0
"Lake_Origin","NATURAL","vert","90Pct",356,0.12739031764973,"",0.0184358733790824,0.392162866662027
"Lake_Origin","NATURAL","vert","95Pct",384,0.397907733072035,"",0.168859393885495,1.19105032292726
"Lake_Origin","NATURAL","vert","Mean",412,0.0594479483899129,"0.0141290054110713",0.0317556066468416,0.0871402901329841
"Lake_Origin","NATURAL","vert","Variance",412,0.043658221268483,"0.0141021920899156",0.0160184326691827,0.0712980098677833
"Lake_Origin","NATURAL","vert","Std. Deviation",412,0.208945498320694,"0.0337461017424537",0.14280435428686,0.275086642354527
"WSA9_Ecoregions","CPL","vert","5Pct",85,0,"",0,0
"WSA9_Ecoregions","CPL","vert","10Pct",85,0,"",0,0
"WSA9_Ecoregions","CPL","vert","25Pct",85,0,"",0,0
"WSA9_Ecoregions","CPL","vert","50Pct",85,0,"",0,0
"WSA9_Ecoregions","CPL","vert","75Pct",85,0.00745316462885861,"",0,0.462658100314971
"WSA9_Ecoregions","CPL","vert","90Pct",97,0.580736636836368,"",0.321864750499659,1.19987426715377
"WSA9_Ecoregions","CPL","vert","95Pct",103,1.1932208987044,"",0.461891546907192,4.7125
"WSA9_Ecoregions","CPL","vert","Mean",107,0.17720072307072,"0.0519445825036283",0.0753912121716392,0.279010233969801
"WSA9_Ecoregions","CPL","vert","Variance",107,0.15529059180063,"0.0498718971267244",0.057543469591564,0.253037714009697
"WSA9_Ecoregions","CPL","vert","Std. Deviation",107,0.394069272845055,"0.0632780840366785",0.270046507122466,0.518092038567644
"WSA9_Ecoregions","NAP","vert","5Pct",84,0,"",0,0
"WSA9_Ecoregions","NAP","vert","10Pct",84,0,"",0,0
"WSA9_Ecoregions","NAP","vert","25Pct",84,0,"",0,0
"WSA9_Ecoregions","NAP","vert","50Pct",84,0,"",0,0
"WSA9_Ecoregions","NAP","vert","75Pct",84,0,"",0,0
"WSA9_Ecoregions","NAP","vert","90Pct",84,0,"",0,0
"WSA9_Ecoregions","NAP","vert","95Pct",84,0,"",0,0.297270377239439
"WSA9_Ecoregions","NAP","vert","Mean",90,0.016272536311251,"0.0071447898144454",0.00226900559782938,0.0302760670246726
"WSA9_Ecoregions","NAP","vert","Variance",90,0.0141705781582616,"0.00866846131389297",0,0.0311604501348706
"WSA9_Ecoregions","NAP","vert","Std. Deviation",90,0.119040237559665,"0.0364097950894468",0.0476783504998663,0.190402124619464
"WSA9_Ecoregions","NPL","vert","5Pct",47,0,"",0,0
"WSA9_Ecoregions","NPL","vert","10Pct",47,0,"",0,0
"WSA9_Ecoregions","NPL","vert","25Pct",47,0,"",0,0
"WSA9_Ecoregions","NPL","vert","50Pct",47,0,"",0,0
"WSA9_Ecoregions","NPL","vert","75Pct",54,0.226088728388265,"",0,0.496604521191715
"WSA9_Ecoregions","NPL","vert","90Pct",63,0.96893759578057,"",0.44821260839248,2.31827796303817
"WSA9_Ecoregions","NPL","vert","95Pct",68,1.80078564613692,"",0.905271314556589,2.35
"WSA9_Ecoregions","NPL","vert","Mean",71,0.246876422858953,"0.0670290052421621",0.115501986664769,0.378250859053137
"WSA9_Ecoregions","NPL","vert","Variance",71,0.248000131417571,"0.0878442357231064",0.0758285931508355,0.420171669684306
