"","COMID","X.x","SITE_ID","VISIT_NO","LONdd_use","LATdd_use","X.y","CatAreaSqKm","WsAreaSqKm","CatPctFull","WsPctFull","inStreamCat","BFICat","BFIWs","X.x","ElevWs","ElevCat","X.y","PctCarbResidWs","PctNonCarbResidWs","PctAlkIntruVolWs","PctSilicicWs","PctExtruVolWs","PctColluvSedWs","PctGlacTilClayWs","PctGlacTilLoamWs","PctGlacTilCrsWs","PctGlacLakeCrsWs","PctGlacLakeFineWs","PctHydricWs","PctEolCrsWs","PctEolFineWs","PctSalLakeWs","PctAlluvCoastWs","PctCoastCrsWs","PctWaterWs","PctCarbResidCat","PctNonCarbResidCat","PctAlkIntruVolCat","PctSilicicCat","PctExtruVolCat","PctColluvSedCat","PctGlacTilClayCat","PctGlacTilLoamCat","PctGlacTilCrsCat","PctGlacLakeCrsCat","PctGlacLakeFineCat","PctHydricCat","PctEolCrsCat","PctEolFineCat","PctSalLakeCat","PctAlluvCoastCat","PctCoastCrsCat","PctWaterCat","X.x","OmWs","PermWs","RckdepWs","WtDepWs","OmCat","PermCat","RckdepCat","WtDepCat","X.y","AvgWetIndxWs","AvgWetIndxCat","X.x","CanalDensWs","CanalDensCat","X.y","DamDensWs","DamNIDStorWs","DamNrmStorWs","DamDensCat","DamNIDStorCat","DamNrmStorCat","X.x","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","NABD_DensCat","NABD_NIDStorCat","NABD_NrmStorCat","X.y","RdDensWs","RdDensCat","X","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","Precip8110Cat","Tmax8110Cat","Tmean8110Cat","Tmin8110Cat","PctNoDataCat_2002","PctIrrigated.AgLandCat_2002","PctNoDataCat_2007","PctIrrigated.AgLandCat_2007","PctNoDataCat_2012","PctIrrigated.AgLandCat_2012","PctNoDataWs_2002","PctIrrigated.AgLandWs_2002","PctNoDataWs_2007","PctIrrigated.AgLandWs_2007","PctNoDataWs_2012","PctIrrigated.AgLandWs_2012"
"1",11646,702,"NLA06608-1403",1,-105.0336532,40.43632395,274091,22.0428,62.9442,100,100,1,58.7266862649028,59.8737024221453,274091,1540.83918242,1520.95500286,274091,0,82.3043266893534,0,0,0,0,0,0,0,0,0,0,0,17.6956733106466,0,0,0,0,0,59.7011268985791,0,0,0,0,0,0,0,0,0,0,0,40.2988731014209,0,0,0,0,274091,0.610644769881528,4.3140685141768,124.541409583889,179.420426063049,0.556406642406847,4.77250128376297,112.797850980795,180.756662216288,274091,770.50557636764,980.022987097828,274091,0.268332904382,0.288529587893,274091,0.0794354364659,1727364.26168,1392030.589,0.136098862214,3438084.59905,2811798.09462,274091,0.0158870872932,206918.434423,157770.652101,0,0,0,274091,4.96974562573994,3.70562036367794,274091,396.436702042,30.1585489365,9.50753600812,-10.4883998065,383.235553006,30.389082063,9.55498948812,-10.5781890806,91.20121,8.798791,84.65213,15.34787,93.7449,6.255104,96.0851,3.914896,92.18594,7.814064,97.18465,2.815351
"2",187811,727,"NLA06608-1476",1,-105.0447684,39.7485803,59762,10.35,10.35,100,100,0,53.9634782608696,53.9634782608696,59762,1650.05969565,1650.05969565,59762,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59762,0.69,3.39,148.59,177.16,0.69,3.39,148.59,177.16,59762,548.110434782609,548.110434782609,59762,0,0,59762,0,0,0,0,0,0,59762,0,0,0,0,0,0,59762,10.5034674138261,10.5034674138261,59762,424.001949205,18.4282307569,10.5216490779,2.61072205299,424.001949205,18.4282307569,10.5216490779,2.61072205299,100,0,100,0,100,0,100,0,100,0,100,0
"3",253108,1012,"NLA06608-4206",1,-97.41305,35.92128,108885,0.8703,0.8703,100,100,0,21,21,108885,286.819058945,286.819058945,108885,0,79.5243019648397,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4756980351603,0,0,0,79.5243019648397,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4756980351603,0,0,108885,0.972026887280248,3.97595656670114,118.682523267839,181.154074457084,0.972026887280248,3.97595656670114,118.682523267839,181.154074457084,108885,724.058945191313,724.058945191313,108885,0,0,108885,0,0,0,0,0,0,108885,0,0,0,0,0,0,108885,1.27872636578077,1.27872636578077,108885,923.562767053,22.1118846487,15.6560359647,9.19381549267,923.562767053,22.1118846487,15.6560359647,9.19381549267,100,0,100,0,100,0,100,0,100,0,100,0
"4",253350,826,"NLA06608-1804",1,-97.5946966,35.5635129,108875,22.9851,23.544,100,100,0,29.8308077841732,29.8823012232416,108875,374.661059633,374.070308939,108875,0,31.8539755351682,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0290519877676,0,34.1169724770642,0,32.628528916559,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4249187517131,0,34.9465523317279,108875,0.956185397553517,2.41218883792049,113.765530963303,141.850844036697,0.966840518422804,2.09751869689494,112.919706331493,140.853189239986,108875,991.418157492355,998.875876111046,108875,0,0,108875,0.0849473326538,5630922.12029,3931900.86646,0.0870128909598,5767842.22823,4027507.99431,108875,0,0,0,0,0,0,108875,5.50262148103976,5.40683625643134,108875,910.883595612,21.8472561282,16.0124802142,10.1706750424,911.014499209,21.8513497795,16.0164019247,10.1744938364,100,0,100,0,100,0,100,0,100,0,100,0
"5",317465,801,"NLA06608-1715",1,-100.6327156,29.1748811,315975,0.9243,47.8359,100,100,1,34,34,315975,316.468500122,291.982667965,315975,0,0,0,0,0,0.0301029143383944,0,0,0,0,0,0,0,0,0,99.9698970856616,0,0,0,0,0,0,0,1.55793573515092,0,0,0,0,0,0,0,0,0,98.4420642648491,0,0,315975,1.13041466764501,3.26769449304811,146.489536791406,182.702475964704,1.53,3.26,131.87,182.11,315975,790.585464055239,566.231742940604,315975,0,0,315975,0.0209048016239,7091.05504443,2630.13678012,1.08189981608,366987.990912,136119.182084,315975,0,0,0,0,0,0,315975,1.99016548800587,2.44774049119766,315975,558.830486587,35.9209667218,21.1888995573,3.48058739766,548.08196659,36.2222983779,21.394895301,3.65803309379,100,0,100,0,100,0,98.58328,1.416718,96.04147,3.958533,96.78651,3.213486
"6",347987,218,"NLA06608-0393",1,-120.5721188,37.8944447,374210,29.8017,2536.7517,100,100,1,44.2857185999456,58.7870857049194,374210,1619.11813444,220.188128832,374210,12.3677851482272,0,0,87.2469544417769,0,0,0,0,0,0,0,0,0,0,0,0.38526040999598,0,0,0,0,0,94.8358650681001,0,0,0,0,0,0,0,0,0,0,0,5.16413493189986,0,0,374210,1.48410168898351,10.8431655043437,97.1661697842199,181.319093307863,1.1473741853121,3.72470204904266,47.0980050386295,182.749080618072,374210,326.270915162883,462.732401171745,374210,0.036944885067,0,374210,0.011431942669,1629393.04502,1505157.73259,0.0335551327609,2831047.6248,2773102.20558,374210,0.0102493279102,1721001.39281,1644020.71979,0.0335551327609,2831047.6248,2773102.20558,374210,1.16839669155006,1.6902025808323,374210,1218.00403517,27.8299533555,9.99492375594,-3.79692835157,550.362020726,35.2651528569,16.5501724759,2.0486576255,100,0,100,0,100,0,99.95012,0.04988269,99.95012,0.04988269,99.95565,0.04434805
"7",389774,1010,"NLA06608-4056",1,-98.59889,36.11466,289734,121.2453,32827.2804,100,100,1,23.6694181135269,21.289376822699,289734,976.823320093,506.637136442,289734,0,15.9786894804725,0,1.65635926392489,0,29.5159644111122,0,0,0,0,0,0,41.4186046919683,6.08014211253394,0,4.95003174250158,0,0.400208297486623,0,0,0,0,0,2.77322090010912,0,0,0,0,0,0,5.46256226014534,0,0,45.4946294825449,0,46.2695873572006,289734,0.420323268233928,6.51710020445362,150.282354136805,179.875491515083,0.369569847353158,24.0436141813806,146.997851899525,174.474232214978,289734,642.626627659963,898.490747270203,289734,0.000260454106945,0,289734,0.0019495979935,52740.9554012,12236.1358195,0.00824774238672,3904560.62214,1132403.96782,289734,0.00124896121459,38181.2662654,7977.36521847,0,0,0,289734,1.23091647889571,1.67946055186799,289734,511.572890048,33.9154305627,13.4704839575,-6.82636074095,742.974707676,34.895099545,14.9307424626,-4.79433109385,99.8456,0.1543977,100,0,100,0,90.30187,9.698132,89.12874,10.87126,90.21328,9.786725
"8",390512,506,"NLA06608-0972",1,-98.02611684,35.52878479,289743,6.5592,15.3252,100,100,1,34,34,289743,433.480246065,429.998298573,289743,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289743,1.06,1.58,151.38,182.88,1.06,1.58,151.38,182.88,289743,587.276309607705,608.550905598244,289743,0,0,289743,0,0,0,0,0,0,289743,0,0,0,0,0,0,289743,1.88398871472868,2.23715906066136,289743,869.39149472,34.6002451323,15.7092408352,-3.57423648077,869.624331017,34.5999984741,15.7141705653,-3.56971727709,99.72558,0.2744237,99.19045,0.8095499,96.61087,3.389133,99.12497,0.8750294,98.05614,1.943857,91.74301,8.256988
"9",399680,188,"NLA06608-0332",1,-94.91494418,35.75411523,289776,101.7846,4032.3294,100,100,1,33.4990185155711,39.4017015574174,289776,340.484494941,215.836494244,289776,67.8302174420572,0.946351257910626,0,0,0,22.6918068747062,0,0,0,0,0,0,0,0,0,7.5846258988663,0,0.946998526459669,34.2449643659257,0,0,0,0,31.0069499708207,0,0,0,0,0,0,0,0,0,0.00265266061860046,0,34.745433002635,289776,0.644338417766146,4.42611117398441,140.311896741301,164.96242949535,0.820794816299975,5.0639935991926,120.703307836341,181.189575448521,289776,432.710344645951,782.967009744107,289776,0,0,289776,0.00694387715448,16731.9272934,9170.22969106,0,0,0,289776,0.00570389909118,16879.4311298,9436.94183317,0,0,0,289776,2.35157794463667,2.77814161567369,289776,1227.23664462,32.5533259723,14.7233458888,-3.51360638566,1214.93972052,33.678259835,15.6641969043,-2.72301535582,100,0,100,0,100,0,99.9298,0.07019516,99.91945,0.08055145,99.90199,0.09800539
"10",417533,591,"NLA06608-1164",1,-96.55488572,35.20545597,289823,13.2984,32.8599,100,100,1,22.0962371413102,22.6342472131686,289823,289.361347539,280.655659177,289823,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289823,0.578406781517899,5.07998082769576,77.7500898359399,135.495373996878,0.547804547915539,4.83983216025988,75.7042663779101,125.117303735788,289823,427.781600065734,454.209258256632,289823,0,0,289823,0.0912966868432,857732.920672,407770.359618,0.225591048547,2119429.25465,1007586.8706,289823,0.0608644578955,850225.41152,401576.664567,0.150394032365,2100878.45154,992282.45804,289823,1.78433803369943,1.30451894909989,289823,1062.92137827,34.7796824757,16.2197923334,-2.47648929896,1063.80853123,34.7855368156,16.2302513715,-2.41325806701,100,0,100,0,100,0,100,0,100,0,100,0
