SITE_ID,VISIT_NO,DATE_COL,JULIAN_DAY,REPEAT,Chir_PCT_C,Chir_d13C,CAT_13C,Chir_PCT_N,Chir_d15N,CAT_15N,Lake_dD,P_dD_K,Lake_d18O,P_d18O_K,d-excess,E_I,BASINAREA_KM2,IRT,PRT,ORT,MRT,LON_DD,LAT_DD,ALBERS_X,ALBERS_Y,ST,STATE_NAME,EPA_REG,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,REF_NUTR,AREA_HA,LAKEAREA,LAKEPERIM,SLD,DEPTH_X,DEPTHMAX,Lake_Vol,ELEV_PT,Max_WSelev,Mean_WSelev,Stdev_WSelev,DOM_GEOL,GEOL_PT,Precip_WS,Precip_PT,P_WY,E,RH_WS,RH_PT,RH_COLMO,RH_FW,T_FW,TMAX_WS,TMEAN_WS,TMIN_WS,TMAX_PT,TMEAN_PT,TMIN_PT,LITRIPCVR_OE,LITRIPCVR_COND,OE5,OE5_COND_R,OE5_COND,LDC_ADJ,LDC_COND,RDis_IX,RDIS_COND,DO2_2M,DO2_COND,PTL_COND,NTL_COND,CHLA_COND,PTL,NTL,CHLA,RT_BUG,ECOBUG,MMI_NLABUG,totlrich,CHIRrich,totlnind,CHIRptax,CHIRpind,POP_DEN,FarmFert,LvStckCon,LvStckUnC,NnFarmFert,ATM_N,Hum_N,Fert,manure,largest_source,AN,AN_CAT,HN,HN_CAT,FertN,FN_CAT,ManureN,MN_CAT,N_CAT,Nload,MaxNload,EN,NEN,nsource,PCT_DEVELOPED_BSN,PCT_FOREST_BSN,PCT_SHRUBLAND_BSN,PCT_GRASS_BSN,PCT_PASTURE_BSN,PCT_CROPS_BSN,PCT_AGRIC_BSN,PCT_WETLAND_BSN,PCT_BURR,PCT_SPRL,PCT_CLIM,PCT_COLL,PCT_FILT,PCT_PRED,PCT_SHRD
NLA06608-0001,1,7/31/2007,211,N,85.67,-22.65,HIGH,24.04,0.87,LOW,-120.24,-132.80,-15.73,-17.85,5.63,0.103,3.76,0.77,0.32,0.77,0.36,-114.0218399,48.97902855,-1327628.088,1405394.836,MT,Montana,Region_8,0.028208177,35.10944309,7.59453197,MT,NO, Western_Region,WMT,41,II,II,NATURAL,WMTNS NATURAL,F, Good,Y,66.2930555,0.662930555,3.178509805,1.101246662,8.3,8.3,1866604.421,1605.73,2857,1971,333,Gneiss,Gneiss,1915.67,1775,1.53,0.38,65,65,0.33,0.55,11.28,16.52,-0.8,-13.32,17.7,0.1,-12.7,0.994596642, Good,0.504031,Poor,POOR,,NA,0,Least,8.233333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,6,151,0.24, Good,WMX,54.71600148,19,10,300,52.63157895,45.33333333,0.1,0,0,98.58,0,958.2550234,2.04382395,0,98.58,Atmospheric,2.550096877,LOW,0.005439,LOW,0,LOW,0.262339924,LOW,LOW,2.817875801,2.550096877,0.267778924,2.550096877,not enriched,0,41.9,7.5,0.1,0,0,0,0,3.6,61.15,18.71,42.45,2.16,32.37,0
NLA06608-0002,1,6/14/2007,164,Y,49.43,-27.92,AVG,11.77,1.95,LOW,2.32,-22.72,1.24,-3.99,-7.61,0.366,2.29,0.26,0.04,0.26,0.17,-79.98379054,33.03606404,1479703.799,-374482.0732,SC,South Carolina,Region_4,0.008172009,121.1909255,60.65422715,SC,YES,Plains,CPL,63,XIV,CPL,MAN-MADE,PLNLOW MAN-MADE,D,Fair,N,14.43799807,0.144379981,1.743509934,1.294392549,2.3,2.3,97442.09625,4.9,13,7,1,Quaternary,Quaternary,1292,1292,1.08,0.94,71,71,0.49,0.57,24.25,32.45,18.3,2.85,32.4,18.3,2.9,1.087088773, Good,0.592696,Poor,POOR,8.399121001, Good,0.743617021,Intermediate,,NA,INTERMEDIATE DISTURBANCE,INTERMEDIATE DISTURBANCE,LEAST DISTURBED,36,695,3.84,Fair,CPL,32.60286678,43,11,300,25.58139535,64,169.6340174,0,0,60.756,17.688,2350.099,2113.246619,17.688,60.756,Atmospheric,10.26048716,HIGH,9.226394206,LOW,0.077225469,LOW,0.265259531,LOW,INT,19.82936637,10.26048716,9.491653737,10.33771263,not enriched,1,59.9,1.6,4.5,0.3,0,0.3,32.8,61.58,17.01,13.49,62.17,0.29,16.13,14.66
NLA06608-0003,1,8/29/2007,240,Y,41.24,-31.84,LOW,10.83,3.96,AVG,-4.84,-18.50,-0.01,-3.63,-4.77,0.204,4.84,0.17,0.01,0.17,0.08,-97.85986605,28.04774206,-183477.3403,-1051756.915,TX,Texas,Region_6,0.001312891,754.345388,210.5049403,TX,YES,Plains,CPL,34,X,CPL,NATURAL,PLNLOW NATURAL,D,Poor,N,5.701736559,0.057017366,1.265008306,1.494461982,2.5,2.5,53941.70242,17.6,44,37,6,Quaternary,Quaternary,822.17,822,1.08,1.13,74,74,0.56,0.66,26,35.6,21.82,6.65,35.6,21.8,6.7,0.804289529,Fair,0.601566,Poor,POOR,11.7829658, Good,0.561904762,Intermediate,8.1,HIGH,INTERMEDIATE DISTURBANCE,INTERMEDIATE DISTURBANCE,LEAST DISTURBED,43,738,16.96,Poor,CPL,33.34033599,32,14,300,43.75,80.66666667,76.70750599,18106.569,423.462,2935.14,8.201,3466.349096,2018.21351,18114.77,3358.602,Fertilizer,7.165757565,INT,4.172121251,LOW,37.44748339,INT,6.943019017,LOW,INT,55.72838122,37.44748339,11.11514027,44.61324095,not enriched,11.3,10.3,27.1,4.9,11.6,32.5,44.1,0.4,83.33,2.67,6.44,36,50.22,2.89,50.89
NLA06608-0004,1,7/10/2007,190,Y,36.24,-26.51,AVG,10.38,5.51,AVG,-61.77,-88.43,-7.01,-12.45,-5.66,0.285,4.70,1.05,0.58,1.05,3.31,-108.4045832,37.41662013,-1084415.766,61530.21955,CO,Colorado,Region_8,0.04653754,21.28117139,9.171940265,CO,YES, Western_Region,WMT,21,II,II,MAN-MADE,WMTNS MAN-MADE,G,Fair,N,65.38630923,0.653863092,6.011153731,2.097053406,6.3,6.3,1228378.514,2213,2301,2231,11,Sedimentary,Sedimentary,497.5,497,0.45,0.51,52,52,0.21,0.36,16.59,27.95,7.17,-11.42,28,7.2,-11.4,0.71957098,Fair,1.032252, Good,NOT POOR,-7.822884403,Fair,0.514864865,Intermediate,6.666666667,HIGH,INTERMEDIATE DISTURBANCE,INTERMEDIATE DISTURBANCE,MOST DISTURBED,18,344,4.6,Fair,WMX,44.78263017,33,13,300,39.39393939,30,42.88688084,135.245,7.425,1242.054,0.782,1392.399079,1096.951072,136.027,1249.479,Atmospheric,2.960874436,LOW,2.332617449,LOW,0.289255338,LOW,2.656961273,LOW,LOW,8.239708496,2.960874436,4.989578722,3.250129775,enriched,0.4,37,50.1,1.1,1.4,0.3,1.7,1.8,10,70.67,19.33,56.67,4,38.67,32.67
NLA06608-0005,1,7/18/2007,198,Y,58.17,-21.04,HIGH,15.03,2.4,LOW,-128.54,-137.45,-16.45,-18.13,3.05,0.082,87.08,0.48,0.01,0.48,0.01,-114.8403862,43.92920926,-1497348.779,868551.6556,ID,Idaho,Region_10,0.020429638,48.47728408,15.02738514,ID,NO, Western_Region,WMT,16,II,II,NATURAL,WMTNS NATURAL,F, Good,N,19.48761255,0.194876125,1.962187216,1.253880625,6.1,6.1,435130.752,2138,3233,2508,230,Granitic,Granitic,1148.17,621,0.48,0.38,66.5,68,0.21,0.38,13.39,22.51,1.83,-13.61,24.6,1.7,-16.4,1.57768997, Good,0.98863, Good,NOT POOR,2.481201139, Good,0.264285714,Intermediate,8.043333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,4,85,1.205, Good,WMX,46.54863738,37,13,300,35.13513514,29.33333333,0.633581983,0,0,12128.84,0,18859.42061,300.0697779,0,12128.84,Atmospheric,2.165847964,LOW,0.034460524,LOW,0,LOW,1.392896631,LOW,LOW,3.593205118,2.165847964,1.427357155,2.165847964,not enriched,0,46.6,11.6,33.6,0,0,0,2.2,16.48,42.05,55.11,65.34,18.75,17.61,9.66
NLA06608-0006,1,7/17/2007,197,Y,42.95,-25.24,AVG,11.59,7.56,HIGH,-45.54,-45.78,-6.93,-6.97,9.9,0.002,23.08,0.03,0.16,0.16,0.27,-73.1465177,41.68314624,1870444.891,694667.1376,CT,Connecticut,Region_1,0.057009219,17.3721618,19.57749882,CT,YES,  Eastern_Highlands,NAP,59,XIV,CPL,MAN-MADE,EHIGH MAN-MADE,B, Good,Y,56.19974819,0.561997482,5.836994717,2.196429072,25.3,25.3,4576033.741,198.75,379,284,39,Sedimentary,Sedimentary,1325.63,1316,1.24,0.58,65.83,66,0.47,0.57,17.55,27.08,8.18,-10.25,27.8,8.7,-9.7,0.787825014,Fair,0.263796,Poor,POOR,-15.84857408,Fair,0.133333333,Least,8.586666667,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,7,184,4.08, Good,NAP,49.69004793,44,15,300,34.09090909,21.66666667,122.355315,5258.162,9292.868,3750.282,657.712,28617.54546,15361.79977,5915.874,13043.15,Atmospheric,12.3974447,HIGH,6.654905583,LOW,2.562823595,LOW,5.650440251,LOW,INT,27.26561412,12.3974447,12.30534583,14.96026829,not enriched,6,68.3,0.6,0,17.6,1,18.6,1.3,23.15,31.48,45.37,28.7,34.26,26.85,12.04
NLA06608-0007,1,7/24/2007,204,Y,40.1,-23.49,AVG,10.65,3.61,AVG,-41.02,-68.71,-3.65,-10.02,-11.84,0.422,9.13,5.82,0.32,5.82,3.11,-92.04001797,45.58064546,309041.6284,909941.6956,WI,Wisconsin,Region_5,0.00595348,166.3520122,159.855637,WI,NO,Plains,UMW,51,VII,VII,NATURAL,PLNLOW NATURAL,C, Good,Y,25.4747633,0.254747633,3.02298601,1.689569755,19.2,19.2,2016224.463,390.86,433,405,7,Volcanic,Sedimentary,839.82,842,0.7,0.57,70,70,0.48,0.61,17.53,27.49,5.7,-17.38,27.5,5.7,-17.4,0.77643566,Fair,0.815667,Fair,NOT POOR,12.16478878, Good,0.386842105,Intermediate,8.196666667,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,8,493,2.432, Good,UMW,74.69840221,47,26,300,55.31914894,70.66666667,27.1,3243.24,3055.536,617.263,81.45,9361.707122,1345.332839,3324.69,3672.799,Atmospheric,10.25684179,HIGH,1.473969,LOW,3.642585577,LOW,4.023979579,LOW,INT,19.39737595,10.25684179,5.497948579,13.89942737,not enriched,3.3,63.8,0.1,1,8,2.3,10.3,12.3,19.3,38.87,37,46.11,22.25,30.29,8.31
NLA06608-0008,1,7/12/2007,192,Y,39.47,-26.12,AVG,10.89,4.06,AVG,-25.36,-48.91,-2.05,-8.00,-8.97,0.392,13.32,0.79,0.05,0.79,0.23,-93.59040488,41.29211104,200215.4542,427447.7852,IA,Iowa,Region_7,0.12642225,7.833853361,3.396573599,IA,NO,Plains,TPL,47,VI,VI,MAN-MADE,PLNLOW MAN-MADE,C,Fair,N,48.7370362,0.487370362,5.71138051,2.307844831,5.5,5.5,681734.6106,261.56,308,288,12,Sedimentary,Sedimentary,892.44,890,0.98,0.69,68,68,0.45,0.59,20.23,30.44,10.09,-10.96,30.5,10.1,-10.9,0.978253584, Good,0.69845,Poor,POOR,-11.14887994,Fair,0.46744186,Intermediate,6.2,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,66,801,30.24,Fair,PLN,51.46125777,40,15,300,37.5,12.66666667,17.81572666,28359.177,3587.199,9503.298,610.736,14773.54409,1290.976467,28969.913,13090.497,Fertilizer,11.08891275,HIGH,0.968997373,LOW,21.74460209,INT,9.825630075,LOW,INT,43.62814229,21.74460209,10.79462745,32.83351484,not enriched,7.2,34.6,0.2,7.5,19.9,21.9,41.8,0.9,17.28,48.15,9.88,18.52,7.41,49.38,3.7
NLA06608-0010,1,7/17/2007,197,Y,30.89,-18.9,HIGH,7.3,6.19,AVG,-35.98,-56.87,-3.55,-8.45,-7.6,0.262,2.93,1.69,0.46,1.69,1.06,-83.50588771,42.61823014,1015822.849,640128.173,MI,Michigan,Region_5,0.005801054,170.7230091,81.58117426,MI_LP,YES,Plains,UMW,56,VII,VII,NATURAL,PLNLOW NATURAL,C,Fair,N,30.03733238,0.300373324,2.423467747,1.247388202,11.7,11.8,1184034.155,284.65,309,293,5,Sedimentary,Sedimentary,798.5,799,0.88,0.61,71,71,0.4,0.56,18.22,27.93,8.6,-9.15,28,8.6,-9.1,0.449931274,Poor,1.04288, Good,NOT POOR,-14.62872109,Fair,0.786506936,Most,9.933333333,HIGH,LEAST DISTURBED,LEAST DISTURBED,LEAST DISTURBED,10,473,4.384,Poor,UMW,44.75481861,36,15,300,41.66666667,24.66666667,943.0437966,217.36,31.84,60.264,3039.142,3891.974851,15041.50126,3256.502,92.104,Sewage,13.27179798,HIGH,51.2921521,HIGH,11.10480882,INT,0.314078515,LOW,HIGH,75.98283741,51.2921521,51.60623061,24.3766068,enriched,53.8,20.8,0,1.7,2.5,0.7,3.2,9.8,14.73,19.38,64.34,41.09,41.86,13.18,3.88
NLA06608-0012,1,6/13/2007,163,Y,32.92,-30.86,LOW,9.08,8.23,HIGH,-21.49,-27.24,-3.65,-4.66,7.73,0.059,83.22,0.07,0.02,0.07,0.05,-96.87178731,35.99078823,-77893.23693,-168722.9814,OK,Oklahoma,Region_6,0.078811688,12.56632614,3.451225091,OK,NO,Plains,SPL,27,V,V,MAN-MADE,PLNLOW MAN-MADE,C,Poor,Y,177.6575126,1.776575126,13.50645679,2.858542891,3.4,3.5,1902456.281,255.6,327,288,15,Sedimentary,Sedimentary,975.72,972,1.36,0.87,63.88,63,0.58,0.62,23.19,34.2,15.66,-3.63,34.3,15.5,-4,1.526961753, Good,0.753562,Fair,NOT POOR,2.604217349, Good,0.396969697,Intermediate,5.4,HIGH,INTERMEDIATE DISTURBANCE,LEAST DISTURBED,LEAST DISTURBED,159,1026,4.9,Poor,PLN,69.19445436,49,18,300,36.73469388,24.33333333,31.14612264,131639.546,2.4016269,119294.487,1073.548,70219.33354,14097.39894,132713.094,119296.8886,Fertilizer,8.438024099,INT,1.69403761,LOW,15.94769174,INT,14.3355109,INT,INT,40.41526435,15.94769174,16.02954851,24.38571584,not enriched,4.9,13.4,0,61.1,8.1,9.7,17.8,0,28,45.6,22.4,32.8,25.6,44,10.4
