SITE_ID,phdi_nla07_WY_AVG
NLA06608-0318,-3.665384615
NLA06608-0323,-3.665384615
NLA06608-0447,-1.315384615
NLA06608-0066,0.931538462
NLA06608-0066,0.931538462
NLA06608-0175,0.468461538
NLA06608-0041,-0.524615385
NLA06608-0041,-0.524615385
NLA06608-0478,-3.916153846
NLA06608-0479,2.026153846
NLA06608-0030,-3.916153846
NLA06608-0467,1.993076923
NLA06608-0170,0.998461538
NLA06608-0234,1.201538462
NLA06608-0362,1.201538462
NLA06608-0115,-0.973076923
NLA06608-0274,2.516923077
NLA06608-0420,2.064615385
NLA06608-0388,-1.315384615
NLA06608-0388,-1.315384615
NLA06608-0020,0.063076923
NLA06608-0020,0.063076923
NLA06608-0196,0.063076923
NLA06608-0100,0.503846154
NLA06608-0052,0.503846154
NLA06608-0308,0.503846154
NLA06608-0036,1.166923077
NLA06608-0036,1.166923077
NLA06608-0292,0.503846154
NLA06608-0118,-2.805384615
NLA06608-0043,1.610769231
NLA06608-0043,1.610769231
NLA06608-0219,1.610769231
NLA06608-0299,1.610769231
NLA06608-0107,1.610769231
NLA06608-0491,2.144615385
NLA06608-0138,0.439230769
NLA06608-0410,0.439230769
NLA06608-0474,0.439230769
NLA06608-0146,3.170769231
NLA06608-0074,2.745384615
NLA06608-0502,2.745384615
NLA06608-0426,1.955384615
NLA06608-0111,3.170769231
NLA06608-0010,2.745384615
NLA06608-0010,2.745384615
NLA06608-0463,2.745384615
NLA06608-0286,-3.916153846
NLA06608-0324,-1.090769231
NLA06608-0415,2.356153846
NLA06608-0287,0.496153846
NLA06608-0031,0.496153846
NLA06608-0031,0.496153846
NLA06608-0229,1.423846154
NLA06608-0367,3.170769231
NLA06608-0303,3.050769231
NLA06608-0143,2.774615385
NLA06608-0255,-2.852307692
NLA06608-0164,2.064615385
NLA06608-0212,2.079230769
NLA06608-0148,2.760769231
NLA06608-0139,2.144615385
NLA06608-0159,1.891538462
NLA06608-0445,0.496153846
NLA06608-0189,0.240769231
NLA06608-0189,0.240769231
NLA06608-0404,-3.248461538
NLA06608-0191,-1.859230769
NLA06608-0021,2.954615385
NLA06608-0021,2.954615385
NLA06608-0330,0.439230769
NLA06608-0063,-0.145384615
NLA06608-0250,-3.665384615
NLA06608-0035,-0.555384615
NLA06608-0239,-2.852307692
NLA06608-0291,-0.973076923
NLA06608-0271,2.774615385
NLA06608-0341,2.084615385
NLA06608-0399,2.745384615
NLA06608-0393,-2.976923077
NLA06608-0210,-1.993076923
NLA06608-0466,-1.756153846
NLA06608-0245,-2.694615385
NLA06608-0501,-2.36
NLA06608-0290,-1.993076923
NLA06608-0290,-1.993076923
NLA06608-0117,-2.976923077
NLA06608-0201,-2.694615385
NLA06608-0437,-2.976923077
NLA06608-0181,-3.613846154
NLA06608-0457,-3.613846154
NLA06608-0278,-2.36
NLA06608-0173,-4.152307692
NLA06608-0373,-4.152307692
NLA06608-0257,-1.3
NLA06608-0065,-1.3
NLA06608-0065,-1.3
NLA06608-0449,-0.894615385
NLA06608-0273,1.57
NLA06608-0277,-1.597692308
NLA06608-0133,-2.249230769
NLA06608-0165,-2.947692308
NLA06608-0017,0.392307692
NLA06608-0005,-2.249230769
NLA06608-0005,-2.249230769
NLA06608-0305,-2.249230769
NLA06608-0353,-2.249230769
NLA06608-0406,0.375384615
NLA06608-0342,0.690769231
NLA06608-0086,0.690769231
NLA06608-0086,0.690769231
NLA06608-0166,-0.318461538
NLA06608-0337,0.428461538
NLA06608-0309,-1.993076923
NLA06608-0482,-1.756153846
NLA06608-0034,-1.993076923
NLA06608-0033,-0.266923077
NLA06608-0033,-0.266923077
NLA06608-0049,-2.154615385
NLA06608-0193,0.357692308
NLA06608-0081,0.696923077
NLA06608-0081,0.696923077
NLA06608-0465,0.690769231
NLA06608-0129,-1.3
NLA06608-0129,-1.3
NLA06608-0321,-1.3
NLA06608-0481,-1.3
NLA06608-0209,0.696923077
NLA06608-0209,0.696923077
NLA06608-0390,-1.993076923
NLA06608-0202,-2.567692308
NLA06608-0085,-2.218461538
NLA06608-0085,-2.218461538
NLA06608-0485,-2.781538462
NLA06608-0402,-0.363846154
NLA06608-0402,-0.363846154
NLA06608-0306,-1.993076923
NLA06608-0468,0.813076923
NLA06608-0079,0.813076923
NLA06608-0079,0.813076923
NLA06608-0351,-0.865384615
NLA06608-0132,-4.141538462
NLA06608-0495,0.813076923
NLA06608-0004,0.813076923
NLA06608-0004,0.813076923
NLA06608-0497,-1.418461538
NLA06608-0018,-2.220769231
NLA06608-0241,-1.418461538
NLA06608-0338,-2.220769231
NLA06608-0082,-2.220769231
NLA06608-0169,-0.866923077
NLA06608-0169,-0.866923077
NLA06608-0317,-0.866923077
NLA06608-0137,-3.613846154
NLA06608-0450,-2.220769231
NLA06608-0194,-2.220769231
NLA06608-0425,-0.866923077
NLA06608-0105,-0.866923077
NLA06608-0105,-0.866923077
NLA06608-0009,-2.944615385
NLA06608-0262,-2.944615385
NLA06608-0073,-2.944615385
NLA06608-0073,-2.944615385
NLA06608-0329,-2.944615385
NLA06608-0130,-2.207692308
NLA06608-0090,-3.546923077
NLA06608-0090,-3.546923077
NLA06608-0282,-3.546923077
NLA06608-0068,0.813076923
NLA06608-0068,0.813076923
NLA06608-0127,-4.141538462
NLA06608-0383,-4.141538462
NLA06608-0237,-3.419230769
NLA06608-0237,-3.419230769
NLA06608-0061,-2.716923077
NLA06608-0061,-2.716923077
NLA06608-0322,-1.989230769
NLA06608-0265,-2.944615385
NLA06608-0120,-0.196153846
NLA06608-0120,-0.196153846
NLA06608-0332,0.708461538
NLA06608-0396,0.708461538
NLA06608-0268,0.551538462
NLA06608-0180,1.566923077
NLA06608-0094,2.213846154
NLA06608-0284,1.566923077
NLA06608-0204,1.749230769
NLA06608-0028,1.749230769
NLA06608-0472,0.264615385
NLA06608-0376,-0.196153846
NLA06608-0228,2.501538462
NLA06608-0228,2.501538462
NLA06608-0276,2.501538462
NLA06608-0372,2.501538462
NLA06608-0328,-0.051538462
NLA06608-0328,-0.051538462
NLA06608-0456,0.816153846
NLA06608-0280,1.410769231
NLA06608-0267,1.410769231
NLA06608-0087,0.816153846
NLA06608-0072,0.816153846
NLA06608-0072,0.816153846
NLA06608-0023,0.816153846
NLA06608-0023,0.816153846
NLA06608-0400,1.749230769
NLA06608-0003,1.265384615
NLA06608-0003,1.265384615
NLA06608-0015,2.16
NLA06608-0015,2.16
NLA06608-0500,-1.211538462
NLA06608-0024,1.410769231
NLA06608-0024,1.410769231
NLA06608-0144,0.816153846
NLA06608-0144,0.816153846
NLA06608-0248,-0.460769231
NLA06608-0424,0.144615385
NLA06608-0096,0.263846154
NLA06608-0088,0.816153846
NLA06608-0430,3.090769231
NLA06608-0131,2.213846154
NLA06608-0443,0.211538462
NLA06608-0244,2.076153846
NLA06608-0116,0.299230769
NLA06608-0340,0.299230769
NLA06608-0260,0.299230769
NLA06608-0408,0.264615385
NLA06608-0152,0.264615385
NLA06608-0356,0.299230769
NLA06608-0056,0.144615385
NLA06608-0331,1.719230769
NLA06608-0440,0.363846154
NLA06608-0360,1.024615385
NLA06608-0104,1.024615385
NLA06608-0104,1.024615385
NLA06608-0352,1.838461538
NLA06608-0232,0.144615385
NLA06608-0488,0.144615385
NLA06608-0270,2.213846154
NLA06608-0288,1.181538462
NLA06608-0012,0.551538462
NLA06608-0012,0.551538462
NLA06608-0379,-1.413846154
NLA06608-0140,0.328461538
NLA06608-0076,-0.662307692
NLA06608-0076,-0.662307692
NLA06608-0187,-1.413846154
NLA06608-0452,-1.413846154
NLA06608-0315,-1.413846154
NLA06608-0123,-1.413846154
NLA06608-0394,-2.418461538
NLA06608-0486,0.230769231
NLA06608-0312,-0.157692308
NLA06608-0448,0.230769231
NLA06608-0192,0.230769231
NLA06608-0314,-1.376923077
NLA06608-0184,-0.157692308
NLA06608-0460,-0.662307692
NLA06608-0042,-3.198461538
NLA06608-0042,-3.198461538
NLA06608-0346,-3.988461538
NLA06608-0296,-2.187692308
NLA06608-0092,0.388461538
NLA06608-0348,-0.662307692
NLA06608-0058,-1.376923077
NLA06608-0247,2.77
NLA06608-0168,0.144615385
NLA06608-0001,-2.512307692
NLA06608-0259,2.536923077
NLA06608-0446,-0.023846154
NLA06608-0126,-0.023846154
NLA06608-0126,-0.023846154
NLA06608-0195,-0.023846154
NLA06608-0451,-0.023846154
NLA06608-0199,2.77
NLA06608-0407,2.456923077
NLA06608-0471,2.456923077
NLA06608-0295,2.456923077
NLA06608-0054,-2.512307692
NLA06608-0064,-2.512307692
NLA06608-0064,-2.512307692
NLA06608-0225,-0.236923077
NLA06608-0225,-0.236923077
NLA06608-0122,-2.512307692
NLA06608-0378,-0.236923077
NLA06608-0128,-2.512307692
NLA06608-0128,-2.512307692
NLA06608-0496,-2.512307692
NLA06608-0385,-2.512307692
NLA06608-0320,-2.512307692
NLA06608-0490,-0.236923077
NLA06608-0026,-5.403076923
NLA06608-0246,-5.403076923
NLA06608-0375,-0.882307692
NLA06608-0311,-0.696153846
NLA06608-0439,-0.882307692
NLA06608-0182,1.23
NLA06608-0310,1.23
NLA06608-0438,1.23
NLA06608-0464,1.036153846
NLA06608-0019,2.536923077
NLA06608-0019,2.536923077
NLA06608-0067,-0.023846154
NLA06608-0062,-0.023846154
NLA06608-0062,-0.023846154
NLA06608-0119,-0.882307692
NLA06608-0055,-0.882307692
NLA06608-0083,2.536923077
NLA06608-0083,2.536923077
NLA06608-0275,2.536923077
NLA06608-0339,2.536923077
NLA06608-0220,1.023846154
NLA06608-0044,1.023846154
NLA06608-0044,1.023846154
NLA06608-0364,-3.31
