SITE_ID,pet_200610,pet_200611,pet_200612,pet_200701,pet_200702,pet_200703,pet_200704,pet_200705,pet_200706,pet_200707,pet_200708,pet_200709,E_avg_06_07,precip_200610,precip_200611,precip_200612,precip_200701,precip_200702,precip_200703,precip_200704,precip_200705,precip_200706,precip_200707,precip_200708,precip_200709,Precip_PT_avg_06_07,Precip_WY_06_07,RH_200610,RH_200611,RH_200612,RH_200701,RH_200702,RH_200703,RH_200704,RH_200705,RH_200706,RH_200707,RH_200708,RH_200709,RH_PT_avg_06_07,tmean_200610,tmean_200611,tmean_200612,tmean_200701,tmean_200702,tmean_200703,tmean_200704,tmean_200705,tmean_200706,tmean_200707,tmean_200708,tmean_200709,TMEAN_PT_avg_06_07,tdmean_200610,tdmean_200611,tdmean_200612,tdmean_200701,tdmean_200702,tdmean_200703,tdmean_200704,tdmean_200705,tdmean_200706,tdmean_200707,tdmean_200708,tdmean_200709
NLA06608-0001,18.82,8.98,5.83,6.01,8.71,15.19,26.84,47.15,61.80,78.46,65.47,35.78,31.59,92.22,320.34,115.61,104.41,124.19,261.86,162.07,105.97,108.33,22.27,16.03,96.72,127.5016667,1530.02,72.53,78.01,78.21,83.02,70.28,63.52,58.86,54.80,56.15,44.87,46.09,58.06,63.70,4.46,-3.10,-3.21,-5.11,-4.26,2.76,3.91,9.41,12.63,19.96,15.49,9.95,5.240277778,83.94918402,-27.86910701,-18.71104859,-30.70793005,-37.09608337,41.86239542,105.0381518,443.5431843,780.7939191,1566.041021,1013.945053,355.969807
NLA06608-0002,59.22,37.74,27.59,25.37,31.26,50.38,69.51,111.55,139.22,158.92,134.30,98.48,78.63,68.15,132.76,73.83,75.9,51.7,31.11,49.07,35.06,117.45,169.59,116.52,155.82,89.74666667,1076.96,57.39,58.29,57.17,52.77,46.15,48.54,44.07,52.28,60.90,60.44,61.86,60.51,55.03,20.06,15.68,14.84,13.26,11.35,18.16,19.55,23.65,27.45,28.42,30.58,26.84,20.82027778,1187.730107,591.818723,409.419187,336.3550004,354.8985356,914.7802011,1358.948281,2638.524366,3821.934194,4516.605302,4106.552434,2643.578657
NLA06608-0003,77.55,48.07,35.90,34.81,41.55,64.91,92.46,128.18,158.13,170.36,155.97,117.47,93.78,48.96,2.42,66.5,147.82,4.86,70.81,35.89,107.52,98.94,356.46,67.27,77.18,90.38583333,1084.63,65.22,55.93,64.12,73.40,59.84,59.89,64.92,64.62,67.38,71.77,67.58,68.49,65.27,25.46,21.51,15.77,12.31,16.23,21.88,21.80,26.64,29.27,29.01,30.48,29.03,23.28277778,1974.170406,1033.719052,566.1338219,428.6884045,674.5569139,1420.065931,2015.561118,3414.674441,4628.357972,4942.205681,4754.526957,3410.570926
NLA06608-0004,31.21,15.96,11.41,11.27,14.34,23.82,33.81,55.40,79.12,95.72,84.63,53.47,42.51,104.37,16.64,23.9,22.61,35.73,20.31,29.58,48.25,4.94,50.89,46.38,49.94,37.795,453.54,48.99,39.59,51.83,51.73,52.63,38.52,38.34,39.48,20.79,30.13,37.81,36.47,40.53,10.04,5.49,-0.03,-1.94,1.27,6.65,9.65,14.02,20.61,23.87,22.70,18.10,10.87027778,313.3159306,87.60957921,-0.304295653,-21.90290384,18.25958727,158.5062788,326.171627,776.6768476,1630.65712,2285.246018,1921.370227,967.9893247
NLA06608-0005,22.06,9.94,6.79,7.28,9.86,16.28,25.84,43.89,60.08,76.79,65.91,37.48,31.85,55.54,82.97,98.33,23.84,56.38,25.88,33.49,25.03,25.92,18.55,9,24.06,39.91583333,478.99,47.86,60.26,62.50,51.09,59.98,46.27,42.14,37.05,34.87,32.08,29.74,41.24,45.43,7.03,-0.36,-3.71,-5.27,-0.53,4.34,6.63,11.42,15.40,21.68,18.59,12.71,7.327222222,155.1687037,-3.611018635,-25.22121436,-38.35510954,-5.228420585,70.6685455,171.225002,501.4251262,924.9626947,1665.114469,1225.186684,476.3117366
NLA06608-0006,32.44,16.95,10.42,9.20,12.17,22.27,39.29,70.08,101.31,114.70,93.53,57.49,48.32,183.01,145.79,52.75,75.35,45.73,113.68,229.97,42.25,93.03,156.88,58.91,44.65,103.5,1242,57.43,64.42,56.79,56.50,48.77,47.47,48.37,44.58,58.43,59.98,62.84,59.33,55.41,12.28,9.31,4.27,0.54,-4.23,3.19,8.93,17.85,20.95,22.75,22.32,19.61,11.48027778,398.2531761,157.7717599,44.47737469,4.966193862,-51.50710213,71.11465836,350.6893042,1250.842641,2122.85386,2609.419768,2088.001643,1127.166209
NLA06608-0007,29.76,12.35,6.49,5.46,8.55,18.39,37.93,73.70,107.94,121.63,97.27,54.63,47.84,37.38,22.88,36.22,28.17,17.83,49.91,39.22,70.65,56.38,95.45,96.84,145.04,57.9975,695.97,59.98,69.75,78.16,75.91,67.94,68.58,49.49,54.59,57.52,61.59,64.26,65.43,64.43,7.58,2.44,-2.35,-7.17,-11.26,1.78,8.02,17.40,22.13,23.36,22.03,17.67,8.47,225.6656523,30.17617088,-15.24943318,-39.15934577,-96.24986943,32.73060084,304.0662023,1282.205555,2389.117595,2841.344077,2142.830959,965.4269353
NLA06608-0008,36.80,17.05,9.88,8.71,12.99,25.22,47.19,84.02,121.34,146.13,112.26,69.17,57.56,45.29,44.51,46.03,19.07,54.97,60.08,112.38,160.12,63.91,64.54,235.87,72.92,81.64083333,979.69,55.51,58.68,65.35,69.96,69.61,65.87,54.99,57.43,58.23,57.27,64.62,56.81,61.19,11.59,7.20,2.56,-3.03,-6.30,8.81,10.80,20.43,23.62,25.98,26.48,20.56,12.39083333,426.4095289,122.7912624,25.28118656,-26.4174638,-81.90621931,222.124098,509.8124546,1716.238177,2865.951124,3796.442072,2973.034096,1422.211087
NLA06608-0010,32.27,16.70,10.19,9.02,11.33,22.24,39.53,75.40,109.33,123.72,100.39,61.31,50.95,117.59,54.6,89.67,101.86,16.39,66.6,66.1,90.65,60.06,31.85,146.85,35.85,73.1725,878.07,64.40,68.02,67.84,73.41,66.55,56.54,53.49,49.28,52.00,52.88,60.21,58.69,60.28,10.10,6.45,2.84,-1.69,-6.83,4.80,8.85,17.70,22.73,23.10,23.95,20.09,11.00722222,325.7741397,107.7680402,28.94121312,-15.25077784,-77.33436416,106.7621424,349.8639171,1334.615276,2484.961114,2857.870092,2404.02239,1231.605972
NLA06608-0012,51.60,26.69,16.99,15.72,22.39,39.19,62.37,101.49,135.74,164.44,146.20,87.54,72.53,39.46,49.48,74.46,40.16,19.81,129.14,70.52,264.37,326.72,168.88,86.06,93.18,113.52,1362.24,49.62,52.78,58.54,59.78,55.13,51.40,54.58,68.28,70.58,65.58,58.84,63.09,59.02,18.63,12.91,6.96,2.98,5.16,16.99,15.39,22.52,25.49,28.07,30.23,25.07,17.53333333,961.1042043,344.5738386,118.2398556,46.8982327,115.4828951,665.7665211,960.074842,2285.85954,3460.533644,4615.898168,4419.066727,2194.219365
