SITE_ID,Precip_PT,E,RH_PT,TMEAN_PT,P_WY
NLA12_AL-101,111.06,81.74651157,3.674741475,18.40076901,1331.519408
NLA12_AL-102,118.98,72.68139608,3.28043103,16.36384608,1460.071563
NLA12_AL-103,100.44,77.20617902,3.50416806,17.3446155,1229.91775
NLA12_AL-104,114.80,77.79513988,3.587239665,17.87230741,1456.801525
NLA12_AL-105,125.56,82.54740974,3.849724842,18.90269221,1555.21018
NLA12_AL-112,113.20,79.68051935,3.613249573,17.85576938,1342.195724
NLA12_AL-113,143.21,86.04037907,4.095428439,19.91230759,1775.400871
NLA12_AL-114,103.34,77.74232385,3.513781395,17.37269211,1244.363315
NLA12_AL-R03,94.28,73.00422555,3.385241403,16.75269222,1189.736355
NLA12_AL-R05,116.02,81.69889815,3.681248583,18.38769223,1403.201351
NLA12_AR-101,114.39,84.9870281,3.682050817,18.12615384,1391.286611
NLA12_AR-102,102.85,81.90295089,3.512337932,17.36653834,1260.464399
NLA12_AR-103,107.40,84.76136048,3.652067663,18.05653865,1316.236045
NLA12_AR-104,108.97,83.37993606,3.529805245,17.37038418,1294.588269
NLA12_AR-105,122.26,82.63476293,3.71101232,18.20461552,1483.619605
NLA12_AR-106,109.25,78.45890512,3.328895978,16.55269252,1342.037615
NLA12_AR-109,83.82,84.81933816,3.831210918,18.37076906,1033.953129
NLA12_AR-111,131.01,85.60484196,3.692973998,18.18115359,1610.650833
NLA12_AZ-101,24.36,107.2343822,4.784844608,22.21269233,303.9698851
NLA12_AZ-102,28.87,61.89336516,2.922120241,13.3238459,375.7922208
NLA12_AZ-103,39.51,47.8477085,2.333819179,9.400384537,498.1661754
NLA12_AZ-106,8.48,116.7034531,5.426876009,23.53730803,102.8992054
NLA12_AZ-107,15.70,58.01745553,2.684602461,11.99961528,204.5377096
NLA12_AZ-118,12.35,113.6996736,5.10511901,22.97692299,161.0018787
NLA12_AZ-123,6.73,120.5655587,5.619625355,24.16307735,85.04454413
NLA12_AZ-127,35.83,49.38661671,2.37461053,9.988846248,447.5497903
NLA12_AZ-130,19.77,105.4365093,4.705057636,21.89153855,253.9974591
NLA12_AZ-140,18.36,85.39264455,3.895501948,18.58576932,228.3804448
