Order,SITE_ID,VISIT_NO,UID,dD,d18O,E_I,Water_yield_m,Modeled_Water_yield_m,RT_iso,RT_modeled,Volume_Corrected_m3,Lake_precip_m,Lake_evap_m,P_E_deficit_m,Wyield_P_E_m
1,NLA12_AL-101,1,6300,-23.22,-4.21,0.037268899,0.031383351,0.552506202,0.172729315,0.009782933,59188622.61,1.345419979,0.980958139,0.36446184,-0.333078489
2,NLA12_AL-101,2,7374,-20.82,-3.66,0.028358239,0.041244555,0.552506202,0.131431279,0.009782933,59188622.61,1.345419979,0.980958139,0.36446184,-0.323217285
3,NLA12_AL-102,1,7228,-18.94,-2.9,0.113978154,0.482830938,0.56114,0.642586196,0.476196231,3587088.381,1.432689995,0.872176753,0.560513242,-0.077682303
4,NLA12_AL-103,1,7292,-17.08,-2.88,0.102729132,0.046835095,0.447948458,0.13550694,0.013970818,126647772.7,1.216689993,0.926474148,0.290215845,-0.24338075
5,NLA12_AL-104,1,7368,-19.86,-3.26,0.065072559,0.017050106,0.489015094,0.214594791,0.007455719,145663750.3,1.456339996,0.933541679,0.522798318,-0.505748212
6,NLA12_AL-105,2,7394,5.52,1.95,0.492942965,0.323572495,0.61277,0.910661983,0.340589838,595866.7345,1.56743998,0.990568917,0.576871063,-0.253298568
7,NLA12_AL-105,1,6267,4.15,1.26,0.422894471,0.377169237,0.61277,0.781254517,0.340589838,595866.7345,1.56743998,0.990568917,0.576871063,-0.199701827
8,NLA12_AL-112,1,7375,-8.1,-0.46,0.222298136,0.201795295,0.49258,0.384516232,0.139628538,91882.10279,1.345710003,0.956166232,0.389543771,-0.187748476
9,NLA12_AL-113,1,7769,-18.6,-3.67,0,,0.735853333,,0.009872072,286473.8473,1.800479997,1.032484549,0.767995448,
10,NLA12_AL-114,1,7459,-12.16,-1.47,0.200689882,0.268708676,0.42022,0.237065173,0.129212237,199513.7042,1.259029995,0.932907886,0.326122109,-0.057413433
11,NLA12_AL-R03,1,7291,-15.92,-2.7,0.161968282,0.131100725,0.4835,0.447953257,0.114794014,543222.833,1.158730001,0.876050707,0.282679295,-0.15157857
12,NLA12_AL-R05,1,7376,-11.51,-1.63,0.14658516,0.697825058,0.49587,0.370007557,0.401955854,2252812.981,1.404010008,0.980386778,0.42362323,0.274201827
13,NLA12_AR-101,1,7392,-3.65,0.16,0.32174564,0.059721592,0.622958,0.207338572,0.019074971,695225.0463,1.39034001,1.019844337,0.370495672,-0.31077408
14,NLA12_AR-101,2,8021,1.14,1.16,0.420702405,0.045674001,0.622958,0.271108058,0.019074971,695225.0463,1.39034001,1.019844337,0.370495672,-0.324821672
15,NLA12_AR-102,1,8144,17.97,4.42,0.988756678,5.500990522,0.45158,0.475031082,0.354659558,452791.3861,1.249780004,0.982835411,0.266944594,5.234045928
16,NLA12_AR-103,1,8217,-14.7,-2.48,0.112596784,0.058584551,0.615529211,0.290569924,0.027276462,63755442.24,1.319700001,1.017136326,0.302563675,-0.243979124
17,NLA12_AR-104,1,7812,-18.4,-2.7,0.170426568,0.059091149,0.542886667,0.511390797,0.054402445,1341504.776,1.24972999,1.000559233,0.249170757,-0.190079608
18,NLA12_AR-105,2,8022,5.53,2.63,0.560521356,0.084902299,0.46933,0.524888473,0.08249683,67739.86874,1.476569992,0.991617155,0.484952837,-0.400050538
19,NLA12_AR-105,1,7409,1.46,1.81,0.440560941,0.10802036,0.46933,0.412554057,0.08249683,67739.86874,1.476569992,0.991617155,0.484952837,-0.376932477
20,NLA12_AR-106,1,8121,-11.88,-1.45,0.203473286,0.210944977,0.535978333,0.374650914,0.132474454,3858814.571,1.329179997,0.941506861,0.387673135,-0.176728158
21,NLA12_AR-109,1,7811,7.15,2.92,0.604911772,0.410659987,0.31317,2.038181424,1.480444645,142296.4093,1.033349998,1.017832058,0.015517941,0.395142046
22,NLA12_AR-111,1,8145,-9.86,-1.73,0.152641898,0.197435605,0.67,0.090075929,0.02479965,12498.61066,1.605969997,1.027258104,0.578711894,-0.381276289
23,NLA12_AZ-101,2,6612,-52.59,-6.34,0.06134899,0.004887285,0.047371937,0.296982091,0.030592483,23265654.26,0.310170006,1.286812586,-0.976642581,0.981529866
24,NLA12_AZ-101,1,6187,-53.27,-6.56,0.052554669,0.005705107,0.047371937,0.254409981,0.030592483,23265654.26,0.310170006,1.286812586,-0.976642581,0.982347687
25,NLA12_AZ-102,1,8648,-9.82,2.51,0.625834103,0.022360601,0.019513333,0.378966173,0.319527395,536005.5294,0.371880005,0.742720382,-0.370840377,0.393200978
26,NLA12_AZ-103,1,7821,1.94,4.31,0.91826818,0.015596186,0.08262,2.218358844,0.364645982,1129819.915,0.491559994,0.574172502,-0.082612508,0.098208694
27,NLA12_AZ-106,1,8218,-82.27,-9.11,0.243276327,0.935521355,0.00592,0.284020205,11.44806167,899347.8853,0.10639,1.400441437,-1.294051437,2.229572792
28,NLA12_AZ-107,1,7475,-24.58,-0.48,0.3636133,0.005241629,0.040172774,0.502654979,0.064703623,5093510.231,0.19989,0.696209466,-0.496319466,0.501561095
29,NLA12_AZ-118,1,6192,-54.98,-6.43,0.17164115,2.839908522,0.00921,0.113134443,4.84652795,72010.38219,0.15978,1.364396083,-1.204616083,4.044524605
30,NLA12_AZ-123,1,8219,-30.68,-3.37,0.187337089,0.058744347,0.00533,0.074246499,0.729732409,108224.5745,0.085049999,1.446786704,-1.361736705,1.420481052
31,NLA12_AZ-127,1,6281,-39.1,-1.88,0.357790152,0.00957725,0.0194575,1.064772465,0.462732304,436790.2833,0.446260007,0.5926394,-0.146379394,0.155956644
32,NLA12_AZ-130,2,8198,-62.93,-7.74,0.060526082,0.008651718,0.025281214,0.153966305,0.05248015,20041664.37,0.244520003,1.265238112,-1.020718109,1.029369827
33,NLA12_AZ-130,1,6195,-70.37,-9.32,0.07140438,0.007333648,0.025281214,0.181638531,0.05248015,20041664.37,0.244520003,1.265238112,-1.020718109,1.028051757
34,NLA12_AZ-140,1,7290,-35.12,-2.42,0.361662405,0.122056852,0.01096,0.609845863,3.50901378,101899.1129,0.238000002,1.024711735,-0.786711733,0.908768585
35,NLA12_AZ-143,1,8320,-21.15,1.65,0.565853131,0.028101586,0.02218,1.256390266,1.024879692,238674.7114,0.495970003,0.642782847,-0.146812844,0.174914429
36,NLA12_AZ-145,1,8016,-24.5,-0.79,0.446067745,0.006524104,0.087895,0.942386048,0.068279981,568712.3625,0.410360005,0.555627871,-0.145267866,0.151791971
37,NLA12_AZ-157,1,8251,-38.95,-3.37,0.279531285,2.754190158,0.09916,0.329157522,1.504973533,109310.5262,0.351090001,0.537139322,-0.186049321,2.940239479
38,NLA12_AZ-R01,1,8183,-51.35,-6.16,0.206638331,0.069935764,0.19292,1.098601785,0.370648559,768976.9065,0.595810005,0.59920613,-0.003396125,0.073331889
39,NLA12_AZ-R02,1,8153,-36.88,-2.93,0.268004358,0.003829695,0.020915,0.478572288,0.084488618,56510.87298,0.46570999,0.614627411,-0.14891742,0.152747115
40,NLA12_CA-101,2,8759,-20.5,-2.67,0.323540852,0.077363404,0.354596667,1.598577789,0.326755305,11117127.3,0.640310014,0.670965846,-0.030655832,0.108019236
41,NLA12_CA-101,1,7020,-24,-3.3,0.254349998,0.098408578,0.354596667,1.25671381,0.326755305,11117127.3,0.640310014,0.670965846,-0.030655832,0.12906441
42,NLA12_CA-102,1,8264,-16.02,-0.48,0.426312777,0.024543342,0.046284722,0.448607272,0.210856702,5776399.807,0.425750005,0.750912243,-0.325162238,0.349705581
43,NLA12_CA-103,1,7916,-83.99,-11.51,0.030680341,0.944267734,0.962825556,0.386806025,0.355651437,42599424.38,1.301999988,0.587909305,0.714090683,0.230177051
44,NLA12_CA-104,1,8483,-57.38,-3.27,0.503040442,0.196318843,0.09783,13.44712705,15.72131458,15205413.18,0.339769995,0.478732981,-0.138962985,0.335281828
45,NLA12_CA-105,1,7126,-29.39,-1.52,0.396806727,1.063494426,0.01725,0.699383464,3.828588141,317009.0244,0.353069998,0.841677914,-0.488607916,1.552102343
46,NLA12_CA-106,1,6250,-63.74,-4.84,0.701873028,2.02457282,0.00234,0.494609907,19.10580817,610484.1447,0.04862,1.37978653,-1.33116653,3.35573935
47,NLA12_CA-107,1,8466,-86.26,-11.22,0.077432449,0.367393084,0.59849,0.449600108,0.255606569,2082437.973,0.859530005,0.512219598,0.347310407,0.020082677
48,NLA12_CA-108,1,7796,-108.85,-14.36,0.050227027,0.003419503,0.491810407,0.273648477,0.001902291,3540505.94,0.499420008,0.931384815,-0.431964807,0.43538431
49,NLA12_CA-111,1,7341,-81.3,-11.06,0.044456619,0.077636472,0.785021154,0.090859355,0.0089457,2475416.986,0.84148001,0.826477671,0.015002339,0.062634134
