"","COMID","X.x","SITE_ID","VISIT_NO","LON_DD83","LAT_DD83","X.y","CatAreaSqKm","WsAreaSqKm","CatPctFull","WsPctFull","inStreamCat","BFICat","BFIWs","X.x","ElevWs","ElevCat","X.y","PctCarbResidWs","PctNonCarbResidWs","PctAlkIntruVolWs","PctSilicicWs","PctExtruVolWs","PctColluvSedWs","PctGlacTilClayWs","PctGlacTilLoamWs","PctGlacTilCrsWs","PctGlacLakeCrsWs","PctGlacLakeFineWs","PctHydricWs","PctEolCrsWs","PctEolFineWs","PctSalLakeWs","PctAlluvCoastWs","PctCoastCrsWs","PctWaterWs","PctCarbResidCat","PctNonCarbResidCat","PctAlkIntruVolCat","PctSilicicCat","PctExtruVolCat","PctColluvSedCat","PctGlacTilClayCat","PctGlacTilLoamCat","PctGlacTilCrsCat","PctGlacLakeCrsCat","PctGlacLakeFineCat","PctHydricCat","PctEolCrsCat","PctEolFineCat","PctSalLakeCat","PctAlluvCoastCat","PctCoastCrsCat","PctWaterCat","X.x","OmWs","PermWs","RckdepWs","WtDepWs","OmCat","PermCat","RckdepCat","WtDepCat","X.y","AvgWetIndxWs","AvgWetIndxCat","X.x","CanalDensWs","CanalDensCat","X.y","DamDensWs","DamNIDStorWs","DamNrmStorWs","DamDensCat","DamNIDStorCat","DamNrmStorCat","X.x","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","NABD_DensCat","NABD_NIDStorCat","NABD_NrmStorCat","X.y","RdDensWs","RdDensCat","X","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","Precip8110Cat","Tmax8110Cat","Tmean8110Cat","Tmin8110Cat","PctNoDataCat_2002","PctIrrigated.AgLandCat_2002","PctNoDataCat_2007","PctIrrigated.AgLandCat_2007","PctNoDataCat_2012","PctIrrigated.AgLandCat_2012","PctNoDataWs_2002","PctIrrigated.AgLandWs_2002","PctNoDataWs_2007","PctIrrigated.AgLandWs_2007","PctNoDataWs_2012","PctIrrigated.AgLandWs_2012"
"1",747,333,"NLA12_ME-135",1,-68.06506684,46.03358616,301328,3.9915,28.4841,100,100,1,51.9898534385569,51.6140162406395,301328,234.857403709,199.288126268,301328,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,301328,4.59309993996651,4.92015419128566,122.169227463743,82.3210253088565,5.03739571589628,5.20695828635851,122.393506200676,84.0305140924465,301328,544.237163891434,873.969785794814,301328,0,0,301328,0,0,0,0,0,0,301328,0,0,0,0,0,0,301328,0.923247836370817,0.466008903880496,301328,1074.37441772,24.8894088317,4.96553289393,-17.2633795575,1070.72668366,25.0569111529,4.8511386223,-17.0536641999,100,0,100,0,100,0,100,0,100,0,100,0
"2",5009,330,"NLA12_ME-129",1,-68.1886754,45.44708588,301409,2.4975,2.4975,100,100,1,54,54,301409,127.386681081,127.386681081,301409,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,301409,7.96,7.53,133.73,75.97,7.96,7.53,133.73,75.97,301409,563.294414414414,563.294414414414,301409,0,0,301409,0,0,0,0,0,0,301409,0,0,0,0,0,0,301409,1.14008856979459,1.14008856979459,301409,1164.06713168,25.7580178957,5.52172091578,-16.1969737244,1164.06713168,25.7580178957,5.52172091578,-16.1969737244,100,0,100,0,100,0,100,0,100,0,100,0
"3",11646,70,"NLA12_CO-103",1,-105.0336532,40.43632395,274091,22.0428,62.9442,100,100,1,58.7266862649028,59.8737024221453,274091,1540.83918242,1520.95500286,274091,0,82.3043266893534,0,0,0,0,0,0,0,0,0,0,0,17.6956733106466,0,0,0,0,0,59.7011268985791,0,0,0,0,0,0,0,0,0,0,0,40.2988731014209,0,0,0,0,274091,0.610644769881528,4.3140685141768,124.541409583889,179.420426063049,0.556406642406847,4.77250128376297,112.797850980795,180.756662216288,274091,770.50557636764,980.022987097828,274091,0.268332904382,0.288529587893,274091,0.0794354364659,1727364.26168,1392030.589,0.136098862214,3438084.59905,2811798.09462,274091,0.0158870872932,206918.434423,157770.652101,0,0,0,274091,4.96974562573994,3.70562036367794,274091,396.436702042,30.1585489365,9.50753600812,-10.4883998065,383.235553006,30.389082063,9.55498948812,-10.5781890806,91.20121,8.798791,84.65213,15.34787,93.7449,6.255104,96.0851,3.914896,92.18594,7.814064,97.18465,2.815351
"4",205321,833,"NLA12_TX-158",1,-97.56163797,26.06969798,317935,0.8586,7.8057,100,100,1,10,10,317935,12.2085748876,11.4882180294,317935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,317935,0.961404358353511,3.0809604519774,152.4,175.507006802721,0.863710691823899,2.93270440251572,152.4,165.778081761006,317935,655.573388677505,611.194968553459,317935,0.322841000807,0,317935,0.256223016514,189311.533879,144274.983666,0,0,0,317935,0.256223016514,189311.533879,144274.983666,0,0,0,317935,3.36142335322265,3.77594926772537,317935,654.765058111,35.0246973872,23.5220265905,9.1579961294,660.026841714,34.7622639638,23.5199172462,9.10000038147,49.26625,50.73375,69.39203,30.60797,73.58491,26.41509,64.17618,35.82382,80.69872,19.30128,88.28548,11.71452
"5",228961,84,"NLA12_CO-124",1,-104.9732957,39.93104164,59570,0.486,0.486,100,100,0,55,55,59570,1606.17516667,1606.17516667,59570,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59570,0.69,3.39,148.59,177.16,0.69,3.39,148.59,177.16,59570,570.187037037037,570.187037037037,59570,0,0,59570,0,0,0,0,0,0,59570,0,0,0,0,0,0,59570,9.01975220398148,9.01975220398148,59570,392.803119857,18.4961984634,10.3013928837,2.1005648582,392.803119857,18.4961984634,10.3013928837,2.1005648582,100,0,100,0,100,0,100,0,100,0,100,0
"6",358643,705,"NLA12_OR-123",1,-122.4782769,42.13001338,374215,0.3825,52.3449,100,100,1,70,68.7178349753271,374215,1580.22131824,1380.21378824,374215,0,22.2279534395901,0,77.7720465604099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374215,2.46,6.11,107.95,166.64,2.46,6.11,107.95,166.64,374215,460.877942263716,374.183529411765,374215,0,0,374215,0.0382081157859,600705.554123,389732.824401,2.61437908497,1264115.45098,1093201.88235,374215,0.0382081157859,600705.554123,389732.824401,2.61437908497,1264115.45098,1093201.88235,374215,1.29358751542443,4.1973675352,374215,886.863754423,25.1853561182,7.73350598557,-4.52274028105,801.328468089,26.3821171974,8.7982179552,-4.09999990464,100,0,100,0,100,0,100,0,100,0,100,0
"7",389774,667,"NLA12_OK-106",1,-98.59889361,36.11465874,289734,121.2453,32827.2804,100,100,1,23.6694181135269,21.289376822699,289734,976.823320093,506.637136442,289734,0,15.9786894804725,0,1.65635926392489,0,29.5159644111122,0,0,0,0,0,0,41.4186046919683,6.08014211253394,0,4.95003174250158,0,0.400208297486623,0,0,0,0,0,2.77322090010912,0,0,0,0,0,0,5.46256226014534,0,0,45.4946294825449,0,46.2695873572006,289734,0.420323268233928,6.51710020445362,150.282354136805,179.875491515083,0.369569847353158,24.0436141813806,146.997851899525,174.474232214978,289734,642.626627659963,898.490747270203,289734,0.000260454106945,0,289734,0.0019495979935,52740.9554012,12236.1358195,0.00824774238672,3904560.62214,1132403.96782,289734,0.00124896121459,38181.2662654,7977.36521847,0,0,0,289734,1.23091647889571,1.67946055186799,289734,511.572890048,33.9154305627,13.4704839575,-6.82636074095,742.974707676,34.895099545,14.9307424626,-4.79433109385,99.8456,0.1543977,100,0,100,0,90.30187,9.698132,89.12874,10.87126,90.21328,9.786725
"8",390512,671,"NLA12_OK-117",1,-98.02611684,35.52878479,289743,6.5592,15.3252,100,100,1,34,34,289743,433.480246065,429.998298573,289743,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289743,1.06,1.58,151.38,182.88,1.06,1.58,151.38,182.88,289743,587.276309607705,608.550905598244,289743,0,0,289743,0,0,0,0,0,0,289743,0,0,0,0,0,0,289743,1.88398871472868,2.23715906066136,289743,869.39149472,34.6002451323,15.7092408352,-3.57423648077,869.624331017,34.5999984741,15.7141705653,-3.56971727709,99.72558,0.2744237,99.19045,0.8095499,96.61087,3.389133,99.12497,0.8750294,98.05614,1.943857,91.74301,8.256988
"9",399680,668,"NLA12_OK-107",1,-94.91494418,35.75411523,289776,101.7846,4032.3294,100,100,1,33.4990185155711,39.4017015574174,289776,340.484494941,215.836494244,289776,67.8302174420572,0.946351257910626,0,0,0,22.6918068747062,0,0,0,0,0,0,0,0,0,7.5846258988663,0,0.946998526459669,34.2449643659257,0,0,0,0,31.0069499708207,0,0,0,0,0,0,0,0,0,0.00265266061860046,0,34.745433002635,289776,0.644338417766146,4.42611117398441,140.311896741301,164.96242949535,0.820794816299975,5.0639935991926,120.703307836341,181.189575448521,289776,432.710344645951,782.967009744107,289776,0,0,289776,0.00694387715448,16731.9272934,9170.22969106,0,0,0,289776,0.00570389909118,16879.4311298,9436.94183317,0,0,0,289776,2.35157794463667,2.77814161567369,289776,1227.23664462,32.5533259723,14.7233458888,-3.51360638566,1214.93972052,33.678259835,15.6641969043,-2.72301535582,100,0,100,0,100,0,99.9298,0.07019516,99.91945,0.08055145,99.90199,0.09800539
"10",417619,687,"NLA12_OK-296",1,-96.36676849,35.17758601,99603,0.7659,0.7659,100,100,0,18.5276145710928,18.5276145710928,99603,240.1006698,240.1006698,99603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,99603,0.917367802585194,3.40059929494712,130.330376028202,127.097967097532,0.917367802585194,3.40059929494712,130.330376028202,127.097967097532,99603,501.850763807286,501.850763807286,99603,0,0,99603,1.30565347957,133671.28868,49925.4210732,1.30565347957,133671.28868,49925.4210732,99603,0,0,0,0,0,0,99603,1.5620654726087,1.5620654726087,99603,1072.55924771,22.6632382206,16.2381048214,9.81036834291,1072.55924771,22.6632382206,16.2381048214,9.81036834291,100,0,100,0,100,0,100,0,100,0,100,0
