"","SITE_ID","DSGN_CYCLE","SITETYPE","IND_DOMAIN","UNIQUE_ID","WGT_CAT","WGT_SP","WGT_TP"
"1","NLA12_AL-104",2012,"PROB","CORE","NLA_AL-10005","CPL_>50",25.40954527,0
"2","NLA12_AL-102",2012,"PROB","CORE","NLA_AL-10009","SAP_>50",18.37290433,0
"3","NLA12_AL-101",2012,"PROB","CORE","NLA_AL-10029","SAP_>50",7.996185645,0
"4","NLA12_AL-103",2012,"PROB","CORE","NLA_AL-10037","SAP_>50",20.23077048,0
"5","NLA12_AL-105",2012,"PROB","CORE","NLA_AL-10039","CPL_(20,50]",8.234085394,0
"6","NLA12_AL-112",2012,"PROB","CORE","NLA_AL-10046","CPL_(4,10]",61.22114132,0
"7","NLA12_AL-113",2012,"PROB","CORE","NLA_AL-10047","CPL_(20,50]",8.234085394,0
"8","NLA12_AL-114",2012,"PROB","CORE","NLA_AL-10048","SAP_(10,20]",39.53826811,0
"9","NLA12_AR-102",2012,"PROB","CORE","NLA_AR-10003","CPL_>50",21.25836862,0
"10","NLA12_AR-103",2012,"PROB","CORE","NLA_AR-10014","SAP_>50",4.054911781,0
"11","NLA12_AR-104",2012,"PROB","CORE","NLA_AR-10018","SAP_(20,50]",36.06236048,0
"12","NLA12_AR-101",2012,"PROB","CORE","NLA_AR-10020","CPL_>50",23.40801262,0
"13","NLA12_AR-105",2012,"PROB","CORE","NLA_AR-10024","CPL_(4,10]",61.60537442,0
"14","NLA12_AR-106",2012,"PROB","CORE","NLA_AR-10025","SAP_>50",32.5894749,0
"15","NLA12_AR-109",2012,"PROB","CORE","NLA_AR-10028","CPL_(4,10]",61.60537442,0
"16","NLA12_AR-111",2012,"PROB","CORE","NLA_AR-10030","CPL_(1,4]",172.8397677,0
"17","NLA12_AZ-102",2012,"PROB","CORE","NLA_AZ-10008","WMT_>50",2.438858313,0
"18","NLA12_AZ-101",2012,"PROB","CORE","NLA_AZ-10016","XER_>50",2.395833361,0
"19","NLA12_AZ-106",2012,"PROB","CORE","NLA_AZ-10019","XER_>50",2.018181674,0
"20","NLA12_AZ-107",2012,"PROB","CORE","NLA_AZ-10020","XER_>50",3.746518832,0
"21","NLA12_AZ-103",2012,"PROB","CORE","NLA_AZ-10035","WMT_>50",2.214888974,0
"22","NLA12_AZ-118",2012,"PROB","CORE","NLA_AZ-10057","XER_(4,10]",2.73141605,0
"23","NLA12_AZ-123",2012,"PROB","CORE","NLA_AZ-10062","XER_(10,20]",0.830904343,0
"24","NLA12_AZ-127",2012,"PROB","CORE","NLA_AZ-10066","WMT_(20,50]",2.152424368,0
"25","NLA12_AZ-130",2012,"PROB","CORE","NLA_AZ-10068","XER_>50",0.73043005,0
"26","NLA12_AZ-140",2012,"PROB","CORE","NLA_AZ-10078","XER_(4,10]",2.73141605,0
"27","NLA12_AZ-143",2012,"PROB","CORE","NLA_AZ-10081","WMT_(10,20]",1.322307059,0
