SITE_ID,VISIT_NO,DATE_COL_iso,dD,d18O,d_excess,E_I,RT,YEAR,SAMPLE_ID,SAMPLED_PHAB,L_LkAreakm2,DDHzSqrtA_sc,DDVrtDix_sc,L_DDHzSqrtA_sc,L_DDVrtDix_sc,URBAN,VertDD_use,HorizDD_use,L_VertDD_use,L_HorizDD_use,ELEV_use,DpthMx_use,LkArea_km2,LATdd_use,LONdd_use,L_DpthMx_use,L_ELEV_use,Lake_Origin_use,ECOWSA9_2015,RT_NLA12_2015,ECOP5_2015,ECOP6_2015,SID,RESAMPLED12,VertDD_CONDc315,HorizDD_CONDc315,Drawdown_CONDus15,RTS12_15
NLA06608-0001,1,7/31/2007,-120.24,-15.73,5.63,0.1,0.77,2007,,YES,-0.178531964,0.054586259,0.002677376,-1.189859871,-1.896970623,NO,0.022222222,0.044444444,-0.912849824,0.018885344,1605.73,8.3,0.662930555,48.9790286,-114.0218399,0.919078092,3.205942903,NATURAL,WMT,R,WEST,WEST,NLA06608-0001,NO,Small,Small,SMALL,1
NLA06608-0002,1,6/14/2007,2.32,1.24,-7.61,0.37,0.26,2007,,YES,-0.832477585,0,0,-2,-2,YES,0,0,-1,0,4.9,2.3,0.147069432,33.03614283,-79.984084,0.361727836,0.770852012,MAN-MADE,CPL,S,CPL,CPL,NLA06608-0002,YES,Small,Small,SMALL,2
NLA06608-0002,2,7/23/2007,5.7,2.47,-14.03,0.47,0.33,2007,,YES,-0.832477585,0.263175031,0.076923077,-0.563558999,-1.060864909,YES,0.1,0.1,-0.698970004,0.041392685,4.9,1.3,0.147069432,33.03614283,-79.984084,0.113943352,0.770852012,MAN-MADE,CPL,S,CPL,CPL,NLA06608-0002,YES,Med,Small,MEDIUM,2
NLA06608-0003,1,8/29/2007,-4.84,-0.01,-4.77,0.2,0.17,2007,,YES,-1.243992849,0,0,-2,-2,YES,0,0,-1,0,17.6,2.5,0.057017366,28.0477421,-97.8598661,0.397940009,1.269512944,NATURAL,CPL,S,CPL,CPL,NLA06608-0003,NO,Small,Small,SMALL,2
NLA06608-0003,2,9/6/2007,-4.7,-0.66,0.59,0.18,0.15,2007,,YES,-1.243992849,0,0,-2,-2,YES,0,0,-1,0,17.6,2.4,0.057017366,28.0477421,-97.8598661,0.380211242,1.269512944,NATURAL,CPL,S,CPL,CPL,NLA06608-0003,NO,Small,Small,SMALL,2
NLA06608-0004,1,7/10/2007,-61.77,-7.01,-5.66,0.28,1.05,2007,,YES,-0.184514563,13.9250053,0.165079365,1.144107138,-0.756765037,YES,1.04,11.26,0.056904851,1.08849047,2213,6.3,0.653861004,37.4167824,-108.4056506,0.79934055,3.345177617,MAN-MADE,WMT,S,WEST,WEST,NLA06608-0004,YES,Small,Med,MEDIUM,2
NLA06608-0004,2,9/11/2007,-53.7,-5.82,-7.16,0.38,1.38,2007,,YES,-0.184514563,1.051177132,0.033333333,0.025787882,-1.363177902,YES,0.2,0.85,-0.522878745,0.267171728,2213,6,0.653861004,37.4167824,-108.4056506,0.77815125,3.345177617,MAN-MADE,WMT,S,WEST,WEST,NLA06608-0004,YES,Small,Small,SMALL,2
NLA06608-0005,1,7/18/2007,-128.54,-16.45,3.05,0.08,0.48,2007,,YES,-0.710241365,3.239346494,0.085245902,0.511796025,-1.021153703,NO,0.52,1.43,-0.207608311,0.385606274,2138,6.1,0.194876125,43.9292093,-114.8403862,0.785329835,3.330210785,NATURAL,WMT,S,WEST,WEST,NLA06608-0005,NO,Med,Med,MEDIUM,2
NLA06608-0005,2,8/22/2007,-125.55,-15.95,2.03,0.11,0.64,2007,,YES,-0.710241365,5.210137717,0.082608696,0.717681961,-1.033348233,NO,0.57,2.3,-0.173925197,0.51851394,2138,6.9,0.194876125,43.9292093,-114.8403862,0.838849091,3.330210785,NATURAL,WMT,S,WEST,WEST,NLA06608-0005,NO,Med,Med,MEDIUM,2
NLA06608-0006,1,7/17/2007,-45.54,-6.93,9.9,0,0.16,2007,,YES,-0.250266216,3.975110676,0.04743083,0.600440387,-1.240854907,YES,1.2,2.98,0.113943352,0.599883072,198.75,25.3,0.561996724,41.67757315,-73.14469782,1.403120521,2.300486788,MAN-MADE,NAP,R,APPS,NAP,NLA06608-0006,YES,Large,Large,LARGE,1
NLA06608-0006,2,8/30/2007,-43.12,-6.48,8.76,0.03,0.38,2007,,YES,-0.250266216,6.002683907,0.076470588,0.779068373,-1.063131587,YES,1.82,4.5,0.283301229,0.74036269,198.75,23.8,0.561996724,41.67757315,-73.14469782,1.376576957,2.300486788,MAN-MADE,NAP,R,APPS,NAP,NLA06608-0006,YES,Large,Large,LARGE,1
NLA06608-0007,1,7/24/2007,-41.02,-3.65,-11.84,0.42,5.82,2007,,YES,-0.593889843,1.684087619,0.00625,0.228935869,-1.789146635,NO,0.12,0.85,-0.657577319,0.267171728,390.86,19.2,0.254747633,45.5806455,-92.040018,1.283301229,2.593130934,NATURAL,UMW,S,UMW,UMW,NLA06608-0007,NO,Med,Med,MEDIUM,2
NLA06608-0007,2,9/6/2007,-38.85,-3.26,-12.78,0.47,6.49,2007,,YES,-0.593889843,2.199220303,0.012631579,0.344239026,-1.645285145,NO,0.24,1.11,-0.468521083,0.324282455,390.86,19,0.254747633,45.5806455,-92.040018,1.278753601,2.593130934,NATURAL,UMW,S,UMW,UMW,NLA06608-0007,NO,Med,Med,MEDIUM,2
NLA06608-0008,1,7/12/2007,-25.36,-2.05,-8.97,0.39,0.79,2007,,YES,-0.312140885,1.203233924,0.058181818,0.083944546,-1.166331422,NO,0.32,0.84,-0.37675071,0.264817823,261.56,5.5,0.487370362,41.292111,-93.5904049,0.74036269,2.419228564,MAN-MADE,TPL,S,CENPL,CENPL,NLA06608-0008,NO,Small,Small,SMALL,2
