SITE_ID,pet_201110,pet_201111,pet_201112,pet_201201,pet_201202,pet_201203,pet_201204,pet_201205,pet_201206,pet_201207,pet_201208,pet_201209,E_avg_11_12,precip_201110,precip_201111,precip_201112,precip_201201,precip_201202,precip_201203,precip_201204,precip_201205,precip_201206,precip_201207,precip_201208,precip_201209,precip_201210,precip_201211,precip_201212,Precip_PT_avg_11_12,Precip_WY_11_12,VP_201110,VP_201111,VP_201112,VP_201201,VP_201202,VP_201203,VP_201204,VP_201205,VP_201206,VP_201207,VP_201208,VP_201209,VP_201210,Vpsat_201110,Vpsat_201111,Vpsat_201112,Vpsat_201201,Vpsat_201202,Vpsat_201203,Vpsat_201204,Vpsat_201205,Vpsat_201206,Vpsat_201207,Vpsat_201208,Vpsat_201209,Vpsat_201210,RH_201110,RH_201111,RH_201112,RH_201201,RH_201202,RH_201203,RH_201204,RH_201205,RH_201206,RH_201207,RH_201208,RH_201209,RH_201210,RH_PT_avg_11_12,tmean_201110,tmean_201111,tmean_201112,tmean_201201,tmean_201202,tmean_201203,tmean_201204,tmean_201205,tmean_201206,tmean_201207,tmean_201208,tmean_201209,tmean_201210,tmean_201211,tmean_201212,TMEAN_PT_avg_11_12,tdmean_201110,tdmean_201111,tdmean_201112,tdmean_201201,tdmean_201202,tdmean_201203,tdmean_201204,tdmean_201205,tdmean_201206,tdmean_201207,tdmean_201208,tdmean_201209,tdmean_201210,tdmean_201211,tdmean_201212,WaterYearPrecip_Avg_Ws,HmaUS_Avg_Ws,HmaUS_PrecipWeighted_Avg_Ws,HmaCIUS_Avg_Ws,OmaUS_Avg_Ws,OmaUS_PrecipWeighted_Avg_Ws,OmCIUS_Avg_Ws,WaterYearPrecip_Site,HmaUs_Site,OmaUS_Site
NLA12_AL-101,52.65326065,33.38054508,26.2849943,28.48401645,31.53768027,65.59725056,76.41586657,121.0477615,145.9875796,171.7637997,134.5998796,93.2055045,81.74651157,7.610000134,130.3099976,151.6799927,143.6499939,103.0699997,150.6999969,29.75,125.3799973,34.22999954,124.5100021,150.6799927,193.8500061,98.34999847,41.16999817,228.0200043,111.059229,1443.769977,10.52804084,9.587697486,7.940275212,7.493969484,7.934759324,12.08552159,12.61800922,17.35544222,18.6508204,23.95670394,22.77087475,18.81716289,12.36969553,18.11345003,14.98812487,11.59254671,12.09758002,12.77334625,20.73614068,21.06358456,28.2677458,32.73395564,37.92689517,33.29445783,27.96081736,19.0088893,0.581227807,0.639686256,0.684946579,0.619460212,0.621196605,0.582824055,0.599043775,0.613966262,0.569769832,0.631654762,0.683923879,0.672983291,0.650732157,3.674741475,16.11999893,13.17499924,9.274999619,9.914999962,10.73499966,18.26000023,18.51000023,23.28499985,25.72499847,28.21500015,26.01000023,23.10499954,16.88000107,10.72999954,10.53999996,18.40076901,7.840000153,6.460000038,3.720000029,2.890000105,3.710000038,9.899999619,10.55000019,15.44999981,16.57999992,20.57999992,19.76000023,16.71999931,10.25,3.74000001,5.179999828,1439.12384,-27.06333311,-27.09201356,1.020802154,-4.931425772,-4.934467654,0.139989362,1331.519408,-24.08341408,-4.558047295
NLA12_AL-102,46.21585739,29.16150617,23.15398622,24.89734289,27.53104139,56.36463705,66.66224018,109.1875679,130.4336091,157.0935561,120.3775853,81.09782329,72.68139608,21.37999916,165.6900024,158.7200012,216.5399933,98.44000244,113.9499969,21.82999992,96.94000244,90.41000366,170.6999969,82.19000244,195.8999939,114,50.29999924,199.3699951,118.9761534,1546.689995,9.946309817,8.789491603,7.005901981,6.449720379,6.630546815,10.88126522,11.79146678,17.18966502,17.50026772,22.57372336,20.97143977,17.03621424,11.2978979,15.89804683,13.14968187,10.27510174,10.61716075,11.12508532,17.78180962,18.24068083,25.31341959,29.03065502,34.49215509,29.68629479,24.32900479,16.40814217,0.625630929,0.668418574,0.681832857,0.607480713,0.595999637,0.611932388,0.646437865,0.679073207,0.602820284,0.654459639,0.706435071,0.700242956,0.688554364,3.28043103,14.08499908,11.17499924,7.480000019,7.965000153,8.659999847,15.82999992,16.22999954,21.47500038,23.72500038,26.60499954,24.09500122,20.82999992,14.57499981,8.670000076,8.694999695,16.36384608,7,5.190000057,1.929999948,0.75999999,1.149999976,8.329999924,9.529999733,15.30000019,15.57999992,19.62000084,18.44000053,15.15999985,8.890000343,1.929999948,3.5,1487.498026,-29.01329252,-29.01527918,1.087582612,-5.183550469,-5.183816148,0.175263128,1460.071563,-28.55382347,-5.122036457
NLA12_AL-103,48.92665941,30.52176878,24.48470643,25.8588595,29.24404617,60.14991386,72.12798469,114.9979189,135.7391637,167.9162111,128.5769299,87.92998585,77.20617902,25.12999916,154.8999939,117.5,106.4199982,64.58999634,176.0200043,20.54999924,97.73999786,56.93000031,117.4599991,181.0500031,98.40000153,88.98999786,40.88000107,180.4400024,100.4369224,1305.679991,10.06166428,8.868370287,7.504453758,6.787091396,7.348561543,11.25258631,11.90989894,16.92735649,17.91837821,22.92685443,21.36889034,17.39988959,11.65073944,16.82991458,13.71926335,10.82652266,10.98042636,11.82688608,18.99685546,19.81828166,26.7625117,30.34592411,36.93759839,31.75183516,26.38140158,17.98701303,0.597844049,0.646417381,0.693154579,0.618108184,0.621343733,0.592339418,0.600955176,0.632502535,0.590470672,0.620691529,0.672997017,0.659551372,0.647730639,3.50416806,14.97000027,11.81999969,8.255000114,8.465000153,9.575000763,16.87000084,17.54000092,22.38500023,24.45999908,27.76499939,25.21500015,22.14999962,16.01000023,9.494999886,9.369999886,17.3446155,7.170000076,5.320000172,2.910000086,1.480000019,2.609999895,8.829999924,9.680000305,15.06000042,15.94999981,19.87000084,18.73999977,15.48999977,9.350000381,2.150000095,3.720000029,1242.260502,-30.97461595,-31.07593081,1.061732813,-5.497927345,-5.508848744,0.201450779,1229.91775,-27.69146156,-5.061999321
NLA12_AL-104,51.80422737,34.35912374,26.05028426,28.44064892,31.49526765,59.87994533,73.965261,118.0128464,133.8486663,158.0288334,130.7623593,86.89421484,77.79513988,8.840000153,115.5199966,164.9199982,178.1799927,133.4600067,262.1400146,29.84000015,58.31999969,49,147.9299927,208.6799927,99.51000214,36.02999878,42.34000015,185.7299957,114.7976919,1492.369995,10.83016458,9.818785798,8.243284598,7.776284398,8.456840039,12.56799285,13.14535102,17.80450695,19.582185,24.32900479,23.38603105,19.29973979,12.47675694,17.74781198,15.29769639,11.32061445,11.92974028,12.6723935,18.88287322,20.46459791,27.78314782,30.38244251,35.33955746,32.56842081,26.14067126,18.97280814,0.610225339,0.641847344,0.728165828,0.651840209,0.667343548,0.665576298,0.642345922,0.640838362,0.644523066,0.688435468,0.718058489,0.738303145,0.65761256,3.587239665,15.79999924,13.48999977,8.920000076,9.704999924,10.61499977,16.77499962,18.04999924,23,24.47999954,27.01499939,25.63999939,22,16.85000038,10.7699995,10.61000061,17.87230741,8.260000229,6.809999943,4.260000229,3.420000076,4.630000114,10.48999977,11.17000008,15.85000038,17.35000038,20.82999992,20.19000053,17.12000084,10.38000011,3.809999943,5.460000038,1406.253705,-25.64240786,-25.63016929,0.842188128,-4.6850216,-4.684723745,0.104636326,1456.801525,-21.98803139,-4.208796978
NLA12_AL-105,54.16132155,33.9419285,27.89104678,31.61120263,35.66715031,66.55832211,77.9370633,121.0109347,144.8258948,162.7845595,137.2849624,96.89453029,82.54740974,7.480000019,104.7399979,126.8000031,103.8499985,168.1799927,227.2700043,61.68999863,77.98999786,93.73999786,175.6499939,311.4299927,108.6200027,64.83999634,42.84000015,168.6999969,125.5599982,1632.279977,11.13254963,10.45722704,8.645518141,8.203429924,9.209147243,13.36349807,13.42515555,17.88414897,20.37479084,24.81305512,24.23918711,20.10747188,12.95601842,18.50340835,14.94436077,12.00141517,13.18003934,14.3575636,21.00430698,21.67136627,28.70768705,33.11654086,36.68848451,34.33910699,29.13609182,20.1137991,0.601648595,0.699744018,0.720374891,0.622413159,0.641414344,0.636226565,0.619488194,0.622974221,0.615245141,0.676317255,0.705877037,0.690122478,0.644135817,3.849724842,16.45499992,13.13000011,9.795000076,11.21000004,12.51499939,18.46500015,18.96500015,23.54000092,25.91999817,27.65000153,26.52999878,23.78499985,17.77499962,11.53499985,11.39999962,18.90269221,8.670000076,7.739999771,4.949999809,4.190000057,5.869999886,11.42000008,11.48999977,15.92000008,17.97999954,21.14999962,20.77000046,17.77000046,10.94999981,4.820000172,5.820000172,1554.9782,-21.94540702,-21.9451702,1.444237598,-4.013632591,-4.013604375,0.175458055,1555.21018,-22.00074959,-4.021312237
NLA12_AL-112,51.08991011,31.53741944,24.18579298,27.1564889,30.2535685,63.9448303,74.76152622,119.2837812,142.071954,167.6117068,132.7373473,91.53190647,79.68051935,35.61999893,102.0999985,152.9100037,150.8300018,107.6800003,133.5599976,54.70999908,100.2399979,80.22000122,204.5200043,105.1399994,118.1800003,125.8700027,57.90000153,195.3000031,113.198462,1471.580006,10.45722704,9.477220762,7.631294604,7.436540174,7.765460382,12.11770054,12.51815447,17.74781306,19.04502929,24.46428792,22.72849835,18.6508204,11.88612736,17.56747224,14.13420964,10.61000624,11.50766845,12.22687161,20.20893739,20.59350636,27.84225919,31.85647719,37.02460131,32.83168461,27.46419718,18.34537016,0.595260769,0.670516499,0.719254488,0.646224751,0.635114249,0.599620866,0.607869018,0.637441557,0.597838524,0.660757633,0.692273291,0.67909578,0.647908832,3.613249573,15.63999939,12.27500057,7.954999924,9.164999962,10.07500076,17.85000038,18.14999962,23.03499985,25.27000046,27.80500031,25.77500153,22.80999947,16.31999969,10.08499908,9.835000038,17.85576938,7.739999771,6.289999962,3.150000095,2.779999971,3.400000095,9.93999958,10.43000031,15.80000019,16.90999985,20.92000008,19.72999954,16.57999992,9.649999619,2.99000001,4.610000134,1343.347764,-24.30582148,-24.30585008,0.737209143,-4.515984529,-4.515988512,0.066299964,1342.195724,-24.30123329,-4.516683102
NLA12_AL-113,59.68713384,38.03528035,31.76597687,35.05678186,37.99434854,69.28086681,82.28959362,127.1123979,146.3005805,162.8585073,139.52721,102.5758712,86.04037907,2.849999905,87.62999725,57.79000092,121.5299988,204.6300049,217,58.97000122,127,245.6300049,271.4599915,308.6199951,97.37000275,61.31000137,40.97999954,120.2099991,143.2146153,1861.789999,12.00540845,11.74439002,10.00723164,9.477220762,10.45016935,14.82821136,14.67459897,18.98482841,21.95026717,25.82273433,25.33672742,21.39562461,14.06504949,20.3683881,16.69540766,13.63401245,14.56032256,15.26302029,21.85467594,22.96243595,30.30033267,33.69285824,36.9593321,35.03778161,30.83296244,21.88195058,0.589413771,0.70345033,0.733990208,0.650893599,0.684672441,0.678491477,0.639069784,0.626555115,0.651481302,0.69867968,0.723125902,0.693920497,0.642769457,4.095428439,17.97499847,14.84499931,11.72500038,12.72999954,13.45499992,19.10000038,19.89500046,24.43499947,26.20999908,27.77499962,26.87000084,24.72500038,19.12000084,13.10000038,12.625,19.91230759,9.800000191,9.470000267,7.090000153,6.289999962,7.730000019,13.01000023,12.85000038,16.86000061,19.17000008,21.79999924,21.48999977,18.76000023,12.19999981,6.579999924,7.639999866,1732.507285,-21.14827697,-21.14721482,1.954451926,-3.845740008,-3.84558819,0.222607081,1775.400871,-20.59142876,-3.773885965
NLA12_AL-114,48.67151785,29.77504201,24.37980317,25.81056496,28.94478319,60.40302064,72.53423647,116.6860297,137.944833,169.6766292,129.5816249,88.49980115,77.74232385,50.08000183,142.8099976,128.9400024,157.2799988,60.16999817,182.3899994,33.02000046,82.95999908,59.90000153,129.0899963,137.9700012,94.41999817,84.37999725,34.02999878,165.5299988,103.3392302,1343.409992,10.06166428,8.693273066,7.384674478,6.70129738,7.26661175,11.24505007,11.85449864,16.88398715,17.78180962,22.88421977,21.30218729,17.28896148,11.60416458,16.74909474,13.38548927,10.80105987,10.98042636,11.7091924,19.08123049,19.91844426,27.11546528,30.77747877,37.2538431,31.9614253,26.54298249,18.03864255,0.600728841,0.64945501,0.68369906,0.610294825,0.620590345,0.589325205,0.595151834,0.622670014,0.57775394,0.614278095,0.666496787,0.651357152,0.643294779,3.513781395,14.8949995,11.44499969,8.219999313,8.465000153,9.425000191,16.93999863,17.61999893,22.60000038,24.69499969,27.90999985,25.32500076,22.25,16.05500031,9.570000648,9.380000114,17.37269211,7.170000076,5.03000021,2.680000067,1.299999952,2.450000048,8.819999695,9.609999657,15.02000046,15.82999992,19.84000015,18.69000053,15.39000034,9.289999962,1.850000024,3.569999933,1237.615954,-28.43294628,-28.43230025,0.717129867,-5.164022518,-5.163937404,0.163184023,1244.363315,-28.32848549,-5.150132656
NLA12_AL-R03,47.21575969,30.22242856,25.56776253,25.73829558,29.376022,58.19661708,68.82911066,106.8093133,124.3167044,155.6647922,121.3615698,82.75233083,73.00422555,28.89999962,165,119.0199966,169.0500031,79.77999878,143.1399994,57.70999908,82.18000031,58.84000015,67.02999878,135.7400055,52.34000015,66.93000031,26.76000023,204.2200012,94.2815386,1225.660002,10.00044596,9.046618697,7.907231346,6.942049394,7.625971456,11.37377885,11.88612736,16.9165046,18.03289821,22.36417389,21.35553436,17.30002511,11.6740891,16.18777061,13.50480319,11.26012706,10.85203842,11.84265775,18.35703554,18.93678802,24.98141597,27.99477435,34.52283569,30.11857125,24.86651415,17.344347,0.61777784,0.669881565,0.70223287,0.639700038,0.64394088,0.619586906,0.627673888,0.677163561,0.644152297,0.647808138,0.709048719,0.695715733,0.673077464,3.385241403,14.36500072,11.57999992,8.840000153,8.289999962,9.595000267,16.32999992,16.81999969,21.26000023,23.125,26.61999893,24.33499908,21.18499947,15.44000053,9.425000191,9.130000114,16.75269222,7.079999924,5.610000134,3.660000086,1.799999952,3.140000105,8.989999771,9.649999619,15.05000019,16.04999924,19.46999931,18.72999954,15.39999962,9.380000114,2.539999962,3.99000001,1211.733732,-29.81959701,-29.82137917,1.146247029,-5.379588254,-5.379824105,0.213967704,1189.736355,-29.64826393,-5.357521534
NLA12_AL-R05,52.7349368,33.0510474,26.00940505,28.55474462,31.63559868,65.35368041,76.32116746,121.4235933,145.67114,170.8609851,135.1015272,93.66895176,81.69889815,16.44000053,103.2300034,138.7700043,160.2200012,104.6800003,174.2100067,30.12999916,102.8499985,30.71999931,161.4299927,152.5,228.8300018,104.2699966,41.59000015,251.1000061,116.0215388,1508.280005,10.37982475,9.310459554,7.641950891,7.256425846,7.663303482,11.68967852,12.20658839,17.03621424,18.66265872,24.3590107,23.08378151,19.05709032,12.41900636,18.14229806,14.83303398,11.4616053,12.12978766,12.81562171,20.65823258,21.03722004,28.35353186,32.66570729,37.7382502,33.4135362,28.09686207,19.07519347,0.572133955,0.627684098,0.666743505,0.598231894,0.5979658,0.565860534,0.58023771,0.60084981,0.571322658,0.645472712,0.690851198,0.678264009,0.651055329,3.681248583,16.14500046,13.01499939,9.104999542,9.954999924,10.78499985,18.20000076,18.48999977,23.33499908,25.69000053,28.13000107,26.06999969,23.18499947,16.93499947,10.68499947,10.44999981,18.38769223,7.630000114,6.03000021,3.170000076,2.430000067,3.210000038,9.399999619,10.05000019,15.15999985,16.59000015,20.85000038,19.97999954,16.92000008,10.31000042,3.690000057,4.960000038,1404.248495,-24.01299056,-24.01301435,0.862215156,-4.537620892,-4.537623525,0.066890361,1403.201351,-23.74510956,-4.502620697
