SITE_ID,VISIT_NO,UID,nlaSITE_ID,COMID,VolumeCorrect,FetchN,FetchNE,FetchE,FetchSE,MaxDepthCorrect,MeanDepthCorrect
NLA12_AL-101,1,6300,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_AL-101,2,7374,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_AL-102,1,7228,NLA06608-0459,18587568,1556602.638,2172.844161,1041.85174,658.1452938,1042.513349,6.157037262,2.133781393
NLA12_AL-103,1,7292,NLA06608-2955,166759059,272169549.7,5556.638602,4233.549244,4543.682439,4031.354565,13.51789323,2.626293188
NLA12_AL-104,1,7368,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_AL-105,1,6267,NA,21639448,640592.9002,517.2957159,578.8787779,868.2521784,579.1012821,4.722639865,1.967334434
NLA12_AL-105,2,7394,NA,21639448,640592.9002,517.2957159,578.8787779,868.2521784,579.1012821,4.722639865,1.967334434
NLA12_AL-112,1,7375,NA,18628452,115563.8858,310.6814219,199.0192637,172.5932229,196.9760152,3.636756702,2.080192918
NLA12_AL-113,1,7769,NA,18522817,95667.52552,475.2207826,1125.422553,750.9933408,1130.721656,0.760792688,0.325344244
NLA12_AL-114,1,7459,NA,22200659,122766.2341,578.3293653,343.873689,501.4542451,349.328802,1.840124485,0.678089854
NLA12_AL-R03,1,7291,NLA06608-1871,22033983,657112.6036,385.0879864,529.4149395,580.1065852,529.0266813,7.802215259,2.930851019
NLA12_AL-R05,1,7376,NA,18203922,4338686.442,1892.117944,799.9417735,847.9348987,801.1522914,12.80943759,4.76596895
NLA12_AR-101,1,7392,NLA06608-1808,22845861,422203.3384,1090.308673,1937.3634,1208.418995,1938.313574,1.080854544,0.399114563
NLA12_AR-101,2,8021,NLA06608-1808,22845861,422203.3384,1090.308673,1937.3634,1208.418995,1938.313574,1.080854544,0.399114563
NLA12_AR-102,1,8144,NLA06608-0208,9272602,55367.52844,1271.195546,1088.283513,1048.223303,1088.0472,0.152657992,0.057739091
NLA12_AR-103,1,8217,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_AR-104,1,7812,NLA06608-1484,7764393,990607.5072,761.4338694,807.7372885,874.9702743,807.6306759,5.987254198,2.217010778
NLA12_AR-105,1,7409,NA,15219066,25365.77962,330.2760559,391.5013387,293.0837148,391.0627799,0.716281822,0.347714471
NLA12_AR-105,2,8022,NA,15219066,25365.77962,330.2760559,391.5013387,293.0837148,391.0627799,0.716281822,0.347714471
NLA12_AR-106,1,8121,NA,7548451,4245607.87,1950.891707,2816.996248,1609.531196,2816.772006,5.664613508,1.907343221
NLA12_AR-109,1,7811,NA,3748090,32268.75327,191.0494886,180.3211712,375.4835454,179.6967259,2.002113303,0.777705219
NLA12_AR-111,1,8145,NA,22845785,1058.817851,155.2819979,122.7845687,153.805981,122.2261466,0.113638794,0.051353972
NLA12_AZ-101,1,6187,NLA06608-0834,20476542,25554025.87,1690.476187,3088.119149,2183.916181,3108.379272,24.54339575,6.841986223
NLA12_AZ-101,2,6612,NLA06608-0834,20476542,25554025.87,1690.476187,3088.119149,2183.916181,3108.379272,24.54339575,6.841986223
NLA12_AZ-102,1,8648,NLA06608-0569,20451100,1904579.484,1207.754368,1811.998344,1291.912811,1812.171217,5.189181382,1.598072117
NLA12_AZ-103,1,7821,NLA06608-1641,20524727,508215.8129,1359.678411,610.9021829,708.6618904,611.7487198,1.558472036,0.623941121
NLA12_AZ-106,1,8218,NLA06608-0877,10001770,37848.70938,569.2366482,558.411637,544.9128273,552.8580856,0.185768523,0.068807806
NLA12_AZ-107,1,7475,NLA06608-0895,20584396,11012991.4,2321.606799,2926.385392,2207.134958,2928.080184,7.604698597,2.08093383
NLA12_AZ-118,1,6192,NA,20479908,321.8049947,290.3933672,282.4230481,257.5158311,283.227251,0.007493111,0.00401894
NLA12_AZ-123,1,8219,NA,10001834,134117.1554,807.4369288,595.0826946,432.9328396,578.2365579,1.773622118,0.710583488
NLA12_AZ-127,1,6281,NA,20695686,185047.5934,291.0925524,318.3215929,947.1652845,318.1459798,1.717604272,0.74718735
NLA12_AZ-130,1,6195,NA,20438850,22050744.17,3272.906303,1692.783395,1459.737688,1701.856681,13.10857446,3.541154375
NLA12_AZ-130,2,8198,NA,20438850,22050744.17,3272.906303,1692.783395,1459.737688,1701.856681,13.10857446,3.541154375
NLA12_AZ-140,1,7290,NA,21327603,23703.63423,400.3131844,226.1967324,220.0868029,225.2104704,0.962875969,0.401941573
NLA12_AZ-143,1,8320,NA,20449310,81530.80183,504.4899892,766.114197,398.5382456,765.4869215,1.149348308,0.487528952
NLA12_AZ-145,1,8016,NA,21351551,207065.22,468.4566293,569.2082026,1446.39711,574.7578438,0.9714214,0.427392138
NLA12_AZ-157,1,8251,NA,20584554,28814.70508,625.0843465,386.3226275,365.4317853,386.8572166,0.376880646,0.166729515
NLA12_AZ-R01,1,8183,NLA06608-2217,21747615,540263.7334,504.2129956,371.2034697,498.2086887,363.1806866,4.644514427,2.238195921
NLA12_AZ-R02,1,8153,NA,21755810,22503.4058,296.829923,234.031255,287.8912775,233.9338952,0.948259454,0.437052616
NLA12_CA-101,1,7020,NLA06608-1781,5329251,13051739.64,1765.339666,1686.755317,1130.183939,1687.425342,12.25285431,3.89207206
NLA12_CA-101,2,8759,NLA06608-1781,5329251,13051739.64,1765.339666,1686.755317,1130.183939,1687.425342,12.25285431,3.89207206
NLA12_CA-102,1,8264,NLA06608-1397,20342929,44306498.71,4823.918591,2412.625245,2778.838659,2413.923441,16.42767572,6.060903027
NLA12_CA-103,1,7916,NLA06608-0201,14991593,90356204.1,1509.967962,1680.085623,4849.430044,1677.56126,40.70588791,15.72163182
NLA12_CA-104,1,8483,NLA06608-0181,20287024,13565614.27,943.9158354,780.7376145,1303.418503,780.9767926,26.01566264,11.41724181
NLA12_CA-105,1,7126,NLA06608-1269,15033533,6017.212874,483.8489059,693.1236689,566.8879573,693.8632452,0.070430605,0.028158271
NLA12_CA-106,1,6250,NA,22597891,153241.9443,955.4181465,1185.69848,916.5857888,1191.234483,0.645568874,0.244072821
NLA12_CA-107,1,8466,NLA06608-0649,120051897,3352827.325,725.9681237,661.4973215,1012.419986,661.0759792,12.70961609,4.788491493
NLA12_CA-108,1,7796,NLA06608-0693,17114573,2666869.239,717.2562953,682.4071475,862.1163568,680.2187354,9.154729134,3.822267874
NLA12_CA-111,1,7341,NA,15012301,6134532.218,906.7023799,991.8305427,1626.437933,993.3777614,11.92842126,4.185982731
NLA12_CA-111,2,7937,NA,15012301,6134532.218,906.7023799,991.8305427,1626.437933,993.3777614,11.92842126,4.185982731
NLA12_CA-112,1,7424,NA,8060117,579229.7479,492.4386083,433.0349678,593.0018729,445.6991398,7.345518538,2.680947302
NLA12_CA-116,1,6559,NA,7964717,1967630.172,456.857637,426.428313,517.4422319,425.6414762,23.86808625,10.04603187
NLA12_CA-119,1,7740,NA,120051899,1360.933045,1925.679773,2626.425477,1699.082755,2473.383488,0.000737407,0.000187513
