,SITE_ID,DESIGN_YR,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITEID_07,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,RDis_IX,VERTDD,HORIZDD,LitCvrQc3OE,LitRipCvrQc3OE,RVegQc3OE,MICX,B_G_DENS,CHLA,PTL,NTL,TROPHIC_STATE,SEDHG_TOT_TOP,SEDHG_MTH_TOP,MMI_BENT_NLA12,DO2_2M,DIS_O2_CLS,TURB,RVEG_COND,LITCVR_COND,LITRIPCVR_COND,RDIS_COND,DRAWDOWN_COND,MICX_DETECT,MICX_REC,CYNX_REC,CHLX_REC,PTL_COND,NTL_COND,CHLA_COND,SEDHG_TOT_TOP_COND,SEDHG_MTH_TOP_COND,BENT_COND,TURB_COND,REVSAMP_0712
1,NLA06608-0002,2007,PLNLOW,CPL,14.70694315,NA,NA,NA,NLA07_RVT12,Include,60.6542271,BERKELEY,9642039,NA,NA,NA,NA,4.9,Region_4,NA,NA,157,NA,PLNLOW,CPL,NA,Crane Pond,3,3050201,MAN_MADE,NA,33.03614283,-79.984084,NA,0.008172009,NA,NA,NA,NA,Crane Pond,,,NA,NA,NA,Panel_1,1.7464941,3.0502E+12,S,NA,NA,PROB,"(10,20]",NA,NA,NA,NA,NA,NA,NA,NA,SC,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,63,NA,63h,60.6542271,SC,NA,1479675.468,-374477.9732,0.743617021,0,0,0.746575989,0.695509072,0.684452301,0.05,6047.380714,3.84,36,695,Mesotrophic,212.69,0.31,52.4,NA,Not Assessed,3.55,Good,Good,Fair,Fair,Small,No Detect,No Detect,Low,Low,Good,Fair,Good,High,Low,Fair,Fair,Y
2,NLA06608-0004,2007,WMTNS,WMT,65.38610038,NA,NA,NA,NLA07_RVT12,Include,9.1719403,MONTEZUMA,3262179,NA,NA,NA,NA,2213,Region_8,NA,NA,130,NA,WMTNS,WMT,NA,,14,14080202,MAN_MADE,NA,37.4167824,-108.4056506,NA,0.04653754,NA,NA,NA,NA,Puett Reservoir,,,NA,NA,NA,Panel_1,6.011170144,1.40802E+13,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,CO,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,21,NA,21f,9.1719403,CO,NA,-1084506.176,61560.42969,0.514864865,1.04,11.26,2.207406903,0.699910717,0.35454939,0.05,522.5042343,4.6,18,344,Mesotrophic,74.4,0.54,53.5,6.666666667,High (>=5 Ppm),3.81,Poor,Good,Fair,Fair,Medium,No Detect,No Detect,Low,Low,Good,Fair,Poor,Medium,Medium,Fair,Poor,Y
3,NLA06608-0006,2007,EHIGH,NAP,56.19967245,NA,NA,NA,NLA07_RVT12,Include,19.5774988,LITCHFIELD,7711476,NA,NA,NA,NA,198.75,Region_1,NA,NA,118,NA,EHIGH,NAP,NA,Morris Reservoir,1,1100005,MAN_MADE,NA,41.67757315,-73.14469782,NA,0.057009219,NA,NA,NA,NA,Morris Reservoir,,,NA,NA,NA,Panel_1,5.83700507,1.10001E+12,R,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,CT,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,59,NA,59c,19.5774988,CT,NA,1870739.499,694097.2645,0.133333333,1.2,2.98,1.403734869,0.759698962,0.530821266,0.18,1191.150747,4.08,7,184,Mesotrophic,226.52,0.3,55.7,8.586666667,High (>=5 Ppm),0.901,Poor,Good,Fair,Good,Large,Detect,Low,Low,Low,Good,Good,Fair,High,Low,Good,Good,Y
4,NLA06608-0010,2007,PLNLOW,UMW,30.03726716,NA,NA,NA,NLA07_RVT12,Include,81.5811743,OAKLAND,13173017,NA,NA,NA,NA,284.65,Region_5,NA,NA,116,NA,PLNLOW,UMW,NA,Bogie Lake,4,4090005,NATURAL,NA,42.61885968,-83.50544419,NA,0.005801054,NA,NA,NA,NA,Bogie Lake,,,NA,NA,NA,Panel_1,2.423465243,4.09001E+12,T,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,MI,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,56,NA,56h,81.5811743,MI_LP,NA,1015849.477,640202.6718,0.786506936,0.03,0.22,0.543306748,0.534106446,0.562465039,0.05,2073.955556,4.38,10,473,Mesotrophic,58.42,0.47,62.2,9.933333333,High (>=5 Ppm),3.05,Fair,Fair,Poor,Poor,Small,No Detect,No Detect,Low,Low,Good,Good,Good,Medium,Low,Good,Poor,Y
5,NLA06608-0012,2007,PLNLOW,SPL,177.657303,NA,NA,NA,NLA07_RVT12,Include,3.4512251,PAYNE,534289,NA,NA,NA,NA,255.6,Region_6,NA,NA,144,NA,PLNLOW,SPL,NA,,11,11050003,MAN_MADE,NA,35.99293158,-96.87367696,NA,0.078811688,NA,NA,NA,NA,Cushing Lake,,,NA,NA,NA,Panel_1,13.50645224,1.105E+13,T,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,OK,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,27,NA,27o,3.4512251,OK,NA,-78059.8642,-168481.4237,0.396969697,0.09,0.23,1.387669463,1.671830253,1.907373048,0.05,968.0589681,4.9,159,1026,Mesotrophic,56.64,0.93,55.1,5.4,High (>=5 Ppm),50.3,Good,Good,Good,Fair,Small,No Detect,No Detect,Low,Low,Poor,Poor,Good,Medium,Medium,Good,Poor,Y
6,NLA06608-0013,2007,PLNLOW,CPL,37.14026102,NA,NA,NA,NLA07_RVT12,Include,147.9090567,BURLINGTON,4489294,NA,NA,NA,NA,15.44,Region_2,NA,NA,118,NA,PLNLOW,CPL,NA,Mirror Lake,2,2040202,MAN_MADE,NA,39.97091954,-74.5712097,NA,0.01630549,NA,NA,NA,NA,Mirror Lake,,,NA,NA,NA,Panel_1,8.284682952,2.0402E+12,T,NA,NA,PROB,"(20,50]",NA,NA,NA,NA,NA,NA,NA,NA,NJ,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,84,NA,84b,147.9090567,NJ,NA,1798761.56,480595.6204,0.725,0.04,0.04,0.330896286,0.476956471,0.686526368,0.05,202.6748971,16.03,28,384,Eutrophic,209.67,0.37,62.3,NA,Not Assessed,4.21,Good,Poor,Poor,Fair,Medium,No Detect,No Detect,Low,Moderate,Good,Good,Fair,High,Low,Good,Poor,Y
7,NLA06608-0016,2007,PLNLOW,SPL,641.0234072,NA,NA,NA,NLA07_RVT12,Include,4.1608113,LINCOLN,17432752,NA,NA,NA,NA,916,Region_7,NA,NA,143,NA,PLNLOW,SPL,NA,Lake Maloney,10,10190018,MAN_MADE,NA,41.03740677,-100.7757749,NA,0.06081946,NA,NA,NA,NA,Lake Maloney,,,NA,NA,NA,Panel_1,18.96802865,1.019E+13,S,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,44,NA,44a,4.1608113,NE,NA,-398131.429,406399.0858,0.771794872,0.45,1.15,0.311672501,0.364335004,0.409598457,0.29,1069.203429,13,6,490,Eutrophic,23.29,0.24,37.1,7.133333333,High (>=5 Ppm),16.5,Fair,Fair,Poor,Poor,Medium,Detect,Low,Low,Moderate,Good,Good,Fair,Low,Low,Fair,Poor,Y
8,NLA06608-0019,2007,PLNLOW,NPL,103.3136406,NA,NA,NA,NLA07_RVT12,Include,21.9642824,LOGAN,14665971,NA,NA,NA,NA,600.25,Region_8,NA,NA,142,NA,PLNLOW,NPL,NA,Doyles Lake,10,10130104,NATURAL,NA,46.36670421,-99.50350622,NA,0.040633112,NA,NA,NA,NA,Doyles Lake,,,NA,NA,NA,Panel_1,7.965628584,1.01301E+13,T,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,ND,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,42,NA,42b,21.9642824,ND,NA,-270218.981,995736.011,0.865966387,2.02,9.83,0.842047394,0.665941192,0.703119962,0.88,610.246695,4.03,801,7047,Mesotrophic,69.3,0.11,26.5,4.75,Moderate (>3-<5 Ppm),45.5,Good,Good,Fair,Poor,Large,Detect,Low,Low,Low,Poor,Poor,Good,Medium,Low,Poor,Poor,Y
9,NLA06608-0020,2007,PLNLOW,TPL,296.1995854,NA,NA,NA,NLA07_RVT12,Include,20.3353418,CLARK,10284202,NA,NA,NA,NA,184.92,Region_5,NA,NA,150,NA,PLNLOW,TPL,NA,,5,5120111,MAN_MADE,NA,39.41011547,-87.80523888,NA,0.029260046,NA,NA,NA,NA,Mill Creek Lake,,,NA,NA,NA,Panel_1,36.78984462,5.12011E+12,R,NA,NA,PROB,>50,NA,NA,NA,NA,NA,NA,NA,NA,IL,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,NO,NA,72,NA,72m,20.3353418,IL,NA,698296.1759,244214.5228,0.231147541,0.23,0.28,0.866558306,1.034095129,1.17439862,0.05,1781.777778,20.24,30,605,Eutrophic,NA,NA,46.4,8.5,High (>=5 Ppm),4.55,Good,Good,Good,Fair,Small,No Detect,No Detect,Low,Moderate,Good,Good,Fair,Not Assessed,Not Assessed,Good,Fair,Y
10,NLA06608-0023,2007,PLNLOW,SPL,6.20716516,NA,NA,NA,NLA07_RVT12,Include,210.5049403,BELL,2580363,NA,NA,NA,NA,265.85,Region_6,NA,NA,140,NA,PLNLOW,SPL,NA,,12,12070202,MAN_MADE,NA,31.14844072,-97.74526454,NA,0.001312891,NA,NA,NA,NA,Birdbath Lake,,,NA,NA,NA,Panel_1,0.974658146,1.20702E+13,R,NA,NA,PROB,"(4,10]",NA,NA,NA,NA,NA,NA,NA,NA,TX,NA,NA,NA,Target_Sampled,NA,NLALake,Target,NA,YES,NA,29,NA,29e,210.5049403,TX,NA,-165860.7106,-708286.5873,0.4,0,0,1.181106702,1.568769398,1.869057368,0.05,7408.592593,2.78,12,349,Mesotrophic,19.76,0.55,50,7.8,High (>=5 Ppm),3.79,Good,Good,Good,Fair,Small,No Detect,No Detect,Low,Low,Good,Good,Good,Low,Medium,Good,Fair,Y
