"SITE_ID","VISIT_NO","YEAR","DATE_COL","ECOREG_5","E_I","VertDD_m","HorizDD_m","LkArea_km2","DpthMx_m","SLD","bffFlat_grad","inflow","BFIWs","Temp_degC_avg_yr","Precip_mm_total_yr","Precip_mm_total_yr_sc","PHDI","Precip8110Ws","Precip8110Ws_grp_sc","HydrAP","hydrap_bin","hydrap_phdi","OUTLET_DAMS","damht_zmax","PctDEVELOPED_Cat","PCT_AG_URB_CAT","PctAgDrainageCat","PctIrrigated.AgLandCat"
"NLA06608-0001",1,2007,"7/31/2007","West",0.1,0.022222222,0.044444444,0.662930555,8.3,1.101246662,0.444444444,7.5706435588518,68.0572592237662,5.240277778,1530.02,1.53002,-2.512307692,1326.56999574,0.883973612510818,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0002",1,2007,"6/14/2007","Coastal Plains",0.37,0,0,0.147069432,2.3,1.294392549,0.7,3.13501437270323,64,20.82027778,1076.96,1.07696,-2.122307692,1247.3733048,-0.135917881853271,4,"Moderate",-8.489230768,"DAM",0.927652173913044,0,0,0.429184549,0
"NLA06608-0003",1,2007,"8/29/2007","Coastal Plains",0.2,0,0,0.057017366,2.5,1.494461982,0.8,11.258329620516,10,23.28277778,1084.63,1.08463,1.265384615,731.945722104,-3.26756084178397,4,"Moderate",5.06153846,"NONE",NA,2.29317851959361,60.6676342525398,7.213352685,0
"NLA06608-0004",1,2007,"7/10/2007","West",0.28,1.04,11.26,0.653861004,6.3,2.097053406,1,0.13305464128734,56.0738658394727,10.87027778,453.54,0.45354,0.813076923,498.418379494,-0.659273994295674,6,"High",4.878461538,"DAM",2.15934604904632,0,1.3183404420318,0,0
"NLA06608-0005",1,2007,"7/18/2007","West",0.08,0.52,1.43,0.194876125,6.1,1.253880625,0.6,309.250630019788,74.9696722412172,7.327222222,478.99,0.47899,-2.249230769,1156.57316365,0.567187170099712,0,"Low",0,"NONE",NA,0,0,0,0
"NLA06608-0006",1,2007,"7/17/2007","Appalachians",0,1.2,2.98,0.561996724,25.3,2.196429072,0.8,29.4951999533666,47.3517399945443,11.48027778,1242,1.242,1.268461538,1315.0241097,0.725220502185137,4,"Moderate",5.073846152,"DAM",1.26520754716981,0.50520059435364,6.65676077265973,0,0
"NLA06608-0007",1,2007,"7/24/2007","Midwest",0.42,0.12,0.85,0.254747633,19.2,1.689569755,0.8,1.90250478219949,65.0005560189046,8.47,695.97,0.69597,-4.131538462,830.804213049,-0.101409186643918,2,"Low",-8.263076924,"NONE",NA,0,25.4901960784314,0,0
"NLA06608-0008",1,2007,"7/12/2007","Midwest",0.39,0.32,0.84,0.487370362,5.5,2.307844831,0.7,5.18839245268673,25.7915879017013,12.39083333,979.69,0.97969,1.407692308,919.155574656,0.414666982293091,6,"High",8.446153848,"DAM",2.2519587628866,0.976800976800977,31.3593813593814,14.06186406,0
"NLA06608-0010",1,2007,"7/17/2007","Midwest",0.26,0.03,0.22,0.300372672,11.8,1.247388202,0.5,3.1807601745208,62.2092180217504,11.00722222,878.07,0.87807,2.745384615,840.518233962,-0.0446678460853612,2,"Low",5.49076923,"NONE",NA,17.711030554117,17.711030554117,0.051786639,0
"NLA06608-0012",1,2007,"6/13/2007","Great Plains",0.06,0.09,0.23,1.77657303,3.5,2.858542891,0.8,18.5352704480418,15.7011137543253,17.53333333,1362.24,1.36224,0.551538462,971.497078449,1.6416573006858,7,"High",3.860769234,"DAM",4.07532033426184,1.10343155086698,22.4081484176064,0,0
"NLA06608-0013",1,2007,"9/4/2007","Coastal Plains",0,0.04,0.04,0.37140261,2.3,3.834853608,0.4,161.15371547557,64.4405005428261,14.99833333,1157.55,1.15755,1.628461538,1161.18325855,-0.659592711483239,6,"High",9.770769228,"DAM",2.34461538461538,23.9850273538727,24.0426144543622,0,0
"NLA06608-0014",1,2007,"8/6/2007","Midwest",0.77,0.32,1.61,0.128095286,1.7,1.09070221,1,1.05368857949074,24,7.259444444,446.52,0.44652,-0.023846154,433.37510164,-2.42286399514283,4,"Moderate",-0.095384616,"NONE",NA,0.0309652304697868,86.5301247456428,0.150402548,0
"NLA06608-0015",1,2007,"7/10/2007","West",0.15,1.5,15.3,1.739929805,7,10.72621798,0.7,476.80778535603,43.2691161896967,19.46166667,282.61,0.28261,2.16,411.128176318,-0.821937925037794,7,"High",15.12,"DAM",3.44244705882353,2.70487141733081,4.12664282765014,0,0.8141102
"NLA06608-0016",1,2007,"6/27/2007","Great Plains",0.47,0.45,1.15,6.410234072,6.3,2.113394436,0.5,1.21712145977468,60.1187924082997,12.03055556,730.34,0.73034,1.585384615,525.898591107,-0.32351804514502,5,"Moderate",7.926923075,"DAM",1.98684444444444,0.76052111042903,4.29711479435236,0,0.027283269
"NLA06608-0019",1,2007,"6/11/2007","Great Plains",0.36,2.02,9.83,1.033136406,1.2,2.210742028,0.6,2.4763620008789,28.1098949870614,7.608611111,597.09,0.59709,2.536923077,500.242210435,-0.43666763651957,2,"Low",5.073846154,"NONE",NA,0,5.12755102040817,0,0
