response,predictor,effect,est_std,se_std,z,pvalue,ci_lower,ci_upper
L_HorizDD_use,L_VertDD_use,direct,0.731649891,0.038896332,18.81025397,0,0.655414481,0.807885302
L_HorizDD_use,L_DpthMx_mod,direct,-0.182768924,0.028878876,-6.328810181,2.47E-10,-0.239370481,-0.126167367
L_HorizDD_use,L_LkAreakm2,direct,0.093392791,0.054422111,1.716081744,0.086147082,-0.013272586,0.200058168
L_HorizDD_use,L_SLD,direct,-0.117851867,0.034237846,-3.442151917,0.000577106,-0.184956812,-0.050746922
L_HorizDD_use,bffFlat_grad,direct,0.135352752,0.022491636,6.017914817,1.77E-09,0.091269955,0.179435549
L_HorizDD_use,Temp_degC_avg_yr,direct,0.0011488,0.03990143,0.028790937,0.977031329,-0.077056567,0.079354166
L_HorizDD_use,Precip_mm_total_yr_sc,direct,0.024470837,0.030160541,0.81135272,0.417163142,-0.034642737,0.083584411
L_HorizDD_use,PHDI,direct,-0.109413832,0.030710146,-3.562790969,0.000366933,-0.169604612,-0.049223051
L_HorizDD_use,HydrAP,direct,0.041489623,0.030276601,1.370352738,0.170576818,-0.017851424,0.10083067
L_VertDD_use,L_LkAreakm2,direct,0.189916265,0.061934335,3.066413254,0.002166437,0.068527199,0.31130533
L_VertDD_use,L_DpthMx_mod,direct,0.051796388,0.057599571,0.899249542,0.368519757,-0.061096697,0.164689473
L_VertDD_use,L_SLD,direct,0.067096192,0.055326043,1.212741549,0.225228649,-0.041340861,0.175533244
L_VertDD_use,L_EI,direct,0.137533355,0.060390381,2.277404998,0.022762052,0.019170384,0.255896326
L_VertDD_use,L_inflow,direct,0.155579811,0.061954646,2.511188751,0.012032534,0.034150935,0.277008686
L_VertDD_use,BFIWs,direct,-0.058939218,0.055474151,-1.062462738,0.288025665,-0.167666557,0.04978812
L_VertDD_use,Temp_degC_avg_yr,direct,0.07721052,0.052459378,1.471815396,0.141070735,-0.025607971,0.180029012
L_VertDD_use,Precip_mm_total_yr_sc,direct,-0.183565286,0.058870353,-3.118127847,0.001820038,-0.298949057,-0.068181515
L_VertDD_use,PHDI,direct,-0.118275716,0.044827515,-2.63846249,0.008328291,-0.20613603,-0.030415402
L_VertDD_use,HydrAP,direct,-0.205641474,0.049521418,-4.152576462,3.29E-05,-0.302701669,-0.108581278
L_EI,L_LkAreakm2,direct,0.111005652,0.041628012,2.666609482,0.007662065,0.029416247,0.192595056
L_EI,L_DpthMx_mod,direct,-0.314173591,0.039751837,-7.903372847,2.66E-15,-0.392085761,-0.236261422
L_EI,bffFlat_grad,direct,0.0603708,0.036953601,1.63369194,0.102323552,-0.012056927,0.132798526
L_EI,L_inflow,direct,-0.444393157,0.042774484,-10.38921151,0,-0.528229604,-0.36055671
L_EI,BFIWs,direct,-0.067696579,0.038127161,-1.775547324,0.075807559,-0.142424442,0.007031284
L_EI,Temp_degC_avg_yr,direct,0.085485178,0.039584694,2.159551294,0.030807422,0.007900603,0.163069753
L_EI,Precip_mm_total_yr_sc,direct,-0.043590056,0.046467455,-0.938077114,0.348204782,-0.134664594,0.047484482
L_EI,PHDI,direct,-0.061766629,0.036524455,-1.691103376,0.090817061,-0.133353245,0.009819987
L_EI,HydrAP,direct,0.091077454,0.041957575,2.170703475,0.029953594,0.008842118,0.17331279
L_HorizDD_use,L_LkAreakm2,indirect,0.150122299,0.04471134,3.357588887,0.000786255,0.062489682,0.237754915
L_HorizDD_use,L_DpthMx_mod,indirect,0.006282707,0.038760749,0.16208941,0.871235445,-0.069686965,0.082252378
L_HorizDD_use,L_SLD,indirect,0.049090921,0.040987114,1.197715974,0.231027608,-0.031242346,0.129424189
L_HorizDD_use,bffFlat_grad,indirect,0.006074888,0.004576214,1.327491986,0.184345989,-0.002894328,0.015044104
L_HorizDD_use,L_EI,indirect,0.100626264,0.044254143,2.273826998,0.02297639,0.013889739,0.18736279
L_HorizDD_use,L_inflow,indirect,0.069112328,0.040438267,1.709082348,0.087435697,-0.010145219,0.148369875
L_HorizDD_use,BFIWs,indirect,-0.049934927,0.041107435,-1.21474196,0.224464523,-0.13050402,0.030634166
L_HorizDD_use,Temp_degC_avg_yr,indirect,0.065093123,0.039522453,1.646990948,0.099559907,-0.012369462,0.142555708
L_HorizDD_use,Precip_mm_total_yr_sc,indirect,-0.138691826,0.045075882,-3.076852224,0.00209199,-0.227038931,-0.050344722
L_HorizDD_use,PHDI,indirect,-0.09275176,0.032331959,-2.868733064,0.004121194,-0.156121235,-0.029382285
L_HorizDD_use,HydrAP,indirect,-0.141292778,0.036350877,-3.88691524,0.000101526,-0.212539188,-0.070046368
L_VertDD_use,L_LkAreakm2,indirect,0.01526698,0.009589056,1.592125472,0.111356515,-0.003527224,0.034061183
L_VertDD_use,L_DpthMx_mod,indirect,-0.043209348,0.020395745,-2.118547192,0.034128753,-0.083184274,-0.003234423
L_VertDD_use,bffFlat_grad,indirect,0.008302999,0.006224479,1.33392667,0.18222789,-0.003896756,0.020502753
L_VertDD_use,L_inflow,indirect,-0.061118882,0.027694108,-2.206927267,0.027319141,-0.115398336,-0.006839428
L_VertDD_use,BFIWs,indirect,-0.009310538,0.006730433,-1.383348935,0.1665579,-0.022501944,0.003880869
L_VertDD_use,Temp_degC_avg_yr,indirect,0.011757063,0.007010615,1.677037397,0.093535169,-0.001983489,0.025497616
L_VertDD_use,Precip_mm_total_yr_sc,indirect,-0.005995087,0.006283357,-0.954121657,0.340022065,-0.018310239,0.006320066
L_VertDD_use,PHDI,indirect,-0.008494972,0.00652639,-1.301634123,0.193041489,-0.021286461,0.004296517
L_VertDD_use,HydrAP,indirect,0.012526188,0.007911433,1.583301923,0.113352665,-0.002979937,0.028032312
