ecoregion,response,predictor,effect,est_std,se_std,z,pvalue,ci_lower,ci_upper
APPALACHIANS,L_HorizDD_use,L_VertDD_use,direct,0.906421159,0.03781859,23.96760858,0,0.832298085,0.980544233
APPALACHIANS,L_HorizDD_use,L_DpthMx_mod,direct,-0.006223009,0.056724176,-0.109706468,0.91264217,-0.117400351,0.104954333
APPALACHIANS,L_HorizDD_use,L_LkAreakm2,direct,-0.003942569,0.063480888,-0.062106389,0.950478109,-0.128362823,0.120477686
APPALACHIANS,L_HorizDD_use,L_SLD,direct,-0.02885979,0.062013932,-0.465375913,0.641662281,-0.150404864,0.092685283
APPALACHIANS,L_HorizDD_use,bffFlat_grad,direct,0.236488585,0.034923337,6.771649203,1.27E-11,0.168040103,0.304937067
APPALACHIANS,L_HorizDD_use,Temp_degC_avg_yr,direct,-0.024629697,0.052660557,-0.46770672,0.639994335,-0.127842492,0.078583099
APPALACHIANS,L_HorizDD_use,Precip_mm_total_yr_sc,direct,0.156395136,0.030764818,5.083571005,3.70E-07,0.096097201,0.216693071
APPALACHIANS,L_HorizDD_use,PHDI,direct,-0.076234916,0.058990616,-1.292322769,0.19624539,-0.191854399,0.039384567
APPALACHIANS,L_HorizDD_use,HydrAP,direct,0.033992905,0.038353684,0.886300899,0.375455405,-0.041178935,0.109164745
APPALACHIANS,L_VertDD_use,L_LkAreakm2,direct,0.219869293,0.093165084,2.359996723,0.018275097,0.037269084,0.402469503
APPALACHIANS,L_VertDD_use,L_DpthMx_mod,direct,0.143101888,0.060566267,2.362732525,0.018140757,0.024394187,0.261809589
APPALACHIANS,L_VertDD_use,L_SLD,direct,0.054082225,0.099055958,0.545976495,0.585082094,-0.140063886,0.248228336
APPALACHIANS,L_VertDD_use,L_EI,direct,-0.003274326,0.068712375,-0.047652632,0.961993085,-0.137948106,0.131399455
APPALACHIANS,L_VertDD_use,L_inflow,direct,-0.078199872,0.068603458,-1.13988236,0.254335315,-0.212660179,0.056260435
APPALACHIANS,L_VertDD_use,BFIWs,direct,0.05356726,0.062482146,0.857321057,0.391267474,-0.068895497,0.176030017
APPALACHIANS,L_VertDD_use,Temp_degC_avg_yr,direct,0.164658927,0.09245596,1.780944421,0.074921531,-0.016551426,0.345869279
APPALACHIANS,L_VertDD_use,Precip_mm_total_yr_sc,direct,-0.358433366,0.054094999,-6.625998145,3.45E-11,-0.464457617,-0.252409115
APPALACHIANS,L_VertDD_use,PHDI,direct,0.135737528,0.0812617,1.670375193,0.094845155,-0.023532478,0.295007534
APPALACHIANS,L_VertDD_use,HydrAP,direct,0.079616696,0.064896808,1.226819908,0.219890286,-0.04757871,0.206812101
APPALACHIANS,L_EI,L_LkAreakm2,direct,0.010979921,0.068004618,0.161458467,0.871732321,-0.122306682,0.144266524
APPALACHIANS,L_EI,L_DpthMx_mod,direct,-0.2879149,0.075947787,-3.790958381,0.000150067,-0.436769827,-0.139059973
APPALACHIANS,L_EI,bffFlat_grad,direct,-0.004399403,0.071902593,-0.061185599,0.951211399,-0.145325896,0.13652709
APPALACHIANS,L_EI,L_inflow,direct,-0.387118282,0.05673629,-6.82311583,8.91E-12,-0.498319368,-0.275917196
APPALACHIANS,L_EI,BFIWs,direct,-0.150702129,0.061982046,-2.431383599,0.01504128,-0.272184706,-0.029219552
APPALACHIANS,L_EI,Temp_degC_avg_yr,direct,0.236612563,0.086900157,2.722809372,0.00647294,0.066291384,0.406933741
APPALACHIANS,L_EI,Precip_mm_total_yr_sc,direct,0.054076329,0.067516281,0.800937608,0.423167767,-0.078253151,0.186405808
APPALACHIANS,L_EI,PHDI,direct,-0.059470471,0.081269235,-0.731771023,0.464308338,-0.218755245,0.099814302
APPALACHIANS,L_EI,HydrAP,direct,-0.185743412,0.072574541,-2.559346696,0.01048691,-0.327986899,-0.043499925
APPALACHIANS,L_HorizDD_use,L_LkAreakm2,indirect,0.199261592,0.085343765,2.334811358,0.019553278,0.031990886,0.366532298
APPALACHIANS,L_HorizDD_use,L_DpthMx_mod,indirect,0.130565087,0.057681816,2.2635398,0.023602434,0.017510804,0.24361937
APPALACHIANS,L_HorizDD_use,L_SLD,indirect,0.049021273,0.089881078,0.545401479,0.585477423,-0.127142403,0.225184949
