ecoregion,response,predictor,effect,est_std,se_std,z,pvalue,ci_lower,ci_upper
MIDWEST,L_HorizDD_use,L_VertDD_use,direct,0.744934469,0.045235186,16.46803146,0,0.656275133,0.833593805
MIDWEST,L_HorizDD_use,L_DpthMx_mod,direct,-0.119146643,0.032862751,-3.625583293,0.00028831,-0.183556452,-0.054736833
MIDWEST,L_HorizDD_use,L_LkAreakm2,direct,0.003472419,0.064396199,0.053922726,0.956996731,-0.122741812,0.129686649
MIDWEST,L_HorizDD_use,L_SLD,direct,-0.007762065,0.048024189,-0.161628236,0.871598621,-0.101887745,0.086363615
MIDWEST,L_HorizDD_use,bffFlat_grad,direct,0.169458571,0.028107183,6.029012957,1.65E-09,0.114369504,0.224547638
MIDWEST,L_HorizDD_use,Temp_degC_avg_yr,direct,-0.114177661,0.066621471,-1.713826775,0.086560544,-0.244753344,0.016398023
MIDWEST,L_HorizDD_use,Precip_mm_total_yr_sc,direct,-0.019397961,0.039007752,-0.497284766,0.618988253,-0.095851749,0.057055828
MIDWEST,L_HorizDD_use,PHDI,direct,0.007623351,0.069937558,0.109002246,0.913200709,-0.129451745,0.144698446
MIDWEST,L_HorizDD_use,HydrAP,direct,-0.019367665,0.045017151,-0.430228588,0.667029369,-0.107599661,0.06886433
MIDWEST,L_HorizDD_use,HydrAP_PHDI,direct,0.037679594,0.059196546,0.636516768,0.524439655,-0.078343504,0.153702692
MIDWEST,L_VertDD_use,L_LkAreakm2,direct,0.263758191,0.064864325,4.066305977,4.78E-05,0.136626451,0.390889932
MIDWEST,L_VertDD_use,L_DpthMx_mod,direct,0.019907371,0.053217788,0.374073632,0.708349536,-0.084397576,0.124212319
MIDWEST,L_VertDD_use,L_SLD,direct,0.00712539,0.069866142,0.101986311,0.91876754,-0.129809732,0.144060512
MIDWEST,L_VertDD_use,L_EI,direct,0.206897286,0.052287714,3.956900584,7.59E-05,0.10441525,0.309379322
MIDWEST,L_VertDD_use,L_inflow,direct,0.160430065,0.070345706,2.280595007,0.022572423,0.022555016,0.298305115
MIDWEST,L_VertDD_use,BFIWs,direct,-0.159996307,0.063113889,-2.535041184,0.011243411,-0.283697255,-0.036295358
MIDWEST,L_VertDD_use,Temp_degC_avg_yr,direct,0.290917221,0.098711369,2.947150091,0.003207175,0.097446492,0.484387949
MIDWEST,L_VertDD_use,Precip_mm_total_yr_sc,direct,0.009222637,0.076772509,0.12012942,0.904380628,-0.141248715,0.159693989
MIDWEST,L_VertDD_use,PHDI,direct,0.475484886,0.083839779,5.671351852,1.42E-08,0.311161939,0.639807833
MIDWEST,L_VertDD_use,HydrAP,direct,-0.189332969,0.06770444,-2.796463112,0.005166531,-0.322031233,-0.056634705
MIDWEST,L_VertDD_use,HydrAP_PHDI,direct,-0.311620207,0.085690338,-3.636585109,0.000276276,-0.479570183,-0.143670231
MIDWEST,L_EI,L_LkAreakm2,direct,0.045952168,0.047113469,0.975350979,0.329386191,-0.046388534,0.138292871
MIDWEST,L_EI,L_DpthMx_mod,direct,-0.200038901,0.046345557,-4.316247624,1.59E-05,-0.290874523,-0.109203278
MIDWEST,L_EI,bffFlat_grad,direct,0.057799102,0.034253699,1.687382806,0.091529768,-0.009336914,0.124935118
MIDWEST,L_EI,L_inflow,direct,-0.520985947,0.05295852,-9.837622871,0,-0.624782739,-0.417189155
MIDWEST,L_EI,BFIWs,direct,-0.081262133,0.055829666,-1.455536809,0.145520707,-0.190686267,0.028162
MIDWEST,L_EI,Temp_degC_avg_yr,direct,-0.035622982,0.08950644,-0.397993512,0.690634968,-0.211052381,0.139806416
MIDWEST,L_EI,Precip_mm_total_yr_sc,direct,-0.063390857,0.074717776,-0.848403957,0.39621304,-0.209835007,0.083053293
MIDWEST,L_EI,PHDI,direct,-0.066842589,0.071657654,-0.932804588,0.350920872,-0.20728901,0.073603833
MIDWEST,L_EI,HydrAP,direct,0.000823976,0.065648722,0.012551283,0.989985788,-0.127845156,0.129493107
MIDWEST,L_EI,HydrAP_PHDI,direct,-0.011464975,0.065855309,-0.174093407,0.861792055,-0.140539008,0.117609058
MIDWEST,L_HorizDD_use,L_LkAreakm2,indirect,0.203564942,0.048373331,4.208206003,2.57E-05,0.108754956,0.298374929
MIDWEST,L_HorizDD_use,L_DpthMx_mod,indirect,-0.016001293,0.039545902,-0.404625804,0.685752588,-0.093509837,0.061507252
MIDWEST,L_HorizDD_use,L_SLD,indirect,0.005307949,0.052103839,0.101872506,0.918857873,-0.0968137,0.107429597
MIDWEST,L_HorizDD_use,bffFlat_grad,indirect,0.008908282,0.005544195,1.6067765,0.108103405,-0.00195814,0.019774704
MIDWEST,L_HorizDD_use,L_EI,indirect,0.15412492,0.040060598,3.847294541,1.19E-04,0.075607591,0.232642249
