SITE_ID,Summed_area_sqkm,NLCD06_11_KM2_BSN,NLCD06_12_KM2_BSN,NLCD06_21_KM2_BSN,NLCD06_22_KM2_BSN,NLCD06_23_KM2_BSN,NLCD06_24_KM2_BSN,NLCD06_31_KM2_BSN,NLCD06_41_KM2_BSN,NLCD06_42_KM2_BSN,NLCD06_43_KM2_BSN,NLCD06_52_KM2_BSN,NLCD06_71_KM2_BSN,NLCD06_81_KM2_BSN,NLCD06_82_KM2_BSN,NLCD06_90_KM2_BSN,NLCD06_95_KM2_BSN,BASINAREA_06_sqkm,TOTAL
NLA06608-0377,0.0675,0.0603,0,0.0018,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0.067819939,0.0675
NLA06608-R716,0.0918,0.0711,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0.0117,0,0.092308653,0.0918
NLA06608-1368,0.1305,0.0918,0,0.0027,0.0045,0,0,0,0,0,0,0,0.0198,0,0,0,0.0117,0.128149939,0.1305
NLA06608-0542,0.1476,0.0468,0,0,0,0,0,0,0.0774,0,0.0108,0,0,0,0,0.0126,0,0.146669853,0.1476
NLA06608-1706,0.1566,0.0315,0,0.0036,0.0135,0,0,0.0045,0.0054,0,0,0,0.027,0,0.0342,0.027,0.0099,0.155092346,0.1566
NLA06608-0115,0.1881,0.063,0,0.0135,0,0,0,0,0.0315,0.0351,0.0099,0,0,0,0,0.0351,0,0.186886143,0.1881
NLA06608-1227,0.1944,0.1485,0,0.0126,0.018,0,0,0,0,0,0,0,0,0,0.0153,0,0,0.193062762,0.1944
NLA06608-1344,0.2043,0.0882,0,0,0,0,0,0,0,0,0,0.0153,0.1008,0,0,0,0,0.203767732,0.2043
NLA06608-0508,0.2079,0.1566,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.0342,0.0153,0.207361307,0.2079
NLA06608-1024,0.2421,0.0513,0,0,0,0,0,0,0.1755,0,0,0,0.0108,0,0,0,0.0045,0.242038661,0.2421
NLA06608-0078,0.2673,0.1791,0,9e-4,0,0,0,0,0,0,0,0,0.0144,0.0108,0,0,0.0621,0.257765278,0.2673
NLA06608-2036,0.2637,0.0945,0,0.0135,0,0,0,0,0.0144,0,0,0,0,0,0,0.1413,0,0.260648583,0.2637
NLA06608-1674,0.261,0.0792,0,0,0,0,0,0,0,0.0207,0,0.1098,0.0513,0,0,0,0,0.260709074,0.261
NLA06608-4206,0.2808,0.1674,0,0.0108,0.0045,0,0,0.0063,0.0297,0,0,0,0.0369,0,0.0252,0,0,0.279984275,0.2808
NLA06608-0226,0.3213,0.0351,0,0.0486,0.0126,0,0,0,0.0099,0.0774,0.1134,0.0189,0,0,0,0.0054,0,0.318837545,0.3213
NLA06608-R10ULAKE,0.3609,0.0153,0,0.0027,0,0,0,0.0189,0,0.324,0,0,0,0,0,0,0,0.359611308,0.3609
NLA06608-NH250L,0.3717,0.0639,0,0,0,0,0,0,0.2304,0.0126,0.0432,0,0,0,0,0.0216,0,0.372736959,0.3717
NLA06608-1055,0.3744,0.0909,0,0.0315,0,0,0,0,0.0801,0.0747,0,0,0.0036,0.0765,0.0171,0,0,0.374180733,0.3744
NLA06608-0302,0.4257,0.1935,0,0.0162,0.0054,0.0045,0,0,0.0162,0,0,0,0,0,0.1899,0,0,0.426794489,0.4257
NLA06608-1060,0.4293,0.0405,0,0.0234,0.0027,0,0,0,0.2646,0,0,0,0,0.0684,0.0297,0,0,0.428501808,0.4293
NLA06608-1102,0.4392,0.1152,0,0,0,0,0,0,0.0882,0.0027,0.1863,0.0225,0,0,0,0.0243,0,0.438064855,0.4392
NLA06608-1155,0.4518,0.3231,0,0.0135,0,0,0,0,0,0,0,0,0.0765,0.0162,0.0225,0,0,0.444151628,0.4518
NLA06608-0048,0.4527,0.0594,0,0.0558,0,0,0,0,0.0567,0,0,0,0,0,0.1908,0.0603,0.0297,0.452342891,0.4527
NLA06608-FL:16674741,0.4599,0.0441,0,0.0477,0,0,0,0,0.0018,0.0558,0,0.189,0.0864,0,0,0.0054,0.0297,0.459267891,0.4599
NLA06608-2266,0.4734,0.081,0,0,0,0,0,0.0486,0,0,0,0.0999,0.2439,0,0,0,0,0.475539152,0.4734
NLA06608-1835,0.486,0.0918,0,0.0189,0,0,0,0,0.0108,0,0,0,0,0.2295,0.0576,0.0774,0,0.487046835,0.486
NLA06608-0207,0.5112,0.0711,0,0.0252,0.09,0,0,0,0.0522,0.1386,0,0.0126,0.0234,0.0981,0,0,0,0.513357765,0.5112
NLA06608-R715,0.5589,0.1737,0,0.1107,0.1152,0.0657,0.036,0,0,0,0,0,0.0261,0.027,0,0.0036,9e-4,0.55875108,0.5589
NLA06608-1232,0.5787,0.1017,0,0,0,0,0,0,0.0945,0,0,0,0,0.342,0.0405,0,0,0.57868408,0.5787
NLA06608-1172,0.5859,0.0603,0,0.0189,0,0,0,0,0.3519,0.0333,0,0,0.0162,0,0.1053,0,0,0.586271121,0.5859
NLA06608-0807,0.5967,0.4932,0,0.0216,0,0,0,0,0.0153,0,0,0,0.0666,0,0,0,0,0.593756245,0.5967
NLA06608-0107,0.6093,0.1314,0,0.0261,0.009,0,0,0,0.0216,0,0,0,0,0.1539,0.1611,0.1062,0,0.60777181,0.6093
NLA06608-0862,0.6192,0.189,0,0.0405,0,0,0,0,0.2664,0,0.0099,0,0,0,0,0.1134,0,0.617305237,0.6192
NLA06608-3032,0.6228,0.0315,0,0.0414,0,0,0,0,0,0,0,0,0.189,0.2358,0.1251,0,0,0.621165466,0.6228
NLA06608-1469,0.6291,0,0,0.0171,0,0,0,0,0,0.0288,0,0,0,0,0,0.4446,0.1386,0.628672325,0.6291
NLA06608-NV:2,0.639,0.0531,0,0,0,0,0,0.009,0.0072,0.1368,0,0.126,0.2925,0,0,0.0144,0,0.634660797,0.639
NLA06608-0402,0.6489,0.0558,0,0.0927,0.0162,0,0,0,0,0.2268,0.1287,0.0405,0.0747,0,0,0,0.0135,0.642693828,0.6489
NLA06608-1087,0.6516,0.0315,0,0.0342,0,0,0,0,0.5004,0.0306,0,0,0.0333,0.0216,0,0,0,0.650448714,0.6516
NLA06608-2094,0.6543,0.027,0,0.0495,0,0,0,0,0.0216,0.0018,0,0.0747,0.0198,0.4419,0,0,0.018,0.651505355,0.6543
NLA06608-0444,0.6633,0.0819,0,0.2628,0.0648,0,0,0,0.0918,0.0081,0.0108,0.1107,0,0.0162,0,0.0162,0,0.662718791,0.6633
NLA06608-1269,0.684,0.1737,0,0.0405,0.261,0.1962,0.0054,0,0,0,0,0,0,0,0,0,0.0072,0.683333349,0.684
NLA06608-0987,0.6876,0.1314,0,0.0054,0.0315,0,0,0,0.0711,0,0,0,0,0.1422,0.0486,0.252,0.0054,0.687534924,0.6876
NLA06608-0497,0.6966,0.3465,0,0.0387,0,0,0,0,0,0,0,0.198,0.0657,0,0.0396,0.0081,0,0.694378843,0.6966
NLA06608-NELP-3355,0.7002,0.0441,0,0,0,0,0,0,0.2178,0.0468,0.3807,0,0,0,0,0,0.0108,0.697289979,0.7002
NLA06608-0297,0.7074,0.0297,0,0.153,0.0225,9e-4,0,0,0.0117,0.054,0.0045,0,0.1107,0.1926,0.1089,0.0189,0,0.707771907,0.7074
