SITE_ID,VISIT_NO,SAMPLE_CATEGORY,SAMPLE_ID_CHEM,PH_LAB,PHLAB_FLAG,COND,COND_FLAG,COND_RL_ALERT,ANC,ANC_FLAG,TURB,TURB_FLAG,TURB_RL_ALERT,TOC,TOC_FLAG,TOC_RL_ALERT,DOC,DOC_FLAG,DOC_RL_ALERT,NH4N_PPM,NH4_FLAG,NH4_RL_ALERT,NO3_NO2,NO3NO2_FLAG,NO3NO2_RL_ALERT,NO3N_PPM,NO3_FLAG,NO3_RL_ALERT,NTL,NTL_FLAG,NTL_RL_ALERT,PTL,PTL_FLAG,PTL_RL_ALERT,CHLA,CHLA_RL_ALERT,FLAG_FLD_CHLA,COMMENT_FLD_CHLA,FLAG_LAB_CHLA,CL_PPM,CL_FLAG,CL_RL_ALERT,SO4_PPM,SO4_FLAG,SO4_RL_ALERT,CA_PPM,CA_FLAG,CA_RL_ALERT,MG_PPM,MG_FLAG,MG_RL_ALERT,NA_PPM,NA_FLAG,NA_RL_ALERT,K_PPM,K_FLAG,K_RL_ALERT,COLOR,COLOR_FLAG,COLOR_RL_ALERT,SIO2,SIO2_FLAG,SIO2_RL_ALERT,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM,COMMENT_SECCHI,FLAG_SECCHI,COMMENT_FLD_CHEM,COMMENT_LAB_CHEM
NLA06608-0001,1,P,507621,7.63,NA,96.28,NA,N,924.3,NA,0.474,<RL (2),Y,0.37,NA,N,0.63,NA,N,0.01,<RL (0.02),Y,0.12,NA,N,0.131,NA,N,151,NA,N,6,NA,N,0.24,N,NA,NA,NA,0.05,<RL (0.2),Y,2.226,NA,N,13.93,NA,N,2.944,NA,N,0.252,NA,N,0.131,NA,N,6,NA,N,1.182,NA,N,952.4,982.39,951.67,6.4,NA,NA,NA,NA,NA
NLA06608-0002,1,P,514181,6.05,NA,44.8,NA,N,104.48,NA,3.55,NA,N,15.9,NA,N,14.02,NA,N,0.019,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,695,NA,N,36,NA,N,3.84,N,NA,NA,NA,6.311,NA,N,0.818,NA,N,3.414,NA,N,0.775,NA,N,2.526,NA,N,0.152,NA,N,71,NA,N,1.695,NA,N,350.14,301.34,347.89,0.55,NA,NA,NA,NA,NA
NLA06608-0002,2,D,512381,5.92,NA,42.87,NA,N,104.09,NA,4.43,NA,N,16.34,NA,N,13.8,NA,N,0.009,NA,Y,0,NA,Y,0.012,NA,Y,507,NA,N,25,NA,N,20.053,N,NA,NA,IM,6.493,NA,N,0.648,NA,N,3.283,NA,N,0.76,NA,N,2.132,NA,N,0.1,NA,N,60,NA,N,1.988,NA,N,330.24,309.52,321.66,NA,NA,NA,NA,NA,NA
NLA06608-0003,1,P,509041,8.47,NA,1089,NA,N,4746.01,NA,7.67,NA,N,6.75,NA,N,6,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,738,NA,N,43,NA,N,16.96,N,F1,SAMPLE WAS PARTIALLY FROZEN PRIOR TO FILTERING,NA,173.337,NA,N,49.455,NA,N,51.55,NA,N,9.513,NA,N,164.9,NA,N,5.778,NA,N,18,NA,N,45.248,NA,N,10676.25,10664.81,10675.69,0.71,NA,NA,NA,NA,NA
NLA06608-0003,2,P,514901,8.54,NA,1120,NA,N,4784.39,NA,9.53,NA,N,7.46,NA,N,5.87,NA,N,0.011,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,843,NA,N,50,NA,N,12.864,N,NA,NA,NA,181.295,NA,N,47.763,NA,N,49.8,NA,N,9.496,NA,N,164.2,NA,N,5.504,NA,N,12,NA,N,7.9,NA,N,10550.18,10892.43,10549.51,0.49,NA,NA,NA,NA,NA
NLA06608-0004,1,P,508551,8.25,NA,303.3,NA,N,1656.42,NA,3.81,NA,N,9.09,NA,N,8,NA,N,0.024,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,344,NA,N,18,NA,N,4.6,N,NA,NA,NA,1.802,NA,N,60.253,NA,N,34.03,NA,N,8.557,NA,N,11.1,NA,N,1.472,NA,N,13,NA,N,2.763,NA,N,2924.29,2961.72,2922.71,1.8,NA,NA,NA,NA,NA
NLA06608-0004,2,D,508531,8.24,NA,326.7,NA,N,1950.26,NA,7.41,NA,N,8.49,NA,N,7.86,NA,N,0.016,NA,Y,0,NA,Y,0,NA,Y,584,NA,N,44,NA,N,12.42,N,NA,NA,NA,1.911,NA,N,56.93,NA,N,36.59,NA,N,9.08,NA,N,11.4,NA,N,1.666,NA,N,8,NA,N,5.651,NA,N,3112.52,3189.45,3111.5,NA,NA,NA,NA,NA,NA
NLA06608-0005,1,P,502961,7.75,NA,52.62,NA,N,420.91,NA,0.475,<RL (2),Y,1.79,NA,N,1.45,NA,N,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,85,NA,N,4,<RL (4),N,1.205,N,NA,NA,NA,0.262,NA,N,2.775,NA,N,8.072,NA,N,0.311,NA,N,1.21,NA,N,0.247,NA,N,7,NA,N,6.166,NA,N,487.84,486.09,487.33,NA,Y,NA,NA,NA,NA
NLA06608-0005,2,D,517311,7.7,NA,56.1,NA,N,451.07,NA,0.591,NA,Y,1.39,NA,N,1.31,NA,N,0.002,NA,Y,0,NA,Y,0,NA,Y,48,NA,N,2,NA,Y,0.45,N,NA,NA,NA,0.218,NA,N,2.864,NA,N,9.04,NA,N,0.3,NA,N,1.082,NA,N,0.225,NA,N,0,NA,Y,6.462,NA,N,528.74,516.85,528.6,NA,NA,NA,NA,NA,NA
NLA06608-0006,1,P,508841,7.06,NA,74.74,NA,N,291.48,NA,0.901,<RL (2),Y,3.49,NA,N,3.16,NA,N,0.016,<RL (0.02),Y,0.005,<RL (0.02),Y,0.005,<RL (0.02),Y,184,NA,N,7,NA,N,4.08,N,NA,NA,NA,7.318,NA,N,6.894,NA,N,5.063,NA,N,2.561,NA,N,4.155,NA,N,1.19,NA,N,2,<RL (5),Y,2.482,NA,N,675.77,641.51,674.55,3.21,NA,10.6 FT FOR BOTH,NA,NA,NA
