SITE_ID,VISIT_NO,TSTATE_TP,TSTATE_TN,TSTATE_CHL,TSTATE_SECCHI
NLA06608-0001,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0002,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0002,2,2: MESOTROPHIC (>10-25 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0003,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0003,2,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0004,1,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0004,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0005,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),5: CLEAR TO BOTTOM
NLA06608-0005,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),1: OLIGOTROPHIC (<= 2 ug/L),5: CLEAR TO BOTTOM
NLA06608-0006,1,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0006,2,1: OLIGOTROPHIC (<= 10 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0007,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0007,2,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0008,1,3: EUTROPHIC (>25-50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,4: HYPEREUTROPHIC (> 30 ug/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0008,2,3: EUTROPHIC (>25-50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),4: HYPEREUTROPHIC (> 30 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0010,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),1: OLIGOTROPHIC (> 4 m)
NLA06608-0010,2,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,2: MESOTROPHIC (>2-7 ug/L),2: MESOTROPHIC (2.1-4 m)
NLA06608-0012,1,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0012,2,4: HYPEREUTROPHIC (>50 ug/L),3: EUTROPHIC (>0.75 to 1.4 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0013,1,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0013,2,2: MESOTROPHIC (>10-25 ug/L),1: OLIGOTROPHIC (<= 0.35 mg/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0014,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),3: EUTROPHIC (0.7-2.1 m)
NLA06608-0014,2,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0015,1,4: HYPEREUTROPHIC (>50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0015,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0016,1,1: OLIGOTROPHIC (<= 10 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0016,2,3: EUTROPHIC (>25-50 ug/L),2: MESOTROPHIC (>0.35-0.75 mg/,3: EUTROPHIC (>7 to 30 mg/L),4: HYPEREUTROPHIC (<= 0.7 m)
NLA06608-0019,1,4: HYPEREUTROPHIC (>50 ug/L),4: HYPEREUTROPHIC (> 1.4 ug/L),2: MESOTROPHIC (>2-7 ug/L),4: HYPEREUTROPHIC (<= 0.7 m)
