SITE_ID,VISIT_NO,MCYST_TL_UGL,CYANDENS
NLA06608-0001,1,0.05,30.11696365
NLA06608-0002,1,0.05,6047.380714
NLA06608-0002,2,0.05,5429.894541
NLA06608-0003,1,0.05,38410.15873
NLA06608-0003,2,0.05,61137.77778
NLA06608-0004,1,0.05,522.5042343
NLA06608-0004,2,0.05,8650.262664
NLA06608-0005,1,0.05,70.02710027
NLA06608-0005,2,0.05,4672.592593
NLA06608-0006,1,0.18,1191.150747
NLA06608-0006,2,0.57,4151.100596
NLA06608-0007,1,0.05,3618.092727
NLA06608-0007,2,0.05,7579.953131
NLA06608-0008,1,0.05,3499.752278
NLA06608-0008,2,0.05,4020.631743
NLA06608-0010,1,0.05,2073.955556
NLA06608-0010,2,0.05,2919.901235
NLA06608-0012,1,0.05,968.0589681
NLA06608-0012,2,0.78,12420.57143
NLA06608-0013,1,0.05,202.6748971
NLA06608-0013,2,0.05,12225.23028
NLA06608-0014,1,0.05,7714.169637
NLA06608-0014,2,0.05,3473.908099
NLA06608-0015,1,0.05,3681.777778
NLA06608-0015,2,0.05,8039.111111
NLA06608-0016,1,0.29,1069.203429
NLA06608-0016,2,1.3,4705.77557
NLA06608-0019,1,0.88,610.246695
NLA06608-0019,2,20,181649.9085
NLA06608-0020,1,0.05,1781.777778
NLA06608-0020,2,0.05,16703.11111
NLA06608-0021,1,0.05,790.7806797
NLA06608-0021,2,1.5,6071.283405
NLA06608-0023,1,0.05,7408.592593
NLA06608-0023,2,0.05,5708.444444
NLA06608-0024,1,0.26,18442.66667
NLA06608-0024,2,0.2,26201.90476
NLA06608-0025,1,0.05,3206.290598
NLA06608-0025,2,0.05,2017.015873
NLA06608-0029,1,0.17,46172.03062
NLA06608-0029,2,0.05,88240.76602
NLA06608-0031,1,0.05,15791.11111
NLA06608-0031,2,0.05,532
NLA06608-0033,1,0.05,16313.35531
NLA06608-0033,2,0.05,5146.569738
NLA06608-0036,1,0.05,16287.64444
NLA06608-0036,2,0.05,7549.333333
NLA06608-0037,1,0.14,4268.622158
NLA06608-0037,2,0.05,8660.74155
NLA06608-0038,1,0.05,1593.512705
NLA06608-0038,2,0.05,5007.613674
NLA06608-0041,1,0.05,43.15763575
NLA06608-0041,2,0.05,249.3183419
NLA06608-0042,1,0.05,11.63431989
NLA06608-0042,2,0.05,25.2076931
NLA06608-0043,1,0.05,3369.567692
NLA06608-0043,2,0.05,12357.61907
NLA06608-0044,1,0.05,14879.21418
NLA06608-0044,2,0.05,1254.873485
NLA06608-0045,1,0.05,253339.6667
NLA06608-0045,2,0.05,122849.7778
NLA06608-0048,1,0.05,154964.9383
NLA06608-0048,2,0.05,103417.9048
NLA06608-0049,1,0.05,482.5396825
NLA06608-0050,1,0.05,520.1777778
NLA06608-0050,2,0.05,945.7777778
NLA06608-0053,1,0.05,184.2499065
NLA06608-0053,2,0.05,179.2701793
NLA06608-0057,1,0.17,201754.6667
NLA06608-0057,2,0.27,241578.6667
NLA06608-0061,1,0.05,2881.255568
NLA06608-0061,2,0.05,12635.87885
NLA06608-0062,1,8.9,95660.57438
NLA06608-0062,2,2.6,29760.8509
NLA06608-0064,1,0.65,13979.91288
NLA06608-0064,2,9.6,129889.6916
NLA06608-0065,1,0.05,93.3859338
NLA06608-0065,2,0.05,22226.14902
NLA06608-0066,1,0.05,7121.009899
NLA06608-0066,2,0.05,4702.85437
NLA06608-0068,1,0.05,5.202309562
NLA06608-0068,2,0.05,3.23408375
NLA06608-0069,1,0.05,1268.170527
NLA06608-0069,2,0.05,0
NLA06608-0071,1,1.1,2146.262424
NLA06608-0071,2,0.76,2473.928474
NLA06608-0072,1,4.3,21693.77778
NLA06608-0072,2,28,9908.148148
NLA06608-0073,1,0.05,0.663963627
NLA06608-0073,2,0.05,5472
NLA06608-0076,1,0.05,25012.44444
NLA06608-0076,2,0.13,106062.2222
NLA06608-0077,1,0.05,38219.55556
NLA06608-0077,2,0.05,84555.76789
NLA06608-0078,1,15,71182.30135
NLA06608-0078,2,5,39605.12044
NLA06608-0079,1,0.05,11.00899711
NLA06608-0079,2,0.05,139.5071202
NLA06608-0080,1,0.05,3426.052315
NLA06608-0080,2,0.05,1216.381365
NLA06608-0081,1,0.05,6550.439594
NLA06608-0081,2,0.05,201472.1017
NLA06608-0083,1,1.2,2258.772274
NLA06608-0083,2,2.5,12620.03448
NLA06608-0085,1,0.14,4391.111111
NLA06608-0085,2,0.05,34383.79085
NLA06608-0086,1,0.44,52644.93051
NLA06608-0086,2,0.3,59449.63137
NLA06608-0089,1,0.05,14288
NLA06608-0089,2,0.05,18960.59259
NLA06608-0090,1,0.05,162.8098687
NLA06608-0090,2,0.05,395.7319021
NLA06608-0091,1,1.8,280946.8676
NLA06608-0091,2,1,1192234.384
NLA06608-0099,1,4.5,8843.561086
NLA06608-0099,2,2.6,4998.651184
NLA06608-0101,1,0.05,982.0022042
NLA06608-0102,1,0.05,1826.186337
NLA06608-0104,1,0.05,989.9697678
NLA06608-0104,2,0.05,426.2646485
NLA06608-0105,1,0.05,196.0952507
NLA06608-0105,2,0.05,6165.704379
NLA06608-0107,1,0.05,1841.875416
NLA06608-0110,1,0.05,4633.185185
NLA06608-0111,1,0.13,8189.811966
NLA06608-0112,1,0.58,71898.4127
NLA06608-0113,1,0.05,418.297085
NLA06608-0115,1,0.05,101.7175988
NLA06608-0116,1,0.05,3233.659259
NLA06608-0120,1,0.05,10756.21076
NLA06608-0120,2,0.05,5378.105378
NLA06608-0124,1,0.2,51780.04277
NLA06608-0126,1,0.9,79758.28241
NLA06608-0126,2,3.2,63564.16847
NLA06608-0127,1,0.05,2191.048943
NLA06608-0128,1,0.05,147.6321748
NLA06608-0128,2,1.6,78339.95902
NLA06608-0129,1,0.05,1123.7673
NLA06608-0129,2,0.05,864.8452399
NLA06608-0130,1,0.05,18823.10228
NLA06608-0132,1,0.05,3359.400893
NLA06608-0134,1,0.05,313.0588501
NLA06608-0137,1,0.05,361.620915
NLA06608-0139,1,0.16,627.4367427
NLA06608-0140,1,0.05,318.7025409
NLA06608-0141,1,0.1,996.9413858
NLA06608-0142,1,0.05,490.1368946
NLA06608-0144,1,0.05,18560.88889
NLA06608-0144,2,0.05,162615.873
NLA06608-0148,1,0.05,3838.276074
NLA06608-0149,1,0.05,5367.149978
NLA06608-0150,1,0.47,2985.448026
NLA06608-0152,1,0.1,11015.15657
NLA06608-0153,1,0.05,42361.08642
NLA06608-0155,1,0.29,1621.333333
NLA06608-0158,1,0.11,1427.681215
NLA06608-0161,1,0.05,9274.741914
NLA06608-0162,1,0.05,793.7777778
NLA06608-0167,1,1.6,36480
NLA06608-0167,2,1.3,67555.55556
NLA06608-0168,1,1.9,10539.09465
NLA06608-0169,1,0.05,15599.21944
NLA06608-0169,2,0.32,111027.5625
NLA06608-0170,1,0.38,362.1728395
NLA06608-0173,1,0.36,6483.604817
NLA06608-0174,1,0.42,21361.62963
NLA06608-0174,2,0.8,45563.62393
NLA06608-0175,1,0.05,6637.333333
NLA06608-0176,1,0.05,1682.151849
NLA06608-0177,1,0.05,8208.58232
NLA06608-0179,1,0.12,2414.267467
NLA06608-0179,2,0.05,41410.82502
NLA06608-0180,1,0.14,4342.32212
NLA06608-0181,1,0.13,6986.803419
NLA06608-0183,1,0.05,36061.12288
NLA06608-0184,1,0.05,1485.950597
NLA06608-0185,1,0.15,59.75672642
NLA06608-0189,1,1.7,3386.214497
NLA06608-0189,2,0.05,115390.2387
NLA06608-0190,1,0.05,1089.333333
NLA06608-0191,1,0.05,8327.521368
NLA06608-0193,1,0.05,0
NLA06608-0195,1,0.19,42292.62801
NLA06608-0196,1,0.05,104711.1111
NLA06608-0198,1,0.05,1860.426083
NLA06608-0201,1,0.05,490.3601533
NLA06608-0203,1,0.05,101.5864349
NLA06608-0204,1,1,5975.672642
NLA06608-0207,1,0.05,5814.329481
NLA06608-0207,2,0.05,13754.00653
NLA06608-0208,1,1.5,56549.78211
NLA06608-0209,1,0.05,30995.37509
NLA06608-0209,2,0.05,142720.9444
NLA06608-0211,1,3.3,3571.460349
NLA06608-0212,1,0.05,4853.407745
NLA06608-0215,1,6.1,32922.07407
NLA06608-0216,1,0.3,18886.55094
NLA06608-0217,1,0.54,73072.59259
NLA06608-0219,1,3.4,70691.20634
NLA06608-0220,1,28,101842.8902
NLA06608-0221,1,0.05,54973.33333
NLA06608-0222,1,0.05,138036.0834
NLA06608-0223,1,0.05,6732.591177
NLA06608-0223,2,0.05,13196.27709
NLA06608-0224,1,0.05,18337.58025
NLA06608-0224,2,0.12,12652.59259
NLA06608-0225,1,0.05,3387.178041
NLA06608-0225,2,0.05,102.4386519
NLA06608-0226,1,0.05,1243.636364
NLA06608-0228,1,0.05,567.7165275
NLA06608-0228,2,0.11,16053.39607
NLA06608-0229,1,0.05,2166.181333
NLA06608-0234,1,0.31,11414.63704
NLA06608-0235,1,0.81,22520.49737
NLA06608-0237,1,0.05,248.9863601
NLA06608-0237,2,0.05,247.7037037
NLA06608-0238,1,0.05,2603.140741
NLA06608-0239,1,0.05,872.4482058
NLA06608-0240,1,0.05,2289.109875
NLA06608-0241,1,0.05,275295.6444
NLA06608-0242,1,0.05,1263.356791
NLA06608-0243,1,0.05,4363.256824
NLA06608-0244,1,0.05,12400.19753
NLA06608-0245,1,0.05,514.9037927
NLA06608-0247,1,0.85,120274.7971
NLA06608-0253,1,0.1,116764.6434
NLA06608-0254,1,1.3,37432.60908
NLA06608-0255,1,0.05,53.94704469
NLA06608-0257,1,0.05,982.9842302
NLA06608-0259,1,0.13,26993.12965
NLA06608-0260,1,0.05,5832.296296
NLA06608-0268,1,0.05,19861.33333
NLA06608-0271,1,0.05,17687.99102
NLA06608-0275,1,2.3,5575.821187
NLA06608-0276,1,0.05,0
NLA06608-0277,1,0.05,19445.86667
NLA06608-0279,1,3.6,59035.11111
NLA06608-0280,1,1,16987.15152
NLA06608-0281,1,0.17,58840.88889
NLA06608-0283,1,0.05,3766.665656
NLA06608-0284,1,0.05,211223.7037
NLA06608-0285,1,0.19,72345.47679
NLA06608-0286,1,0.05,13818.48889
NLA06608-0290,1,1.1,349.1784714
NLA06608-0290,2,0.05,7170.807171
