SITE_ID,VISIT_NO,sixDepth,sivDepth,L_sixDepth,L_sivDepth,bsfcBedrock,bsfcBoulders,bsfcCobble,bsfcGravel,bsfcSand,bsfcSilt,bsfcOrganic,bsfcWood,bsiStaVariety,bsiSiteVariety,bsiStStaVariety,bsxLdia,bsvLdia,amfcEmergent,amfcFloating,amfcSubmergent,amfcAll,amfcFltEmg,fcfcAquatic,fcfcBoulders,fcfcBrush,fcfcLedges,fcfcLiveTrees,fcfcOverhang,fcfcSnag,fcfcStructures,fciAll,fciBig,fciNatural,fciRipVeg,rvfcCanBig,rvfcCanSmall,rvfcUndNonw,rvfcUndWoody,rvfcGndBare,rvfcGndInundated,rvfcGndNonw,rvfcGndWoody,rviCanopy,rviUnderstory,rviGround,rviWoody,rviTallWood,rviHerbs,rviCanUnd,rviTotalVeg
NLA06608-0001,1,3.033333333,4.546702102,0.496006599,0.667144831,0.104765605,0.080799611,0.502165495,0.2151023,0.080998424,0.005050505,0,0.01111806,4,7,1.75,0.314365679,0.126530045,0,0,0,0,0,0,0.016666667,0.011111111,0.069444444,0,0.097222222,0,0,0.194444444,0.183333333,0.194444444,0.011111111,0.05,0.230555556,0.161111111,0.536111111,0.037037037,0,0.300606061,0.662356902,0.280555556,0.697222222,0.672222222,1.283333333,0.816666667,0.366666667,0.977777778,1.65
NLA06608-0002,1,0.91,0.799235746,0.004321374,-0.046126438,0,0,0,0,0,0.271549172,0.723322623,0.005698006,2.1,3,1.428571429,-0.351820729,0,0.4775,0.635,0,0.815,1.1125,0.815,0,0.03,0,0,0.005,0,0,0.85,0.005,0.85,0.03,0.13,0.205,0.39,0.44,0,0.027422481,0.619738137,0.352839382,0.335,0.86,0.9175,1.1275,0.79,0.955,1.195,2.0825
NLA06608-0002,2,1.28,1.393476867,0.139879086,0.1741985,0,0,0,0,0,0.043843844,0.956156156,0,1.5,2,1.333333333,-0.175910365,0.185425805,0.875,0,0.055,0.875,0.875,0.875,0,0.0925,0,0.01,0.0975,0.005,0,1.08,0.0975,1.08,0.1075,0.01,0.0975,0.472777778,0.107222222,0,0.033333333,0.764822823,0.201843844,0.1075,0.5925,0.71,0.3275,0.2175,1.0575,0.7,1.385
NLA06608-0003,1,1.19,0.513051871,0.11058971,-0.212502778,0,0,0,0,0.563754469,0.133447018,0.231785357,0.071013156,3.6,4,1.111111111,-0.126800518,0.081869044,0.2675,0,0.005,0.2675,0.2675,0.285,0,0.065,0.035,0.03,0.275,0,0,0.69,0.31,0.69,0.095,0.01,0.09,0.277777778,0.222222222,0.115500241,0.154841804,0.639020095,0.09063786,0.1,0.5,0.538888889,0.345,0.3,0.672222222,0.55,0.95
NLA06608-0003,2,1.47,0.784644293,0.195899652,-0.05323132,0,0,0,0.116161616,0.415815296,0.583936508,0.006666667,0.013877551,2.1,5,2.380952381,-0.68562756,0.804326386,0.1325,0,0,0.1325,0.1325,0.1325,0,0.055555556,0,0,0.083333333,0,0.00625,0.277638889,0.089583333,0.271388889,0.055555556,0.05,0.04,0.36,0.11,0.006756757,0,0.944594595,0.0625,0.08,0.47,0.49,0.175,0.15,0.825,0.51,1
NLA06608-0004,1,1.27768,1.367419159,0.139148354,0.166554185,0,0.065714286,0.028571429,0.036017316,0,0.817772318,0.051924652,0,1.8,5,2.777777778,-0.260625719,0.248664874,0.4075,0.0625,0.095,0.4475,0.47,0.2575,0,0.03,0,0,0,0,0,0.2875,0,0.2875,0.03,0.03,0.0825,0.0625,0.0975,0.384818663,0.005405405,0.579987572,0.02978836,0.1125,0.16,0.445,0.225,0.21,0.4875,0.2725,0.7125
NLA06608-0004,2,1.14152,0.990741743,0.09395372,0.037721934,0,0.004166667,0.047916667,0.06832483,0.004081633,0.796647407,0.074607478,0.004255319,2.3,7,3.043478261,-0.276961518,0.197069998,0.05,0.01,0.2775,0.2975,0.06,0.23,0.005,0.005,0,0,0,0,0,0.24,0.005,0.24,0.005,0.025,0.05,0.005,0.1025,0.127104377,0.102810811,0.713563564,0.056521249,0.075,0.1075,0.69,0.2225,0.1775,0.5825,0.1825,0.805
NLA06608-0005,1,0.92,0.621467797,0.008600172,-0.141783049,0,0.008267879,0.165348794,0.104112141,0.31730316,0.135399892,0.109558291,0.160009843,5,7,1.4,0.012966188,0.191618915,0.0825,0,0,0.0775,0.0825,0.0825,0.005,0.1825,0.005,0,0.0975,0.05,0,0.4225,0.1075,0.4225,0.2325,0.1825,0.195,0.1625,0.2625,0.20684816,0.030714286,0.497250523,0.265187031,0.3775,0.425,0.6325,0.8625,0.64,0.5425,0.8025,1.405
NLA06608-0005,2,0.65,0.324037035,-0.124938737,-0.372596211,0,0.003921569,0.057874895,0.131044662,0.354826742,0.14679387,0.192468877,0.113069385,4.4,7,1.590909091,-0.068991016,0.169728349,0.015,0.005,0.005,0.015,0.02,0.015,0,0.085,0,0.005,0.03,0.055,0.025,0.215,0.055,0.19,0.145,0.125,0.04,0.1275,0.17,0.219435505,0.018867925,0.528754572,0.232941999,0.165,0.2975,0.6075,0.505,0.335,0.54,0.4625,1.045
NLA06608-0006,1,5.81,3.458789127,0.771587481,0.551302255,0.100595238,0.077565994,0.177973994,0.112916431,0.135443035,0.220754416,0.06938227,0.159218237,6,8,1.333333333,0.121503408,0.276185171,0.055,0.005,0.06,0.08,0.06,0.08,0.08,0.1175,0.1075,0,0.03,0.0875,0,0.5025,0.2175,0.5025,0.205,0.163888889,0.336111111,0.016666667,0.183333333,0.225198413,0.016944444,0.481801587,0.276055556,0.5,0.2,0.27,0.7,0.683333333,0.19,0.7,0.89
