SITE_ID,VISIT_NO,ssfcBedrock,ssfcBoulders,ssfcCobble,ssfcGravel,ssfcSand,ssfcSilt,ssfcOrganic,ssfcWood,ssfcOther,ssiStaVariety,ssiSiteVariety,ssiStStaVariety,ssxLdia,ssvLdia,hipwBuildings,hipwCommercial,hipwRoads,hipwWalls,hipwDocks,hipwPowerlines,hipwLandfill,hipwLawn,hipwPark,hipwCrops,hipwOrchard,hipwPasture,hiiAll,hiiNonAg,hiiAg,hiiAllCirca,hiiNonAgCirca,hiiAgCirca,hifpAny,hifpAnyCirca,bffFlat,bffGradual,bffSteep,bffVertical,bfoAngle,bfnAngle,bfxHorizDist,bfxVertHeight,bfnHorizDist,bfnVertHeight,L_RtHzVrt,RDisInEx1a
NLA06608-0004,2,0,0.016666667,0.041723164,0.055282486,0.038983051,0.318899059,0.067313525,0.043290544,0.417841505,3.4,7,2.058823529,-0.257207656,0.217515514,0.25,0,0.15,0.1,0.05,0.05,0.1,0,0.05,0,0,0.65,1.4,0.75,0.65,0.4,0.1,0.3,1,0.4,0.2,0.8,0,0,GRADUAL,10,0.85,0.2,10,10,0.187990482,0.491666667
NLA06608-0005,1,0,0.020833333,0.064274641,0.16293363,0.10954352,0.198821566,0.110942474,0.133985851,0.198664985,5.4,7,1.296296296,-0.006960815,0.223785924,0.1,0,0.3,0,0.2,0,0.1,0,0.05,0,0,0,0.75,0.75,0,0.1,0.1,0,0.8,0.1,0.2,0.4,0.4,0,"GRADUAL, STEEP",10,1.43,0.52,10,10,0.203762686,0.264285714
NLA06608-0005,2,0,0.011269841,0.049452943,0.244028898,0.231102764,0.076105422,0.086453086,0.135580542,0.166006505,5,7,1.4,0.013788556,0.210226819,0.05,0,0.3,0,0.1,0,0.3,0,0.1,0,0,0,0.85,0.85,0,0.6,0.6,0,0.7,0.3,0.1,0.7,0.1,0.1,GRADUAL,10,2.3,0.57,10,10,0.322614287,0.37972973
NLA06608-0006,1,0.078700129,0.09101103,0.196327901,0.063223244,0.057496741,0.149167651,0.047292978,0.1222728,0.194507526,7.3,8,1.095890411,0.185447121,0.258710392,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0.1,0.1,0,0.8,0.2,0,GRADUAL,10,2.98,1.2,10,10,0.257460391,0.133333333
NLA06608-0006,2,0.022081129,0.158666787,0.123352608,0.109793286,0.080428206,0.13089462,0.066237374,0.133012003,0.177742101,7.1,8,1.126760563,0.196237249,0.240403895,0,0,0.3,0.1,0,0,0,0.1,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.3,0.3,0.1,0.3,0.6,0,STEEP,10,4.5,1.82,10,10,0.290113581,0.316666667
NLA06608-0007,1,0,0.011317829,0.057942553,0.289692528,0.194122135,0.227026802,0.092353545,0.037429732,0.090114875,5.6,7,1.25,-0.054350815,0.188604308,0.25,0,0,0,0.25,0,0.2,0.2,0,0,0,0,0.9,0.9,0,0.6,0.6,0,0.5,0.3,0.1,0.7,0.2,0,GRADUAL,10,0.85,0.12,10,10,0.217953706,0.386842105
NLA06608-0007,2,0,0,0.06014197,0.340517454,0.327843929,0.052097754,0.061015503,0.033708514,0.124674877,5.5,6,1.090909091,0.019270798,0.160863137,0.3,0,0.05,0,0.35,0,0,0.35,0,0,0,0,1.05,1.05,0,0.5,0.5,0,0.7,0.4,0,0.5,0.5,0,"GRADUAL, STEEP",10,1.11,0.24,10,10,0.23086077,0.456097561
NLA06608-0008,1,0,0.072165899,0.0289701,0,0,0.034835632,0.006451613,0.016985223,0.840591533,2.1,5,2.380952381,0.020955767,0.200844609,0.25,0,0.15,0,0.05,0,0,0.3,0.4,0,0,0,1.15,1.15,0,1,1,0,0.4,0.4,0.5,0.2,0.1,0.2,FLAT,10,0.84,0.32,10,10,0.144243892,0.46744186
NLA06608-0008,2,0,0.033976834,0.004878049,0,0,0.107603486,0,0.048116826,0.805424804,2.5,4,1.6,-0.075984234,0.343374372,0.3,0,0.25,0,0.2,0,0,0.45,0.05,0,0,0,1.25,1.25,0,0.9,0.9,0,0.5,0.4,0.3,0.4,0,0.3,GRADUAL,10,0.98,0.28,10,10,0.189455221,0.477777778
NLA06608-0010,1,0,0.053508772,0.1332365,0.045454545,0.333589656,0.083982684,0,0.014047619,0.336180223,2.4,6,2.5,0.041840629,0.202427402,0.7,0,0.1,0.555555556,0.7,0.2,0,0.85,0.3,0,0,0,3.405555556,3.405555556,0,2.855555556,2.855555556,0,1,0.8,0,0.5,0.375,0.125,GRADUAL,8,0.22,0.03,10,10,0.073522606,0.786506936
