SITE_ID,VISIT_NO,UID,PRISTINE,APPEALNG,RECREATIONAL_VALUE,RDisIn,RDisInAg,RDisInNonAG,RDisIXAgAdj5,L_RVegQ,L_LitCvrQ,L_LitRipCvQ,RVegQc15,LitCvrQc15,LitRipCvrQc15,L_RVegQc15,L_LitCvrQc15,L_LitRipCvrQc15,RVegQc3OE15,LitCvrQc3OE15,LitRipCvrQc3OE15,RVeg_CONDus15,LitCvr_CONDus15,LitRipCvr_CONDus15,RDIS_CONDus15
NLA06608-0001,1,NA,5,5,EXCELLENT,0,0,0,0,-0.498153557,-1.274007749,-0.731907867,0.307575099,0.043209877,0.175392488,-0.498153557,-1.274007749,-0.731907867,1.189033067,0.440396802,0.924738495,GOOD,FAIR,GOOD,GOOD
NLA06608-0002,1,NA,5,2,GOOD,0.523809524,0.393939394,0.310344828,0.743617021,-0.603432373,-0.361510743,-0.465839791,0.23921124,0.425,0.33210562,-0.603432373,-0.361510743,-0.465839791,0.684452301,0.746575989,0.695509072,GOOD,GOOD,FAIR,FAIR
NLA06608-0002,2,NA,4,3,POOR,0.375,0.259259259,0.2,0.533333333,-1.035426119,-0.252824708,-0.487540867,0.082166667,0.548695652,0.315431159,-1.035426119,-0.252824708,-0.487540867,0.235102514,0.963865881,0.66058874,POOR,GOOD,FAIR,FAIR
NLA06608-0003,1,NA,3,4,GOOD,0.523809524,0,0.523809524,0.561904762,-0.805705214,-0.449771647,-0.592251522,0.146420902,0.345,0.245710451,-0.805705214,-0.449771647,-0.592251522,0.431313173,0.729349882,0.612598791,FAIR,GOOD,FAIR,FAIR
NLA06608-0003,2,NA,3,2,,0.750346741,0,0.750346741,0.62517337,-1.346787486,-0.836557008,-1.020691955,0.035,0.135694444,0.085347222,-1.346787486,-0.836557008,-1.020691955,0.103099768,0.286865876,0.212785435,POOR,POOR,POOR,FAIR
NLA06608-0004,1,NA,3,2,FAIR,0.523809524,0.285714286,0.411764706,0.514864865,-1.076489934,-0.920540143,-0.991552371,0.073851351,0.110077008,0.09196418,-1.076489934,-0.920540143,-0.991552371,0.35454939,2.207406903,0.699910717,POOR,GOOD,FAIR,FAIR
NLA06608-0004,2,NA,3,3,FAIR,0.583333333,0.393939394,0.428571429,0.6,-1.08116946,-1.594763938,-1.266095896,0.072952703,0.015423542,0.044188123,-1.08116946,-1.594763938,-1.266095896,0.350235111,0.309292872,0.336302033,POOR,POOR,POOR,FAIR
NLA06608-0005,1,NA,4,4,EXCELLENT,0.428571429,0,0.428571429,0.264285714,-0.444739965,-0.822269412,-0.593711801,0.349136905,0.140567274,0.244852089,-0.444739965,-0.822269412,-0.593711801,1.313205969,1.493692843,1.311648591,GOOD,GOOD,GOOD,FAIR
NLA06608-0005,2,NA,4,4,EXCELLENT,0.45945946,0,0.45945946,0.37972973,-0.533081332,-0.979492778,-0.701289168,0.283034441,0.094835223,0.188934832,-0.533081332,-0.979492778,-0.701289168,1.064575279,1.007735934,1.012105336,GOOD,GOOD,GOOD,FAIR
NLA06608-0006,1,NA,4,5,EXCELLENT,0.166666667,0,0.166666667,0.133333333,-0.800046852,-0.700939559,-0.747672246,0.148472222,0.18909504,0.168783631,-0.800046852,-0.700939559,-0.747672246,0.530821266,1.403734869,0.759698962,POOR,GOOD,FAIR,GOOD
