SITE_ID,VISIT_NO,RES_PIPES,AGR_CROPLAND,AGR_PASTURE,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_POULTRY,AGR_FEEDLOT,AGR_WITHDRAWL,IND_INDUSTRIAL,IND_MINES,IND_OIL,IND_POWER,IND_LOGGING,IND_FIRE,IND_ODORS,IND_COMMERCIAL,MAN_LEVEL_FLUCTUATIONS,RES_SCORE,REC_SCORE,AGR_SCORE,IND_SCORE,MAN_SCORE,HYDRO_TYPE,OUTLET_DAMS,SWIMMABILITY,LAKE_LEVEL,LEVEL_CHANGES,TROPHIC_STATE
NLA06608-0001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,DRAINAGE,NONE,GOOD,NO,NA,OLIGOTROPHIC
NLA06608-0002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,NO,NA,MESOTROPHIC
NLA06608-0002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,H,NA,NA,NA,0,0,0,8,0,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,YES,0.1,EUTROPHIC
NLA06608-0003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0,0,1,RESERVOIR,NONE,FAIR,YES,0.5,MESOTROPHIC
NLA06608-0003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0,0,1,NA,ARTIFICIAL,FAIR,NO,NA,EUTROPHIC
NLA06608-0004,1,NA,L,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,5,1,7,0,5,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,YES,1.9,EUTROPHIC
NLA06608-0004,2,NA,L,L,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,5,1,5,0,5,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,NO,NA,EUTROPHIC
NLA06608-0005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,0,0,1,DRAINAGE,NONE,GOOD,NO,NA,OLIGOTROPHIC
NLA06608-0005,2,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,1,0,1,DRAINAGE,NONE,GOOD,NO,NA,OLIGOTROPHIC
NLA06608-0006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,1,0,0,0,5,RESERVOIR,ARTIFICIAL,GOOD,NA,1.2,MESOTROPHIC
NLA06608-0006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,1,0,0,0,5,RESERVOIR,ARTIFICIAL,FAIR,YES,2,MESOTROPHIC
NLA06608-0007,1,NA,M,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,8,1,5,0,4,SEEPAGE,NONE,GOOD,YES,1,MESOTROPHIC
NLA06608-0007,2,NA,M,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,8,1,5,0,4,SEEPAGE,NONE,GOOD,NA,1.7,MESOTROPHIC
NLA06608-0008,1,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,10,15,7,8,11,DRAINAGE,ARTIFICIAL,FAIR,NO,NA,EUTROPHIC
NLA06608-0008,2,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,1,0,3,RESERVOIR,ARTIFICIAL,FAIR,YES,NA,EUTROPHIC
NLA06608-0010,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,0,DRAINAGE,NONE,FAIR,YES,0.1,MESOTROPHIC
NLA06608-0010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,DRAINAGE,NONE,FAIR,NO,NA,MESOTROPHIC
NLA06608-0012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,RESERVOIR,ARTIFICIAL,FAIR,NO,NA,EUTROPHIC
NLA06608-0012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,3,4,0,1,0,RESERVOIR,ARTIFICIAL,FAIR,NO,NA,EUTROPHIC
NLA06608-0013,1,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,19,5,0,0,2,RESERVOIR,ARTIFICIAL,UNSWIMMABLE,YES,0.1,EUTROPHIC
NLA06608-0013,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,19,9,0,0,2,RESERVOIR,ARTIFICIAL,FAIR,YES,0.1,EUTROPHIC
NLA06608-0014,1,NA,L,H,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,7,0,0,SEEPAGE,NONE,UNSWIMMABLE,YES,NA,MESOTROPHIC
NLA06608-0014,2,NA,L,H,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,7,0,0,SEEPAGE,NONE,UNSWIMMABLE,YES,-0.2,EUTROPHIC
NLA06608-0015,1,NA,NA,NA,L,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,M,4,6,4,0,4,RESERVOIR,ARTIFICIAL,FAIR,NA,2,EUTROPHIC
NLA06608-0015,2,NA,NA,NA,L,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,M,4,6,4,0,4,RESERVOIR,ARTIFICIAL,FAIR,YES,2,EUTROPHIC
