SITE_ID,VISIT_NO,IRT,PRT,ORT,MRT,Lake_Vol,ELEV_PT,Max_WSelev,Mean_WSelev,Stdev_WSelev,DOM_GEOL,GEOL_PT,Precip_WS,Precip_PT,P_WY,E,RH_WS,RH_PT,RH_COLMO,RH_FW,T_FW,TMAX_WS,TMEAN_WS,TMIN_WS,TMAX_PT,TMEAN_PT,TMIN_PT,POP_DEN,FarmFert,LvStckCon,LvStckUnC,NnFarmFert,ATM_N,Hum_N,Fert,manure,largest_source,AN
NLA06608-0001,1,0.77,0.32,0.77,0.36,1866604.421,1605.73,2857,1971,333,Gneiss,Gneiss,1915.67,1775,1.53,0.38,65,65,0.33,0.55,11.28,16.52,-0.8,-13.32,17.7,0.1,-12.7,0.1,0,0,98.58,0,958.2550234,2.04382395,0,98.58,Atmospheric,2.550096877
NLA06608-0002,1,0.26,0.04,0.26,0.17,97442.09625,4.9,13,7,1,Quaternary,Quaternary,1292,1292,1.08,0.94,71,71,0.49,0.57,24.25,32.45,18.3,2.85,32.4,18.3,2.9,169.6340174,0,0,60.756,17.688,2350.099,2113.246619,17.688,60.756,Atmospheric,10.26048716
NLA06608-0003,1,0.17,0.01,0.17,0.08,53941.70242,17.6,44,37,6,Quaternary,Quaternary,822.17,822,1.08,1.13,74,74,0.56,0.66,26,35.6,21.82,6.65,35.6,21.8,6.7,76.70750599,18106.569,423.462,2935.14,8.201,3466.349096,2018.21351,18114.77,3358.602,Fertilizer,7.165757565
NLA06608-0004,1,1.05,0.58,1.05,3.31,1228378.514,2213,2301,2231,11,Sedimentary,Sedimentary,497.5,497,0.45,0.51,52,52,0.21,0.36,16.59,27.95,7.17,-11.42,28,7.2,-11.4,42.88688084,135.245,7.425,1242.054,0.782,1392.399079,1096.951072,136.027,1249.479,Atmospheric,2.960874436
NLA06608-0005,1,0.48,0.01,0.48,0.01,435130.752,2138,3233,2508,230,Granitic,Granitic,1148.17,621,0.48,0.38,66.5,68,0.21,0.38,13.39,22.51,1.83,-13.61,24.6,1.7,-16.4,0.633581983,0,0,12128.84,0,18859.42061,300.0697779,0,12128.84,Atmospheric,2.165847964
NLA06608-0006,1,0.03,0.16,0.16,0.27,4576033.741,198.75,379,284,39,Sedimentary,Sedimentary,1325.63,1316,1.24,0.58,65.83,66,0.47,0.57,17.55,27.08,8.18,-10.25,27.8,8.7,-9.7,122.355315,5258.162,9292.868,3750.282,657.712,28617.54546,15361.79977,5915.874,13043.15,Atmospheric,12.3974447
NLA06608-0007,1,5.82,0.32,5.82,3.11,2016224.463,390.86,433,405,7,Volcanic,Sedimentary,839.82,842,0.7,0.57,70,70,0.48,0.61,17.53,27.49,5.7,-17.38,27.5,5.7,-17.4,27.1,3243.24,3055.536,617.263,81.45,9361.707122,1345.332839,3324.69,3672.799,Atmospheric,10.25684179
NLA06608-0008,1,0.79,0.05,0.79,0.23,681734.6106,261.56,308,288,12,Sedimentary,Sedimentary,892.44,890,0.98,0.69,68,68,0.45,0.59,20.23,30.44,10.09,-10.96,30.5,10.1,-10.9,17.81572666,28359.177,3587.199,9503.298,610.736,14773.54409,1290.976467,28969.913,13090.497,Fertilizer,11.08891275
NLA06608-0010,1,1.69,0.46,1.69,1.06,1184034.155,284.65,309,293,5,Sedimentary,Sedimentary,798.5,799,0.88,0.61,71,71,0.4,0.56,18.22,27.93,8.6,-9.15,28,8.6,-9.1,943.0437966,217.36,31.84,60.264,3039.142,3891.974851,15041.50126,3256.502,92.104,Sewage,13.27179798
NLA06608-0012,1,0.07,0.02,0.07,0.05,1902456.281,255.6,327,288,15,Sedimentary,Sedimentary,975.72,972,1.36,0.87,63.88,63,0.58,0.62,23.19,34.2,15.66,-3.63,34.3,15.5,-4,31.14612264,131639.546,2.4016269,119294.487,1073.548,70219.33354,14097.39894,132713.094,119296.8886,Fertilizer,8.438024099
NLA06608-0013,1,0,0,0,0,198696.1206,15.44,60,33,8,Sedimentary,Sedimentary,1198.13,1198,1.16,0.72,68.11,68,0.44,0.55,20.63,30.07,11.99,-4.94,30.3,12.2,-4.7,400.3426083,19378.992,3117.954,3111.049,35030.874,128678.514,204179.1084,54409.866,6229.003,Sewage,13.72289079
NLA06608-0014,1,0.93,0.03,0.93,0.48,91058.96602,498.4,521,508,3,Sedimentary,Sedimentary,428.5,428,0.45,0.58,66,66,0.41,0.57,17.17,28.4,4.7,-19.09,28.4,4.7,-19.1,1.5,15912.804,360.183,2905.546,11.172,3141.62328,57.65306111,15923.976,3265.729,Fertilizer,4.445719453
NLA06608-0015,1,0.21,0,0.21,0,2141502.172,1275.36,4358,2233,513,Sedimentary,Sedimentary,411.83,255,0.28,0.85,47.29,38,0.21,0.28,24.42,28.3,8.52,-9.81,35.5,16,-3.2,42.70699483,10133260.46,2296474.424,9738883.943,350556.843,15534163.32,15926038.69,10483817.3,12035358.37,Sewage,2.265677916
NLA06608-0016,1,1.58,0.45,1.58,1.23,13919248.08,916,947,925,7,Sedimentary,Sedimentary,511.08,509,0.73,0.65,64,64,0.45,0.58,19.78,31.37,9.44,-11.27,31.4,9.5,-11.3,8.840156735,74446.892,13194.792,30898.665,465.424,25831.81019,2033.248504,74912.316,44093.457,Fertilizer,6.10862413
NLA06608-0019,1,0.19,0.01,0.19,0.1,299711.0625,600.25,682,617,15,Sedimentary,Sedimentary,471.93,472,0.6,0.55,65,65,0.45,0.53,17.14,28.2,4.64,-19.17,28.2,4.7,-19.1,1.1,100523.128,6327.679,69576.546,144.808,46075.13789,548.6297293,100667.936,75904.225,Fertilizer,5.024571724
NLA06608-0020,1,0.14,0.12,0.14,0.3,6821876.984,184.92,255,201,9,Sedimentary,Sedimentary,1067.12,1071,1.05,0.73,69.36,69,0.4,0.55,21.5,31.08,11.83,-6.89,31.2,11.9,-6.8,12.18326126,315461.74,19061.025,6660.168,33.594,59544.1017,3562.000207,315495.334,25721.193,Fertilizer,11.07713436
NLA06608-0021,1,1.72,2.88,2.88,4.87,607262325.5,209.55,689,304,88,Sedimentary,Sedimentary,878.74,856,0.87,0.6,69.91,70,0.49,0.6,17.67,26.84,8.17,-9.34,27.6,8.7,-8.7,154.9958004,281451.375,133089.645,63158.385,8210.119,294281.7219,203728.2508,289661.494,196248.03,Atmospheric,12.17730047
NLA06608-0023,1,0.03,0.08,0.08,0.22,70439.8167,265.85,281,273,4,Sedimentary,Sedimentary,849,849,1.25,0.98,65,65,0.46,0.61,24.52,35.7,19.1,1.7,35.7,19.1,1.7,177.3,0,0,45.1,160.303,797.9049111,717.1323372,160.303,45.1,Atmospheric,10.72950351
NLA06608-0024,1,0.7,0.09,0.7,0.23,308252004.9,105.13,235,142,19,Sedimentary,Sedimentary,1109.09,1147,1.53,0.97,67.25,69,0.59,0.63,24.25,34.78,18.4,1.45,34.9,18.5,1.6,126.945838,4966061.353,475878.734,3149456.242,34419.29,2342537.796,1498313.234,5000480.643,3625334.976,Fertilizer,10.79497192
