SITE_ID,DOMGEOL_BSN,DAMCNT_BSN,DAMDEN_BSN,ELEV_SITE,ELEVMAX_BSN,ELEVMEAN_BSN,ELEVMIN_BSN,GNEISSAREA_BSN,GNEISSPCT_BSN,GRANITICAREA_BSN,GRANITICPCT_BSN,HOUSEDEN_BSN,MAFULAREA_BSN,MAFULPCT_BSN,PERMRATE_BSN,PERMRATE_SITE,POPDEN_BSN,PSUM6M_BSN,PSUMPY_BSN,QTRNRYAREA_BSN,QTRNRYPCT_BSN,ROADDEN_BSN,SANDPCT_BSN,SITE_GEOLOGY,PMEAN_BSN,PMIN_BSN,PMAX_BSN,PIP_BSN,TIP_BSN,TMEAN_BSN,TMAX_BSN,TMIN_BSN,TMEANSD_BSN,TMINSD_BSN,TMAXSD_BSN,PMIN_PT,PMAX_PT,PMEAN_PT,PIP_PT,TIP_PT,TMIN_PT,TMAX_PT,TMEAN_PT,TMEANPW_PT,TMEANPY_PT
NLA_MI-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA12_AL-101,SDMNTRY,100,0.009147651,5703,47111,19615.40039,3969,0,0,0,0,73.7985,0,0,3.59489,3,162.533996,73767.10156,136967,0,0,2.18218,14.478799,SDMNTRY,145141,9318.110352,13987,63273.5,2412.669922,1620.599976,2258.139893,983.059021,57.6721,67.518898,68.4356,8646,10832,136161,59421,2528.290039,1058,2394,1725.949951,978.814026,1856.900024
NLA12_AL-102,SDMNTRY,1,0.081360068,24815,32454,27977,23620,0,0,0,0,108.831001,0,0,4,4,254.791,75816.39844,134928,0,0,3.97851,15.9482,SDMNTRY,149389,9942.55957,14351.09961,57869.80078,2342.719971,1538.119995,2145.790039,930.452026,68.710899,84.572601,69.955902,9997,10479,150029,59970,2336.370117,931,2160,1545.229981,839.059998,1668.640015
NLA12_AL-103,SDMNTRY,490,0.024427664,14178,128372,29397.90039,12827,0,0,0,0,78.780502,0,0,3.78303,2,195.550994,66970.89844,119021,0,0,2.28139,20.404899,SDMNTRY,138025,8981.169922,13417.59961,49618.89844,2356.870117,1545.380005,2174.810059,915.940002,53.162899,59.6908,64.108902,8865,10479,136511,53655,2441.399902,947,2308,1627.420044,862.333008,1744.040039
NLA12_AL-104,SDMNTRY,586,0.014702004,2227,47111,12486.5,1473,0,0,0,0,38.8945,0,0,3.85507,1,86.8395,71628.10156,128640,0,0,1.7418,20.034099,SDMNTRY,142566,9138.80957,14385.2002,60906.80078,2457.919922,1668.199951,2305.75,1030.660034,54.8965,60.965099,68.436401,8972,10479,137737,58444,2438.300049,1093,2411,1751.979981,970,1836.880005
NLA12_AL-105,SDMNTRY,1,0.425931188,5237,9063,6603.890137,4710,0,0,0,0,9.69264,0,0,8.112549,8,20.1991,80348.29688,142488,0,0,1.2611,41.5498,SDMNTRY,148229,8792.400391,14551.7002,81644,2555.360107,1826.540039,2508.76001,1144.27002,54.115898,65.792603,66.348099,8792,10479,148277,81469,2553.659912,1138,2514,1825.939941,1118.579956,1920.380005
NLA12_AL-106,SDMNTRY,0,0,9646,12404,11494.59961,9577,0,0,0,0,12.5719,0,0,11,11,26.4246,52879.30078,95801.39844,0,0,1.97214,47,SDMNTRY,142659,8389.280273,15967.7002,77023.89844,2561.729981,1869.560059,2503.570068,1235.569946,46.834499,60.717201,60.335602,8399,11786,142736,76729,2562.330078,1232,2506,1869.069946,1206.430054,1980.449951
NLA12_AL-107,SDMNTRY,0,0,7774,9289,8204.429688,7431,0,0,0,0,8.3865,0,0,1,1,18.452999,65622.29688,111937,0,0,1.67443,7,SDMNTRY,132401,7809.540039,15670.59961,55965.89844,2557.050049,1817.26001,2445.870117,1188.599976,47.6357,50.721901,62.521999,7811,10479,132412,56157,2552.909912,1189,2446,1817.75,1079.050049,1918.400024
NLA12_AL-112,SDMNTRY,0,0,7624,11360,9716.389648,7624,0,0,0,0,6.7743,0,0,7,7,11.5325,71354,127334,0,0,1.75053,23,SDMNTRY,139657,8905.139648,14055,59539,2494.199951,1688.729981,2332.209961,1045.23999,52.599201,59.346802,65.940804,8889,10479,139519,59539,2494.199951,1052,2337,1694.329956,888.166992,1802.959961
NLA12_AL-113,SDMNTRY,0,0,1584,9342,5829.660156,1407,0,0,0,0,15.105099,0,0,8.59764,5,34.517601,70429.5,138185,3810000,9,3.60036,47.7621,QTRNRY,163212,9196.370117,17001.59961,114697,2592.389893,1897.900024,2516.52002,1279.27002,42.1875,55.5779,55.287701,9158,10479,163155,111501,2601.899902,1284,2512,1897.810059,1257.329956,2020.579956
NLA12_AL-114,SDMNTRY,0,0,17379,29930,19457,17153,0,0,0,0,27.3602,0,0,2.21687,1,63.913898,65236,119582,0,0,1.35666,11.746999,SDMNTRY,136594,8971.530273,13270,51389.10156,2445.560059,1605.390015,2252.600098,958.14502,55.415299,58.818600000000004,65.561401,8936,10479,136246,51023,2451.399902,958,2267,1612.680054,849.833008,1730.420044
NLA12_AL-R03,SDMNTRY,0,0,31768,47402,36790.10156,30795,0,0,0,0,27.761999,0,0,5.99158,5,56.2285,76543.60156,122213,0,0,0.769925,26.4242,SDMNTRY,148798,9622.740234,15272.7002,46167.10156,2306.560059,1549.52002,2180.100098,918.932983,52.026199,67.750397,74.267601,9506,11786,147091,44873,2322.100098,925,2215,1570.089966,878.635986,1702.780029
NLA12_AL-R05,SDMNTRY,0,0,7075,14690,9767.240234,6049,0,0,0,0,27.1117,0,0,7,7,66.885902,70358,125808,0,0,0.848707,23,SDMNTRY,137982,9081.669922,13841.59961,59595.19922,2521.780029,1713.540039,2385.560059,1041.530029,62.779301,74.147797,70.4104,9042,10479,137726,59594,2528.399902,1058,2388,1723.209961,960.484009,1850.400024
NLA12_AR-101,SDMNTRY,3,0.052444603,7345,12150,9078.75,7339,0,0,0,0,46.478298,0,0,2.813889,2,115.038002,95411.79688,158121,14020000,24,2.58785,57.459201,QTRNRY,133973,6863.870117,13857.2002,41657,2626.370117,1677.979981,2289.699951,1066.27002,50.787899,52.671902,61.778,6756,4234,132538,40520,2624.340088,1067,2289,1678.150024,754.98999,1808.51001
NLA12_AR-102,QTRNRY,0,0,7047,7488,7062.229981,6867,0,0,0,0,4.21491,0,0,1,1,8.636249,78020,136302,1130000,100,0.419724,2,QTRNRY,123029,6254.279785,12918.59961,36642,2559.399902,1588.579956,2151.469971,1025.579956,55.503201,57.257,68.704201,6251,10281,123026,36642,2559.399902,1026,2152,1588.630005,647.166992,1734.079956
NLA12_AR-103,SDMNTRY,16,0.004244525,12162,81751,26739.30078,11682,0,0,0,0,29.7105,0,0,5.17979,0,61.2667,89969.79688,151479,0,0,1.6603,25.0879,SDMNTRY,142194,7097.029785,15400.40039,42332.30078,2546.100098,1591.109985,2224.669922,957.544006,50.202801,62.159,62.639999,6580,10281,132621,39411,2630.600098,1005,2306,1655.459961,764.666992,1800.420044
NLA12_AR-104,SDMNTRY,1,0.022301484,20706,63128,44122.39844,19370,0,0,0,0,3.081759,0,0,3.802809,4,5.035099,80202.89844,144850,0,0,1.11274,34.774101,SDMNTRY,136863,8028.029785,15298.79981,31454.59961,2502.550049,1470.530029,2013.030029,928.026978,54.202499,60.365101,75.9011,7608,12205,130587,30468,2571.229981,942,2158,1549.709961,600.374023,1691.449951
NLA12_AR-105,SDMNTRY,2,1.255492781,5537,7894,6576.069824,5466,0,0,0,0,7.547259,0,0,7.58228,2,16.5608,85391,119180,0,0,0.714128,41.5443,SDMNTRY,139883,8021.919922,13959.2002,43626.39844,2574.090088,1745.26001,2400.330078,1090.160034,48.3023,54.661099,61.129799,8019,10281,139902,43623,2574.100098,1085,2399,1742.02002,866,1871.079956
NLA12_AR-106,SDMNTRY,2,0.039175213,8330,18207,11313.2002,7885,0,0,0,0,8.106739,0,0,3.41942,0,15.455699,82261.5,147875,2560000,5,1.30903,14.119099,QTRNRY,125571,6987.02002,13020,35736.60156,2470.350098,1533.76001,2144.909912,922.604981,54.569599,52.237701,69.4076,6882,13124,125959,34763,2483.639893,964,2140,1552.290039,570.570984,1665.180054
NLA12_AR-109,SDMNTRY,0,0,10805,12876,11514.59961,10490,0,0,0,0,4.65876,0,0,1,1,9.80189,73135.29688,105793,0,0,1.75847,10,SDMNTRY,130311,5867,14514.2002,27285.40039,2619.850098,1708.01001,2353.560059,1062.369995,47.4897,51.030701,63.467899,5874,4234,130314,27165,2627.560059,1067,2358,1712.469971,817.612976,1873.790039
NLA12_AR-111,SDMNTRY,0,0,11957,14201,12613.2998,11779,0,0,0,0,537.611022,0,0,3,3,1305.920043,97181,164373,0,0,5.02281,22,SDMNTRY,134463,7046.5,13881,46242,2638.570068,1666.25,2277.129883,1055.319946,53.690701,55.645302,64.626801,7059,10281,134423,46355,2640.159912,1051,2280,1665.550049,747.78302,1813.540039
NLA12_AZ-101,SDMNTRY,9,5.61337e-4,45959,347871,169337,43484,1712850000,10.68,1072750000,6.69,3.557389,789050000,4.92,3.813329,0,6.77191,19734.80078,42873,0,0,0.772016,35.739299,GRANITIC,57733.30078,1004.940002,9151.839844,20451.30078,2120.76001,1273.26001,2099.959961,446.569,68.049599,76.981102,85.1838,149,4011,31532,14176,3033.659912,1419,2961,2189.949951,1240.930054,2208.790039
NLA12_AZ-102,GRANITIC,1,0.015517008,156762,215933,172686,156737,0,0,64480000,100,287.566009,0,0,1.158679,1,532.499023,16013.7002,31476,0,0,4.32436,27.947099,GRANITIC,49457.30078,856.416016,8303.610352,25553.69922,2024.140015,1178.310059,2002.849976,353.773987,61.9105,69.264702,74.125099,786,4011,40156,20675,2127.570068,447,2109,1278.130005,350.197998,1281.410034
NLA12_AZ-103,VOLCANIC,2,0.059754597,217112,237933,220970,216488,0,0,0,0,1.31762,0,0,1.254559,2,0.486425,25193.30078,56694.89844,0,0,0.974501,26.117599,VOLCANIC,61244.89844,1071.030029,8828.459961,30192,1641.650024,790.362,1608.890015,-28.1745,65.852699,79.286301,78.7062,1020,4011,56824,26194,1691.030029,24,1646,834.56897,55.1493,901.263001
NLA12_AZ-104,SDMNTRY,0,0,214376,298654,248264,213410,0,0,0,0,2.61362,0,0,7.522379,14,5.42559,18171.90039,43459.80078,0,0,2.30095,30.722799,SDMNTRY,49180.39844,1341.550049,6348.290039,17131.09961,1713.75,784.120972,1451.689941,116.553001,58.447701,60.997101,89.048897,911,9650,27378,11487,1858.699951,209,1685,947.224976,-14.5,967.416992
NLA12_AZ-105,VOLCANIC,0,0,206655,259661,217941,206322,0,0,0,0,1.31762,0,0,1.354159,2,0.486425,20544.5,45730,0,0,0.710184,16.9983,VOLCANIC,56700.30078,976.05603,9064.459961,27116.80078,1659.930054,825.828003,1633.339966,18.322001,57.154099,68.076599,69.527496,906,4011,49008,25573,1741.670044,84,1723,903.671997,23.1136,911.705994
NLA12_AZ-106,QTRNRY,0,0,6949,7265,7085.779785,6929,0,0,0,0,0.968971,0,0,10,10,1.09985,3615.050049,8869.589844,3920000,100,2.05561,20,QTRNRY,9116.879883,25.2234,1388.030029,7810.990234,3187.889893,2321.280029,3129.110107,1513.5,45.062599,41.9688,57.814701,25,4011,9149,7869,3188.600098,1513,3129,2320.870117,1346.829956,2306.080078
NLA12_AZ-107,VOLCANIC,16,0.008253758,182297,347896,235572,181909,0,0,0,0,5.63002,0,0,6.991159,1,10.140299,9727.230469,37759.69922,0,0,1.01671,37.390499,SDMNTRY,44490.89844,1393.25,9247.950195,17815.09961,1685.73999,817.208008,1686.48999,-52.0756,53.0298,62.312698,83.234901,858,4011,27773,13899,2039.300049,258,2055,1156.800049,150.167007,1144.040039
NLA12_AZ-112,SDMNTRY,0,0,97811,98010,97819.29688,97622,0,0,0,0,1.476289,0,0,4,4,3.741889,8539,18574,0,0,6.32107,21,SDMNTRY,25926.40039,604.400024,4515.399902,14610,2684.899902,1789.5,2683.600098,896,52.691101,49.447701,69.025803,605,4011,25934,14610,2684.899902,896,2683,1789.369995,810,1816.630005
NLA12_AZ-117,VOLCANIC,0,0,269636,276937,272860,269554,0,0,0,0,1.101889,0,0,8,8,1.84195,30997.40039,73855.70313,0,0,1.61823,42,VOLCANIC,87842,2078.469971,14009.29981,29361.80078,1381.300049,567.408997,1363.949951,-229.098999,87.858299,129.393997,78.427498,2059,4011,87783,30280,1390.699951,-211,1384,586.14502,-184.5,659.458008
NLA12_AZ-118,QTRNRY,0,0,36553,36805,36637.5,36544,0,0,0,0,1137.770019,0,0,4,4,2517.179931,7077,12247,310000,100,15.5385,20,QTRNRY,23042.40039,91.666702,3027.530029,10922,3145.600098,2243.479981,3021.530029,1465.5,56.972302,63.413101,60.777401,92,4011,23006,10922,3145.600098,1466,3022,2243.899902,1296.170044,2289.919922
NLA12_AZ-123,VOLCANIC,0,0,5770,33136,16343.09961,5733,0,0,0,0,0.290006,0,0,1.7776,0,0.410524,4023.669922,9441.330078,0,0,0.069156,17.449199,VOLCANIC,9892.030273,33.003601,1595.640015,6178.649902,3249.580078,2332.590088,3104.419922,1560.77002,45.550201,43.865398,60.2607,26,4011,9194,5800,3238.5,1563,3132,2347.790039,1426.5,2380.379883
NLA12_AZ-127,VOLCANIC,2,0.046424882,207207,256914,215891,206698,0,0,0,0,17.8019,0,0,0.987451,0,34.2257,19227.40039,40386.10156,0,0,1.68787,15.297499,VOLCANIC,59149.5,970.708008,8215.780273,21775.19922,1739.959961,877.971985,1704.430054,51.505501,64.830498,70.378197,78.939796,945,4011,54477,18643,1739,97,1738,917.288025,115,941.083008
NLA12_AZ-129,VOLCANIC,0,0,275605,280286,276864,275603,0,0,0,0,3.035559,0,0,1.191179,1,1.96937,26077.69922,58978.69922,0,0,1.04534,27.3309,VOLCANIC,70925.70313,1886.660034,11372.79981,25672.19922,1357.27002,560.036011,1349.530029,-229.460999,55.596401,80.893898,73.758904,1892,4011,70634,25458,1375.900024,-226,1354,563.820007,-87.581101,687.429993
