SITE_ID,VISIT_NO,LAKE_ORIGIN12,BENT_COND,CHLA_COND,NTL_COND,PTL_COND,DRAWDOWN_COND,LITCVR_COND,LITRIPCVR_COND,RDIS_COND,RVEG_COND,SEDHG_MTH_TOP_COND,SEDHG_TOT_BTM_COND,SEDHG_TOT_TOP_COND,CHLL_REC,CYNL_REC,MICL_REC,WSA9_LO
NLA12_MS-116,1,MAN_MADE,Good,Poor,Good,Good,Small,Poor,Poor,Fair,Poor,Low,Not Assessed,Medium,Low,Low,No Detect,CPL_MAN_MADE
NLA12_MS-119,1,MAN_MADE,Fair,Fair,Poor,Fair,Small,Poor,Poor,Fair,Poor,Medium,Not Assessed,Medium,Moderate,High,Low,CPL_MAN_MADE
NLA12_VT-101,1,NATURAL_ENH,Good,Good,Good,Fair,Small,Good,Fair,Fair,Poor,High,Medium,High,Low,Low,No Detect,NAP_NATURAL
NLA12_TX-141,1,RESERVOIR,Poor,Poor,Good,Good,Small,Good,Fair,Fair,Fair,High,Not Assessed,Medium,Low,Low,Low,CPL_MAN_MADE
NLA12_TX-169,1,MAN_MADE,Poor,Good,Poor,Poor,Large,Fair,Poor,Fair,Poor,Medium,Not Assessed,Medium,Low,Low,No Detect,CPL_MAN_MADE
NLA12_OR-133,1,MAN_MADE,Not Assessed,Good,Good,Good,Small,Good,Good,Poor,Poor,Medium,Not Assessed,Medium,Low,Low,No Detect,WMT_MAN_MADE
NLA12_OR-131,1,MAN_MADE,Not Assessed,Fair,Poor,Poor,Small,Good,Good,Fair,Good,High,Not Assessed,Medium,Low,Low,No Detect,WMT_MAN_MADE
NLA12_TX-158,1,MAN_MADE,Poor,Fair,Poor,Poor,Small,Fair,Fair,Good,Good,Low,Not Assessed,Low,Moderate,Moderate,Low,CPL_MAN_MADE
NLA12_ID-107,1,RESERVOIR,Poor,Good,Poor,Poor,Large,Fair,Fair,Poor,Fair,Low,Not Assessed,Low,Low,Low,No Detect,XER_MAN_MADE
NLA12_VT-102,1,NATURAL_ENH,Good,Good,Good,Good,Small,Fair,Poor,Fair,Poor,High,Medium,Medium,Low,Low,No Detect,NAP_NATURAL
NLA12_OR-101,1,NATURAL,Poor,Good,Poor,Poor,Medium,Good,Fair,Poor,Poor,Low,Low,Low,Low,Low,No Detect,XER_NATURAL
NLA12_TX-135,1,MAN_MADE,Not Assessed,Poor,Poor,Poor,Small,Poor,Poor,Poor,Poor,Low,Not Assessed,Low,Moderate,Moderate,No Detect,CPL_MAN_MADE
NLA12_WI-101,1,NATURAL_ENH,Not Assessed,Poor,Good,Poor,Medium,Poor,Poor,Poor,Poor,High,Medium,Medium,High,High,Low,TPL_NATURAL
NLA12_ID-151,1,RESERVOIR,Fair,Poor,Poor,Poor,Small,Good,Good,Good,Good,Medium,Not Assessed,Low,High,High,No Detect,XER_MAN_MADE
NLA12_TX-110,1,RESERVOIR,Not Assessed,Good,Good,Good,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Medium,Not Assessed,Low,Moderate,Moderate,Low,SPL_MAN_MADE
NLA12_WI-102,1,NATURAL_ENH,Good,Good,Good,Good,Small,Good,Fair,Poor,Fair,Medium,Low,Medium,Low,Low,Low,TPL_NATURAL
NLA12_ID-109,1,RESERVOIR,Poor,Good,Good,Good,Small,Good,Good,Good,Good,Medium,Not Assessed,Low,Moderate,Low,No Detect,XER_MAN_MADE
NLA12_ID-111,1,RESERVOIR,Poor,Good,Good,Fair,Medium,Good,Fair,Fair,Fair,Medium,Not Assessed,Low,Moderate,Moderate,Low,XER_MAN_MADE
NLA12_VT-106,1,NATURAL,Good,Fair,Good,Fair,Small,Good,Good,Good,Good,High,Medium,High,Low,Low,No Detect,NAP_NATURAL
NLA12_WI-152,1,NATURAL_ENH,Good,Poor,Good,Good,Medium,Good,Fair,Poor,Fair,Low,Medium,Medium,Moderate,Moderate,Low,TPL_NATURAL
NLA12_WI-113,1,NATURAL,Fair,Good,Poor,Good,Small,Good,Good,Fair,Fair,Medium,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-151,1,MAN_MADE,Poor,Good,Good,Good,Small,Poor,Poor,Poor,Fair,Low,Low,Medium,Low,Low,No Detect,UMW_MAN_MADE
NLA12_WI-117,1,NATURAL,Good,Good,Good,Good,Small,Good,Good,Fair,Good,Not Assessed,Not Assessed,Not Assessed,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-139,1,NATURAL,Poor,Fair,Poor,Fair,Small,Good,Poor,Fair,Poor,Medium,Medium,Medium,Low,Moderate,Low,UMW_NATURAL
NLA12_MI-124,1,NATURAL,Fair,Good,Good,Fair,Small,Good,Fair,Fair,Good,Medium,Low,High,Low,Low,Low,UMW_NATURAL
NLA12_OR-106,1,RESERVOIR,Poor,Good,Good,Poor,Small,Good,Good,Fair,Good,High,Not Assessed,Medium,Low,Low,No Detect,WMT_MAN_MADE
NLA12_WI-136,1,NATURAL,Good,Poor,Good,Good,Small,Good,Poor,Fair,Poor,Not Assessed,Not Assessed,Not Assessed,Low,Low,Low,TPL_NATURAL
NLA12_MI-109,1,NATURAL,Poor,Good,Good,Poor,Small,Good,Good,Fair,Good,Medium,Medium,Medium,Low,Moderate,No Detect,UMW_NATURAL
NLA12_TX-109,1,MAN_MADE,Fair,Good,Poor,Good,Small,Good,Good,Fair,Fair,Medium,Not Assessed,Medium,Moderate,Low,Low,CPL_MAN_MADE
NLA12_VT-109,1,NATURAL_ENH,Good,Fair,Fair,Fair,Small,Good,Good,Good,Fair,High,Medium,High,Low,Low,Low,NAP_NATURAL
NLA12_MI-136,1,NATURAL,Good,Good,Good,Good,Small,Good,Fair,Poor,Poor,High,Medium,High,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-105,1,NATURAL,Poor,Good,Good,Poor,Large,Good,Poor,Poor,Poor,High,High,Medium,Low,Moderate,Low,UMW_NATURAL
NLA12_MI-167,1,MAN_MADE,Fair,Good,Good,Good,Small,Good,Good,Fair,Good,Medium,Medium,Medium,Low,Low,No Detect,UMW_MAN_MADE
NLA12_WI-168,1,NATURAL,Good,Poor,Good,Good,Medium,Good,Fair,Poor,Fair,Not Assessed,Not Assessed,Not Assessed,Low,Low,Low,TPL_NATURAL
NLA12_TX-124,1,RESERVOIR,Not Assessed,Good,Good,Good,Large,Fair,Poor,Poor,Poor,Medium,Not Assessed,Low,Moderate,Moderate,Low,SPL_MAN_MADE
NLA12_TX-148,1,RESERVOIR,Not Assessed,Good,Good,Poor,Large,Fair,Fair,Fair,Good,Low,Not Assessed,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_WI-172,1,MAN_MADE,Poor,Poor,Poor,Poor,Small,Good,Good,Not Assessed,Poor,Not Assessed,Not Assessed,Not Assessed,High,Low,No Detect,TPL_MAN_MADE
NLA12_MI-108,1,NATURAL,Poor,Good,Good,Good,Small,Fair,Poor,Poor,Poor,High,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_ID-149,1,NATURAL,Good,Fair,Poor,Poor,Small,Good,Fair,Good,Good,Medium,Low,Low,Moderate,Low,Low,WMT_NATURAL
NLA12_ID-148,1,RESERVOIR,Poor,Good,Good,Fair,Small,Good,Good,Fair,Good,Medium,Low,Medium,Low,Low,No Detect,XER_MAN_MADE
NLA12_ID-103,1,NATURAL,Good,Poor,Good,Fair,Small,Good,Fair,Fair,Fair,Medium,Medium,Not Assessed,Low,Low,No Detect,WMT_NATURAL
NLA12_MI-104,1,NATURAL,Poor,Good,Good,Good,Small,Good,Fair,Poor,Good,High,Medium,Medium,Low,Moderate,No Detect,UMW_NATURAL
NLA12_VT-104,1,RESERVOIR,Good,Good,Good,Good,Small,Good,Good,Fair,Fair,High,Not Assessed,High,Low,Low,No Detect,NAP_MAN_MADE
NLA12_MI-120,1,NATURAL,Poor,Good,Fair,Poor,Small,Good,Good,Fair,Good,High,Medium,Medium,Moderate,Low,Low,UMW_NATURAL
NLA12_TX-103,1,RESERVOIR,Not Assessed,Good,Poor,Fair,Large,Good,Good,Fair,Good,Low,Not Assessed,Low,Moderate,High,No Detect,SPL_MAN_MADE
NLA12_MI-152,1,NATURAL,Fair,Good,Poor,Fair,Large,Good,Good,Fair,Good,High,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_MI-128,1,NATURAL,Poor,Good,Good,Good,Small,Fair,Poor,Poor,Poor,High,Medium,Medium,Low,Low,Low,UMW_NATURAL
NLA12_MI-168,1,NATURAL,Poor,Good,Poor,Good,Small,Good,Fair,Fair,Fair,High,Medium,Medium,Moderate,Low,Low,UMW_NATURAL
NLA12_MI-112,1,NATURAL_ENH,Poor,Good,Fair,Fair,Small,Good,Fair,Poor,Poor,Low,Low,Low,Moderate,High,Low,UMW_NATURAL
NLA12_MI-115,1,NATURAL,Poor,Good,Good,Good,Small,Poor,Poor,Poor,Poor,High,Low,High,Low,Low,No Detect,UMW_NATURAL
NLA12_WI-131,1,NATURAL,Good,Good,Good,Good,Small,Good,Good,Fair,Good,High,Medium,Medium,Moderate,Moderate,No Detect,UMW_NATURAL
