SITE_ID,VISIT_NO,DATE_COL_iso,dD,d18O,d_excess,E_I,RT,YEAR,SAMPLE_ID,SAMPLED_PHAB,L_LkAreakm2,DDHzSqrtA_sc,DDVrtDix_sc,L_DDHzSqrtA_sc,L_DDVrtDix_sc,URBAN,VertDD_use,HorizDD_use,L_VertDD_use,L_HorizDD_use,ELEV_use,DpthMx_use,LkArea_km2,LATdd_use,LONdd_use,L_DpthMx_use,L_ELEV_use,Lake_Origin_use,ECOWSA9_2015,RT_NLA12_2015,ECOP5_2015,ECOP6_2015,SID,RESAMPLED12,VertDD_CONDc315,HorizDD_CONDc315,Drawdown_CONDus15,RTS12_15
NLA12_AL-101,1,2012-05-24,-23.22,-4.21,10.47,NA,NA,2012,630470,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAP,T,APPS,SAP,NLA12_AL-101,NO,Not Assessed,Not Assessed,NOT ASSESSED,3
NLA12_AL-101,2,2012-07-21,-20.82,-3.66,8.5,NA,NA,2012,646610,YES,1.114568276,0,0,-2,-2,Yes,0,0,-1,0,57.03,13.7,13.0187197,33.268766,-87.421347,1.136720567,1.763652571,MAN-MADE,SAP,T,APPS,SAP,NLA06608-2187,YES,Small,Small,SMALL,3
NLA12_AL-102,1,2012-07-17,-18.94,-2.9,4.29,NA,NA,2012,646340,YES,-0.136972202,0,0,-2,-2,Yes,0,0,-1,0,247.04,17.3,0.729504203,34.22557,-86.83922,1.238046103,2.394521723,MAN-MADE,SAP,S,APPS,SAP,NLA06608-0459,YES,Small,Small,SMALL,2
NLA12_AL-103,1,2012-07-19,-17.08,-2.88,5.95,NA,NA,2012,646370,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAP,S,APPS,SAP,NLA12_AL-103,NO,Not Assessed,Not Assessed,NOT ASSESSED,2
NLA12_AL-104,1,2012-07-23,-19.86,-3.26,6.18,NA,NA,2012,646490,YES,1.674996489,0,0,-2,-2,Yes,0,0,-1,0,22.28,19.8,47.31474336,32.53195,-87.85232,1.29666519,1.366982976,MAN-MADE,CPL,S,CPL,CPL,NLA06608-0283,YES,Small,Small,SMALL,2
NLA12_AL-105,1,2012-05-23,4.15,1.26,-5.93,NA,NA,2012,626480,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CPL,S,CPL,CPL,NLA12_AL-105,NO,Not Assessed,Not Assessed,NOT ASSESSED,2
NLA12_AL-105,2,2012-07-24,5.52,1.95,-10.11,NA,NA,2012,646760,YES,-0.487296089,0,0,-2,-2,No,0,0,-1,0,50.83,5,0.325614631,31.6206,-88.34999,0.698970004,1.714581209,MAN-MADE,CPL,S,CPL,CPL,NLA12_AL-105,NO,Small,Small,SMALL,2
NLA12_AL-112,1,2012-07-22,-8.1,-0.46,-4.43,NA,NA,2012,646550,YES,-1.255281334,0,0,-2,-2,No,0,0,-1,0,78.07,3.8,0.055554426,33.36433,-88.16674,0.579783597,1.898011739,MAN-MADE,CPL,R,CPL,CPL,NLA12_AL-112,NO,Small,Small,SMALL,1
NLA12_AL-113,1,2012-08-08,-18.6,-3.67,10.75,NA,NA,2012,661880,YES,-0.531578545,0,0,-2,-2,No,0,0,-1,0,13.99,2.5,0.294050184,30.97354,-88.05455,0.397940009,1.175801633,MAN-MADE,CPL,S,CPL,CPL,NLA12_AL-113,NO,Small,Small,SMALL,2
NLA12_AL-114,1,2012-07-26,-12.16,-1.47,-0.38,NA,NA,2012,646700,YES,-0.742208311,0,0,-2,-2,No,0,0,-1,0,171.04,3.5,0.181047149,33.88175,-85.93198,0.544068044,2.235629434,MAN-MADE,SAP,S,APPS,SAP,NLA12_AL-114,NO,Small,Small,SMALL,2
NLA12_AL-R03,1,2012-07-18,-15.92,-2.7,5.68,NA,NA,2012,646460,YES,-0.649353951,6.75814e-4,0.016064257,-1.971599016,-1.58395465,No,0.133333333,0.32,-0.632023215,0.120573931,317.68,8.3,0.22420539,33.32033,-85.8094,0.919078092,2.503354809,MAN-MADE,SAP,R,APPS,SAP,NLA06608-1871,YES,Small,Med,MEDIUM,1
NLA12_AL-R05,1,2012-07-21,-11.51,-1.63,1.5,NA,NA,2012,646580,YES,-0.040792894,0,0,-2,-2,Yes,0,0,-1,0,71.04,7.5,0.910347296,33.29762,-87.67942,0.875061263,1.857573704,MAN-MADE,CPL,R,CPL,CPL,NLA06608-4509,YES,Small,Small,SMALL,1
NLA12_AR-101,1,2012-07-23,-3.65,0.16,-4.89,NA,NA,2012,643700,YES,0.024424089,0,0,-2,-2,No,0,0,-1,0,74.14,1.9,1.057849996,34.53654,-92.27022,0.278753601,1.875871191,MAN-MADE,CPL,S,CPL,CPL,NLA06608-1808,YES,Small,Small,SMALL,2
NLA12_AR-101,2,2012-08-17,1.14,1.16,-8.18,NA,NA,2012,643550,YES,0.024424089,0,0,-2,-2,No,0,0,-1,0,74.14,2.1,1.057849996,34.53511,-92.26932,0.322219295,1.875871191,MAN-MADE,CPL,S,CPL,CPL,NLA06608-1808,YES,Small,Small,SMALL,2
NLA12_AR-102,1,2012-08-21,17.97,4.42,-17.42,NA,NA,2012,643490,YES,-0.018215237,0.001304857,0.230769231,-1.946734923,-0.618399015,No,0.3,1.277777778,-0.397940009,0.357511352,69.01,1.3,0.95892527,35.58361,-90.96293,0.113943352,1.845160078,MAN-MADE,CPL,S,CPL,CPL,NLA06608-0208,YES,Med,Med,MEDIUM,2
NLA12_AR-103,1,2012-08-24,-14.7,-2.48,5.13,NA,NA,2012,664220,YES,1.385413424,0,0,-2,-2,Yes,0,0,-1,0,118.4,13.4,24.28921192,34.4348,-93.09425,1.127104798,2.077004327,MAN-MADE,SAP,T,APPS,SAP,NLA06608-1204,YES,Small,Small,SMALL,3
NLA12_AR-104,1,2012-08-09,-18.4,-2.7,3.17,NA,NA,2012,643610,YES,-0.349866191,0,0,-2,-2,No,0,0,-1,0,203.73,9.1,0.44682124,35.56169,-93.63668,0.959041392,2.311181486,MAN-MADE,SAP,R,APPS,SAP,NLA06608-1484,YES,Small,Small,SMALL,1
NLA12_AR-105,1,2012-07-24,1.46,1.81,-12.99,NA,NA,2012,643670,YES,-1.136974553,0,0,-2,-2,No,0,0,-1,0,55.37,2.3,0.072950025,33.0754,-92.66022,0.361727836,1.751048035,MAN-MADE,CPL,R,CPL,CPL,NLA12_AR-105,NO,Small,Small,SMALL,1
NLA12_AR-105,2,2012-08-16,5.53,2.63,-15.47,NA,NA,2012,643430,YES,-1.136974553,0,0,-2,-2,No,0,0,-1,0,55.37,2.6,0.072950025,33.07517,-92.66055,0.414973348,1.751048035,MAN-MADE,CPL,R,CPL,CPL,NLA12_AR-105,NO,Small,Small,SMALL,1
NLA12_AR-106,1,2012-08-20,-11.88,-1.45,-0.25,NA,NA,2012,643520,YES,0.347511023,0,0,-2,-2,No,0,0,-1,0,82.69,5.4,2.225927542,36.07315,-91.14627,0.73239376,1.922673568,MAN-MADE,SAP,S,APPS,SAP,NLA12_AR-106,NO,Small,Small,SMALL,2
NLA12_AR-109,1,2012-08-08,7.15,2.92,-16.19,NA,NA,2012,643640,YES,-1.382032987,0,0,-2,-2,No,0,0,-1,0,107.3,7.8,0.041492253,33.81787,-94.06009,0.892094603,2.034628457,MAN-MADE,CPL,S,CPL,CPL,NLA12_AR-109,NO,Small,Small,SMALL,2
