SITE_ID,VISIT_NO,UID,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,COMID2007,COMID2012,COMIDS2007,ELEVATION,EPA_REG,EVALSTAT,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,EVAL_NAME,NARS_NAME,PERIM_KM,RCHCODE,EVALSTAT,STATUS,RT_NLA12,SITEID_07,SITETYPE,SIZE_CLASS,STATE,STRATUM,WGT_ALL,WGT_CAT,XCOORD,YCOORD,REF_NLA12_NUTR,RT_NLA12_BENT,RT_NLA12_ZOOP,TNT
NLA12_AL-101,1,6300,5/24/2012,EHIGH,SAP,1301.87197,No,NLA07RVT,NLA07_RVT12,Include,20.28888476,21656744,166759236,21656744,57.03,Region_4,TargetSampleable,3,3160112,MAN_MADE,RESERVOIR,33.29204144,-87.3913824,Holt Lock and Dam,Holt Lock and Dam,104.2086662,3.16E+12,TargetSampleable,Target_Sampled,T,NLA06608-2187,PROB,>50,AL,AL_NLA07RVT,20.28888476,AL_>4,795432.2051,-434840.7897,NA,T,T,Target
NLA12_AL-101,2,7374,7/21/2012,EHIGH,SAP,1301.87197,No,NLA07RVT,NLA07_RVT12,Include,20.28888476,21656744,166759236,21656744,57.03,Region_4,TargetSampleable,3,3160112,MAN_MADE,RESERVOIR,33.29204144,-87.3913824,Holt Lock and Dam,Holt Lock and Dam,104.2086662,3.16E+12,TargetSampleable,Target_Sampled,T,NLA06608-2187,PROB,>50,AL,AL_NLA07RVT,20.28888476,AL_>4,795432.2051,-434840.7897,NA,T,T,Target
NLA12_AL-102,1,7228,7/17/2012,EHIGH,SAP,72.95042027,No,NLA07RVT,NLA07_RVT12,Include,46.61790206,18587568,18587568,18587568,247.04,Region_4,TargetSampleable,3,3160109,MAN_MADE,RESERVOIR,34.22781586,-86.84344912,George Lake,George Lake,11.87230532,3.16E+12,TargetSampleable,Target_Sampled,S,NLA06608-0459,PROB,>50,AL,AL_NLA07RVT,46.61790206,AL_>4,835851.301,-326047.1005,NA,S,S,Target
NLA12_AL-103,1,7292,7/19/2012,EHIGH,SAP,10363.25848,No,NLA07RVT,NLA07_RVT12,Include,51.33189892,22273142,166759059,22273142,141.76,Region_4,TargetSampleable,3,3150106,MAN_MADE,RESERVOIR,33.7624784,-86.05315833,Logan Martin Lake,NA,688.4591342,3.15E+12,TargetSampleable,Target_Sampled,S,NLA06608-2955,PROB,>50,AL,AL_NLA07RVT,51.33189892,AL_>4,913172.7602,-370517.4939,NA,S,S,Target
NLA12_AL-104,1,7368,7/23/2012,PLNLOW,CPL,4731.474336,No,NLA07RVT,NLA07_RVT12,Include,101.4910459,21677972,21677972,21677972,22.28,Region_4,TargetSampleable,3,3160201,MAN_MADE,RESERVOIR,32.51586852,-87.86108477,Demopolis Lake,NA,698.1088203,3.16E+12,TargetSampleable,Target_Sampled,S,NLA06608-0283,PROB,>50,AL,AL_NLA07RVT,101.4910459,AL_>4,759549.5573,-524956.9932,NA,S,S,Target
NLA12_AL-105,1,6267,5/23/2012,PLNLOW,CPL,32.56146308,No,NLA12NEW,NLA12_BASE,Include,83.37696313,21639448,21639448,21639448,50.83,Region_4,TargetSampleable,3,3160203,MAN_MADE,RESERVOIR,31.62154629,-88.35373896,Emmit Wood Lake,Emmit Wood Lake,2.998953879,3.16E+12,TargetSampleable,Target_Sampled,S,NA,PROB,"(20,50]",AL,AL_NLA12NEW,83.37696313,AL_>4,721685.4392,-628108.2923,NA,S,S,Target
NLA12_AL-105,2,7394,7/24/2012,PLNLOW,CPL,32.56146308,No,NLA12NEW,NLA12_BASE,Include,83.37696313,21639448,21639448,21639448,50.83,Region_4,TargetSampleable,3,3160203,MAN_MADE,RESERVOIR,31.62154629,-88.35373896,Emmit Wood Lake,Emmit Wood Lake,2.998953879,3.16E+12,TargetSampleable,Target_Sampled,S,NA,PROB,"(20,50]",AL,AL_NLA12NEW,83.37696313,AL_>4,721685.4392,-628108.2923,NA,S,S,Target
NLA12_AL-106,NA,NA,NA,PLNLOW,CPL,2.259936169,No,NLA12NEW,NLA12_BASE,Exclude,2390.5,2212554,2212554,2212554,96.12,Region_4,AccessDenied,3,3140202,MAN_MADE,MAN_MADE,31.39484325,-86.00721724,Unnamed,NA,0.65741193,3.14E+12,AccessDenied,Target_Denied,NA,NA,PROB,"(1,4]",AL,AL_NLA12NEW,2390.5,"AL_(1,4]",945087.9098,-632659.0215,NA,NA,NA,Target_Presumed
NLA12_AL-107,NA,NA,NA,PLNLOW,CPL,13.35993011,No,NLA12NEW,NLA12_BASE,Include,150.3432224,21679912,21679912,21679912,77.74,Region_4,AccessDenied,3,3150201,MAN_MADE,MAN_MADE,32.18713577,-86.50841536,Harrell Lake,Harrell Lake,1.992118953,3.15E+12,AccessDenied,Target_Denied,NA,NA,PROB,"(10,20]",AL,AL_NLA12NEW,150.3432224,AL_>4,889049.3053,-549716.4083,NA,NA,NA,Target_Presumed
NLA12_AL-108,NA,NA,NA,EHIGH,SAP,2.666005278,No,NLA12NEW,NLA12_BASE,Exclude,2390.5,18563971,18563971,18563971,181.48,Region_4,Nontarget-TooSmall,3,3160111,NA,NA,33.86882068,-86.62367709,Unnamed,NA,0.885433413,3.16E+12,Nontarget-TooSmall,Lake_LT_1ha,NA,NA,PROB,"(1,4]",AL,AL_NLA12NEW,2390.5,"AL_(1,4]",859800.9788,-364018.9233,NA,NA,NA,NonTarget
NLA12_AL-109,NA,NA,NA,PLNLOW,CPL,10.65408828,No,NLA12NEW,NLA12_BASE,Include,150.3432224,445080,445080,445080,83.23,Region_4,Nontarget-NotLake,3,3140305,NA,NA,31.07411321,-87.40975524,NA,NA,1.53303592,3.14E+12,Nontarget-NotLake,Not_Lake,NA,NA,PROB,"(10,20]",AL,AL_NLA12NEW,150.3432224,AL_>4,816052.2952,-681169.8078,NA,NA,NA,NonTarget
NLA12_AL-110,NA,NA,NA,EHIGH,SAP,12.81513476,No,NLA12NEW,NLA12_BASE,Include,150.3432224,19644250,19644250,19644250,181.82,Region_4,Nontarget-NotLake,6,6030001,NA,NA,34.87348351,-85.77044459,NA,NA,2.377971274,6.03E+12,Nontarget-NotLake,Not_Lake,NA,NA,PROB,"(10,20]",AL,AL_NLA12NEW,150.3432224,AL_>4,925683.9696,-244270.5613,NA,NA,NA,NonTarget
NLA12_AL-111,NA,NA,NA,PLNLOW,CPL,4.177936778,No,NLA12NEW,NLA12_BASE,Include,546.5717263,3434760,3434760,3434760,122.24,Region_4,Nontarget-Ephemeral,3,3130003,NA,NA,32.34571752,-85.23421352,Lake Lenora,Lake Lenora,1.527309271,3.13E+12,Nontarget-Ephemeral,Non_Target,NA,NA,PROB,"(4,10]",AL,AL_NLA12NEW,546.5717263,AL_>4,1005921.257,-519435.2001,NA,NA,NA,NonTarget
NLA12_AL-112,1,7375,7/22/2012,PLNLOW,CPL,5.55544262,No,NLA12NEW,NLA12_BASE,Include,546.5717263,18628452,18628452,18628452,78.07,Region_4,TargetSampleable,3,3160106,MAN_MADE,RESERVOIR,33.36486204,-88.16688028,Shepherds Lake,Shepherds Lake,1.293121817,3.16E+12,TargetSampleable,Target_Sampled,R,NA,PROB,"(4,10]",AL,AL_NLA12NEW,546.5717263,AL_>4,723277.5477,-432936.8207,R,R,R,Target
NLA12_AL-113,1,7769,8/8/2012,PLNLOW,CPL,29.40501835,No,NLA12NEW,NLA12_BASE,Include,83.37696313,18522817,18522817,18522817,13.99,Region_4,TargetSampleable,3,3160204,MAN_MADE,RESERVOIR,30.97184148,-88.0527428,Salco Lake,NA,3.81355553,3.16E+12,TargetSampleable,Target_Sampled,S,NA,PROB,"(20,50]",AL,AL_NLA12NEW,83.37696313,AL_>4,756068.3337,-697819.2195,NA,S,S,Target
NLA12_AL-114,1,7459,7/26/2012,EHIGH,SAP,18.10471487,No,NLA12NEW,NLA12_BASE,Include,150.3432224,22200659,22200659,22200659,171.04,Region_4,TargetSampleable,3,3150106,MAN_MADE,RESERVOIR,33.88200988,-85.9316179,Lees Lake,NA,3.585987135,3.15E+12,TargetSampleable,Target_Sampled,S,NA,PROB,"(10,20]",AL,AL_NLA12NEW,150.3432224,AL_>4,922876.9685,-356061.8371,NA,S,S,Target
NLA12_AL-R03,1,7291,7/18/2012,EHIGH,SAP,22.42053898,No,NA,NA,NA,NA,22033983,22033983,22033983,317.68,Region_4,TargetSampleable,3,3150109,MAN_MADE,MAN_MADE,33.32192301,-85.81071637,NO NAME,NA,4.766510605,3.15E+12,TargetSampleable,Target_Sampled,R,NLA06608-1871,HAND,NA,AL,NA,NA,NA,940611.5175,-417082.6656,R,R,R,Target
NLA12_AL-R05,1,7376,7/21/2012,PLNLOW,CPL,91.03472955,No,NA,NA,NA,NA,18203922,18203922,18203922,71.04,Region_4,TargetSampleable,3,3160113,MAN_MADE,MAN_MADE,33.28949519,-87.68596227,LAKE LURLEEN,Lake Lurleen,11.21361901,3.16E+12,TargetSampleable,Target_Sampled,R,NLA06608-4509,HAND,NA,AL,AL_NLA12NEW,NA,NA,768308.7168,-437547.5639,R,B,R,Target
NLA12_AR-101,1,7392,7/23/2012,PLNLOW,CPL,105.7849996,No,NLA07RVT,NLA07_RVT12,Include,140.6756261,22845861,22845861,22845861,74.14,Region_6,TargetSampleable,11,11110207,MAN_MADE,RESERVOIR,34.53435079,-92.26882632,Ferguson Lake,Ferguson Lake,9.08146137,1.11E+13,TargetSampleable,Target_Sampled,S,NLA06608-1808,PROB,>50,AR,AR_NLA07RVT,140.6756261,AR_>4,339693.0075,-325402.8385,NA,S,S,Target
NLA12_AR-101,2,8021,8/17/2012,PLNLOW,CPL,105.7849996,No,NLA07RVT,NLA07_RVT12,Include,140.6756261,22845861,22845861,22845861,74.14,Region_6,TargetSampleable,11,11110207,MAN_MADE,RESERVOIR,34.53435079,-92.26882632,Ferguson Lake,Ferguson Lake,9.08146137,1.11E+13,TargetSampleable,Target_Sampled,S,NLA06608-1808,PROB,>50,AR,AR_NLA07RVT,140.6756261,AR_>4,339693.0075,-325402.8385,NA,S,S,Target
NLA12_AR-102,1,8144,8/21/2012,PLNLOW,CPL,95.89252695,No,NLA07RVT,NLA07_RVT12,Include,170.3424876,9272602,9272602,9272602,69.01,Region_6,TargetSampleable,8,8020302,MAN_MADE,RESERVOIR,35.58318947,-90.96294056,Lake Hogue,Lake Hogue,3.883137271,8.02E+12,TargetSampleable,Target_Sampled,S,NLA06608-0208,PROB,>50,AR,AR_NLA07RVT,170.3424876,AR_>4,452269.0854,-202728.2053,NA,S,S,Target
NLA12_AR-103,1,8217,8/24/2012,EHIGH,SAP,2428.921192,No,NLA07RVT,NLA07_RVT12,Include,20.64042006,15237662,167794922,15237662 ; 21996100,118.4,Region_6,TargetSampleable,8,8040101,MAN_MADE,RESERVOIR,34.41755034,-93.07012469,Lake Hamilton,NA,180.208525,8.04E+12,TargetSampleable,Target_Sampled,T,NLA06608-1204,PROB,>50,AR,AR_NLA07RVT,20.64042006,AR_>4,267170.1912,-341014.3283,NA,T,T,Target
NLA12_AR-104,1,7812,8/9/2012,EHIGH,SAP,44.682124,No,NLA07RVT,NLA07_RVT12,Include,174.9925497,7764393,7764393,7764393,203.73,Region_6,TargetSampleable,11,11110202,MAN_MADE,RESERVOIR,35.5624593,-93.63756822,Horsehead Lake,NA,4.738604684,1.11E+13,TargetSampleable,Target_Sampled,R,NLA06608-1484,PROB,"(20,50]",AR,AR_NLA07RVT,174.9925497,AR_>4,212253.9491,-214399.1481,R,B,R,Target
NLA12_AR-105,1,7409,7/24/2012,PLNLOW,CPL,7.29500254,No,NLA12NEW,NLA12_BASE,Include,549.2845394,15219066,15219066,15219066,55.37,Region_6,TargetSampleable,8,8040206,MAN_MADE,RESERVOIR,33.07556301,-92.66059625,Wingfield Lake Number 3,NA,1.551513244,8.04E+12,TargetSampleable,Target_Sampled,R,NA,PROB,"(4,10]",AR,AR_NLA12NEW,549.2845394,AR_>4,309767.1491,-489615.7372,R,R,R,Target
NLA12_AR-105,2,8022,8/16/2012,PLNLOW,CPL,7.29500254,No,NLA12NEW,NLA12_BASE,Include,549.2845394,15219066,15219066,15219066,55.37,Region_6,TargetSampleable,8,8040206,MAN_MADE,RESERVOIR,33.07556301,-92.66059625,Wingfield Lake Number 3,NA,1.551513244,8.04E+12,TargetSampleable,Target_Sampled,R,NA,PROB,"(4,10]",AR,AR_NLA12NEW,549.2845394,AR_>4,309767.1491,-489615.7372,NA,R,R,Target
NLA12_AR-106,1,8121,8/20/2012,EHIGH,SAP,222.5927542,No,NLA12NEW,NLA12_BASE,Include,154.1650994,7548451,7548451,7548451,82.69,Region_6,TargetSampleable,11,11010009,MAN_MADE,RESERVOIR,36.06720319,-91.14242843,Lake Charles,Lake Charles,17.23630001,1.10E+13,TargetSampleable,Target_Sampled,S,NA,PROB,>50,AR,AR_NLA12NEW,154.1650994,AR_>4,433398.5805,-149444.0312,NA,S,S,Target
NLA12_AR-107,1,1000181,8/28/2012,PLNLOW,CPL,62.35713698,No,NLA12NEW,NLA12_BASE,Include,154.1650994,14861265,14861265,14861265,42.28,Region_6,Nontarget-TooShallow,8,8020303,MAN_MADE,MAN_MADE,34.15969851,-91.06794934,NA,NA,8.390642771,8.02E+12,Nontarget-TooShallow,Lake_Shallow,NA,NA,PROB,>50,AR,AR_NLA12NEW,154.1650994,AR_>4,451109.8208,-362251.8565,NA,NA,NA,NonTarget
