SITE_ID,VISIT_NO,SAM_CODE,ALUMINUM_RESULT_mgL,AMMONIA_N_RESULT_mgL,ANC_RESULT_ueqL,CALCIUM_RESULT_mgL,CHLORIDE_RESULT_mgL,COLOR_RESULT_PtCo,COND_RESULT_uscm,DOC_RESULT_mgL,MAGNESIUM_RESULT_mgL,NITRATE_N_RESULT_mgL,NITRATE_NITRITE_N_RESULT_mgL,NITRITE_N_RESULT_mgL,NTL_RESULT_mgL,PH_RESULT,POTASSIUM_RESULT_mgL,PTL_RESULT_ugL,SILICA_RESULT_mgL,SODIUM_RESULT_mgL,SULFATE_RESULT_mgL,TOC_RESULT_mgL,TSS_RESULT_mgL,TURB_RESULT_NTU,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID
NLA12_MS-116,1,REGULAR,0.007,0.0021,180.7,2.421,1.239,2,30.4,4.78,0.891,0,0,0,0.396,6.53,0.93,22,3.621,1.636,3.371,NA,NA,1.57,110731.1,120613.1,120607.1,120731.1,120608.1,120607.1,120607.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120607.1,120731.1,120618.1,120607.1,120731.1,120608.1,NA,NA,120607.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634490
NLA12_MS-R03,1,REGULAR,0.02,0.0087,240.8,2.441,1.261,26,31.5,7.47,1.051,0,0,0,1.226,7.71,1.622,66,2.162,1.537,0.959,NA,NA,21.78,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,NA,NA,120608.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630230
NLA12_MS-119,1,REGULAR,0.012,0.0099,209.8,1.413,0.965,19,27.9,6.95,1.453,0,0,0,0.99,7.55,2.447,45,1.13,1.049,1.11,NA,NA,8.12,110731.1,120613.1,120609.1,120731.1,120611.1,120609.1,120609.1,120619.1,130204.1,120611.1,120611.1,120611.1,120618.1,120609.1,120731.1,120618.1,120612.1,120731.1,120611.1,NA,NA,120609.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621560
NLA12_VT-101,1,REGULAR,0.031,0.011,273.5,4.865,4.785,32,52.3,5.61,0.728,0.002,0.002,0,0.261,7.53,0.879,18,4.853,3.855,2.774,NA,NA,0.37,121023.1,120620.1,120620.1,121023.1,120622.1,120620.1,120620.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120620.1,121023.1,120627.1,120621.1,121023.1,120622.1,NA,NA,120620.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639470
NLA12_TX-141,1,REGULAR,0,0.004,342.9,8.632,8.969,26,141.2,6.5,4.877,0.002,0.002,0,0.445,7.67,3.457,30,8.921,8.341,30.626,NA,NA,2.08,121023.1,120620.1,120620.1,121023.1,120622.1,120620.1,120620.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120620.1,121023.1,120627.1,120621.1,121023.1,120622.1,NA,NA,120620.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643070
NLA12_TX-169,1,REGULAR,2.48,3.18,-589.6,29.87,9.783,5,573,0.23,9.582,0.078,0.078,0,4.065,3.34,6.079,54,41.445,9.374,163.271,NA,NA,0.42,121023.1,130131.1,120621.1,121023.1,120622.1,120621.1,120621.1,120703.1,121023.1,120622.1,120622.1,120622.1,130123.1,120621.1,121023.1,120628.1,120621.1,121023.1,120622.1,NA,NA,120621.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642770
NLA12_OR-133,1,REGULAR,0,0.0025,279.9,2.798,0.402,15,28.2,3.22,1.612,0.002,0.002,0,0.16,6.71,0.051,20,3.037,0.22,0.048,NA,NA,1.95,121023.1,120627.1,120621.1,121023.1,120622.1,120621.1,120621.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120621.1,121023.1,120627.1,120621.1,121023.1,120622.1,NA,NA,120621.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634100
NLA12_OR-131,1,REGULAR,0,0.0098,2237,20.71,2.416,23,219,7.12,8.657,0.002,0.002,0,0.625,7.84,1.683,197,4.895,14.09,1.361,NA,NA,2.01,121023.1,120627.1,120622.3,121023.1,120622.1,120622.1,120622.3,120703.1,121023.1,120622.1,120622.1,120622.1,120628.1,120622.3,121023.1,120628.1,120626.1,121023.1,120622.1,NA,NA,120622.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632630
NLA12_TX-158,1,REGULAR,0,0.012,2529,83.6,163.281,22,1300,4.87,27.12,0,0,0,0.806,8.2,6.547,88,17.008,158.1,272.672,NA,NA,9.16,121025.1,120702.1,120626.1,121025.1,120626.1,120626.1,120626.1,120710.1,121025.1,120626.1,120626.1,120626.1,120705.1,120626.1,121025.1,120705.1,120626.1,121025.1,120626.1,NA,NA,120626.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642680
NLA12_ID-107,1,REGULAR,0.204,0.065,1078,12.23,2.031,32,122,7.99,2.822,0.107,0.114,0.007,0.895,7.95,3.774,383,24.092,7.532,3.313,NA,NA,28.52,121025.1,120705.1,120627.1,121025.1,120628.1,120627.1,120627.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120627.1,121025.1,120705.1,120628.2,121025.1,120628.1,NA,NA,120627.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640310
