SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLL_BATCH_ID,CHLL_QA_FLAG
NLA12_CA-143,1,4,L-203-12,L
NLA12_AZ-101,1,3.31,120523.1,NA
NLA12_ND-115,1,5.16,120523.1,NA
NLA12_AZ-118,1,1.99,120523.1,NA
NLA12_UT-103,1,6.29,120523.1,NA
NLA12_AZ-130,1,5.81,120523.1,NA
NLA12_FL-101,1,9.04,120523.1,NA
NLA12_UT-101,1,1.73,120523.1,NA
NLA12_ND-112,1,5.32,120523.1,NA
NLA12_FL-123,1,4.28,120523.1,NA
NLA12_FL-102,1,NA,NA,NA
NLA12_GA-112,1,3.63,120523.1,NA
NLA12_UT-108,1,5.37,120523.1,NA
NLA12_FL-107,1,2.7,120523.1,NA
NLA12_FL-110,1,12.99,120523.1,NA
NLA12_FL-106,1,2.8,120523.1,NA
NLA12_FL-104,1,20,120523.1,NA
NLA12_CA-168,1,223,L-212-12_12_1503,NA
NLA12_OK-122,1,6.21,CHLL-20120625,NA
NLA12_WI-R11,1,13.56,120605.1,NA
NLA12_KS-114,1,11.39,120605.1,NA
NLA12_OK-R01,1,10.14,120605.1,NA
NLA12_CA-106,1,153,L-216-12_12_1501,NA
NLA12_FL-114,1,4.2,120605.1,NA
NLA12_PA-102,1,28.84,NOT PROVIDED,NA
NLA12_WI-R08,1,2.73,120605.1,NA
NLA12_AL-105,1,136.94,120605.1,NA
NLA12_OK-118,1,2.39,CHLL-20120625,NA
NLA12_CA-172,1,0.8,L-219-12_12_1502,ND;X2
NLA12_AZ-127,1,11.84,120605.1,NA
NLA12_KY-101,1,1.59,120605.1,NA
NLA12_KY-107,1,53.6,120605.1,NA
NLA12_NC-107,1,7.58,120605.1,NA
NLA12_GA-101,1,12.13,120605.1,NA
NLA12_AL-101,1,7.95,120605.1,NA
NLA12_OK-R09,1,14.72,120605.1,NA
NLA12_KY-103,1,1.94,120605.1,NA
NLA12_OK-293,1,152,CHLL-20120625,NA
NLA12_NM-132,1,32.88,120605.1,NA
NLA12_SC-104,1,9.25,120605.1,NA
NLA12_SC-105,1,22.29,120605.1,NA
NLA12_SC-112,1,2.39,120605.1,NA
NLA12_SC-108,1,12.4,120605.1,NA
NLA12_NM-152,1,7.68,120706.1,NA
NLA12_CO-110,1,20,120614.1,NA
NLA12_ND-101,1,8.56,120614.1,NA
NLA12_KY-104,1,138,120614.1,NA
NLA12_KS-130,1,11.62,120614.1,NA
NLA12_PA-108,1,2.1,NOT PROVIDED,NA
NLA12_NC-105,1,0.78,120614.1,NA
NLA12_NM-105,1,7.97,120614.1,NA
NLA12_SD-101,1,2.63,120614.1,NA
NLA12_NM-104,1,4.49,120614.1,NA
NLA12_KY-120,1,77.6,120614.1,NA
NLA12_KY-122,1,59,120614.1,NA
NLA12_TN-114,1,35.04,120614.1,NA
NLA12_TN-101,1,24.8,120614.1,NA
NLA12_TN-113,1,34.08,120614.1,NA
NLA12_TN-108,1,40.48,120614.1,NA
NLA12_KY-102,1,9.23,120614.1,NA
NLA12_SC-106,1,6.08,120614.1,NA
NLA12_NC-109,1,1.45,120619.1,NA
NLA12_NC-101,1,9.36,120614.1,NA
NLA12_NC-108,1,1.87,120614.1,NA
NLA12_SD-138,1,1.87,120614.1,NA
NLA12_NM-117,1,1.44,120619.1,NA
NLA12_KS-108,1,13.12,120614.1,NA
NLA12_KY-114,1,9.31,120614.1,NA
NLA12_NM-133,1,21.32,120614.1,NA
NLA12_MS-107,1,17.76,120614.1,NA
NLA12_MS-106,1,16.32,120614.1,NA
NLA12_IA-107,1,187.6,120614.1,NA
NLA12_SD-130,1,22.24,120619.1,NA
NLA12_KS-109,1,9.79,120619.1,NA
NLA12_SD-182,1,1.71,120619.1,NA
NLA12_VA-109,1,6.99,120614.1,NA
NLA12_MT-113,1,0.54,120619.1,NA
NLA12_KY-117,1,20.9,120619.1,NA
NLA12_KS-103,1,8.69,120619.1,NA
NLA12_VA-116,1,6.32,120619.1,NA
NLA12_SD-166,1,6.02,120614.1,NA
NLA12_SC-103,1,1.08,120619.1,NA
NLA12_SD-104,1,4.5,120619.1,NA
NLA12_SD-122,1,31.52,120619.1,NA
NLA12_UT-112,1,15.98,120619.1,NA
NLA12_UT-128,1,13.72,120619.1,NA
NLA12_PA-107,1,9.35,NOT PROVIDED,NA
NLA12_KS-R02,1,9.04,120619.1,NA
NLA12_MO-109,1,22.9,120619.1,NA
NLA12_IA-132,1,101.2,120619.1,NA
NLA12_NC-116,1,22.4,120619.1,NA
NLA12_MN-145,1,2.51,120619.1,NA
NLA12_MN-118,1,124.8,120619.1,X4
NLA12_MN-111,1,2.53,120619.1,NA
NLA12_ND-104,1,59.6,120619.1,NA
NLA12_ND-118,1,2.09,120619.1,NA
NLA12_NM-150,1,17.68,120619.1,NA
NLA12_UT-104,1,2.11,120619.1,NA
NLA12_NV-106,1,6.93,120619.1,NA
NLA12_NV-101,1,3.55,120619.1,NA
NLA12_KS-125,1,NA,NA,M
NLA12_NM-134,1,0.51,120619.1,ND
NLA12_NM-138,1,2.81,120619.1,NA
NLA12_NC-103,1,3.14,120619.1,NA
NLA12_NM-129,1,1.74,120619.1,NA
NLA12_MO-107,1,59.12,120619.1,NA
NLA12_IL-R01,1,80.27,120619.1,NA
NLA12_KS-138,1,3.9,120619.1,NA
NLA12_OK-121,1,17.3,CHLL-20120803,NA
NLA12_MN-132,1,4.57,120628.1,NA
NLA12_UT-102,1,1.24,120619.1,NA
NLA12_IA-105,1,84.67,120619.1,NA
NLA12_NM-160,1,2.76,120628.1,NA
NLA12_IL-R04,1,7.9,120619.1,NA
NLA12_MS-101,1,NA,NA,M
NLA12_MS-102,1,16.16,120619.1,NA
NLA12_MS-104,1,35.04,120619.1,NA
NLA12_PA-101,1,6.94,NOT PROVIDED,NA
NLA12_ND-139,1,11.24,120619.1,NA
NLA12_IA-120,1,9.33,120628.1,NA
NLA12_MT-104,1,0.67,120628.1,NA
NLA12_SD-114,1,41.26,120628.1,NA
NLA12_SD-115,1,81.33,120628.1,NA
NLA12_ND-146,1,23.36,120628.1,NA
NLA12_MN-120,1,3.18,120619.1,NA
NLA12_MN-122,1,4.54,120628.1,NA
NLA12_NH-108,1,3.34,120628.1,NA
NLA12_OK-101,1,8.85,CHLL-20120803,NA
NLA12_OK-291,1,46.8,CHLL-20120803,NA
NLA12_UT-110,1,0.66,120628.1,NA
NLA12_VA-108,1,2.16,120628.1,NA
NLA12_WV-102,1,4.36,120628.1,NA
NLA12_OK-108,1,12.2,CHLL-20120803,NA
NLA12_OK-135,1,10.3,CHLL-20120803,NA
NLA12_CA-174,1,5.7,L-263-12_12_1927,ND;X2
NLA12_CA-116,1,1.4,L-262-12_12_1928,ND;X2
NLA12_KS-R08,1,14.77,120628.1,NA
NLA12_ND-110,1,13.52,120628.1,NA
NLA12_VA-125,1,9.36,120628.1,NA
NLA12_KS-105,1,5.88,120628.1,NA
NLA12_IL-R03,1,7.26,120628.1,NA
NLA12_LA-101,1,94.67,120628.1,NA
NLA12_MN-137,1,37.84,120628.1,NA
NLA12_UT-109,1,37.6,120628.1,NA
NLA12_NY-0104,1,6.78,120628.1,NA
NLA12_ND-162,1,20.4,120628.1,NA
NLA12_KS-R07,1,17.76,120629.1,NA
NLA12_GA-107,1,102.4,120628.1,NA
NLA12_TX-121,1,23.8,120706.1,NA
NLA12_VA-114,1,16.64,120629.1,NA
NLA12_WV-106,1,1.82,120628.1,NA
NLA12_ND-178,1,2.69,120629.1,NA
NLA12_CA-132,1,4,L-280-12_12_1929,L
NLA12_ND-163,1,28.64,120629.1,NA
NLA12_NH-104,1,2.32,120628.1,NA
NLA12_MN-107,1,63.36,120628.1,NA
NLA12_LA-134,1,24.03,120629.1,NA
NLA12_IA-101,1,95.2,120629.1,NA
NLA12_KS-102,1,22.4,120628.1,NA
NLA12_TX-R02,1,3.76,120628.1,NA
NLA12_KS-124,1,22.44,120629.1,NA
NLA12_AZ-101,2,7.15,120629.1,NA
NLA12_KS-R11,1,3.66,120706.1,NA
NLA12_MO-119,1,3.63,120629.1,NA
NLA12_NV-127,1,23.92,120629.1,NA
NLA12_NV-167,1,2.55,120629.1,NA
NLA12_TX-144,1,5.46,120629.1,NA
NLA12_LA-102,1,7.63,120629.1,NA
NLA12_WI-R06,1,9.52,120629.1,NA
NLA12_SD-168,1,9.84,120629.1,NA
NLA12_ND-186,1,7.34,120629.1,NA
NLA12_CA-157,1,11,L-285-12_12_1955,NA
NLA12_LA-105,1,22.63,120629.1,NA
NLA12_LA-161,1,11.36,120629.1,NA
NLA12_ND-108,1,388.8,120629.1,NA
NLA12_OK-134,1,21.4,CHLL-20120803,NA
NLA12_TX-165,1,4.24,120629.1,NA
