SITE_ID,VISIT_NO,MICL_RESULT_ugL,MICL_BATCH_ID,MICL_QA_FLAG
NLA12_CA-143,1,0.89232,M1,NA
NLA12_AZ-101,1,0.07162,M1,J02
NLA12_ND-115,1,0.08633,M1,J02
NLA12_AZ-118,1,0.10531,M1,J03
NLA12_UT-103,1,0.06627,M1,J02
NLA12_AZ-130,1,0.10076,M1,J03
NLA12_FL-101,1,0.1565,M1,NA
NLA12_UT-101,1,0,M1,N
NLA12_ND-112,1,0.08055,M1,J02
NLA12_FL-123,1,0,M1,N
NLA12_FL-102,1,0.75745,M1,NA
NLA12_GA-112,1,0.09806,M2,J03
NLA12_UT-108,1,0,M1,N
NLA12_FL-107,1,0.07219,M1,J02
NLA12_FL-110,1,0,M3,N
NLA12_FL-106,1,0,M3,N
NLA12_FL-104,1,0.37203,M3,NA
NLA12_CA-168,1,0.09543,M2,J03
NLA12_OK-122,1,0.10608,M2,J03
NLA12_WI-R11,1,0.06556,M2,J02
NLA12_KS-114,1,0.07105,M2,J02
NLA12_OK-R01,1,0.16091,M2,NA
NLA12_CA-106,1,2.2323,M2,NA
NLA12_FL-114,1,0.11226,M3,J03
NLA12_PA-102,1,0.53,2012MCN_NLA_01RP,NA
NLA12_WI-R08,1,0.12114,M2,J03
NLA12_AL-105,1,0.27527,M3,NA
NLA12_OK-118,1,0.069,M2,J02
NLA12_CA-172,1,0.0638,M2,J02
NLA12_AZ-127,1,0.12487,M3,J03
NLA12_KY-101,1,0.06887,M3,J02
NLA12_KY-107,1,0.10371,M3,J03
NLA12_NC-107,1,0.15264,M3,NA
NLA12_GA-101,1,0.61887,M3,NA
NLA12_AL-101,1,0.08554,M3,J02
NLA12_OK-R09,1,0.09218,M2,J02
NLA12_KY-103,1,0.10865,M3,J03
NLA12_OK-293,1,0.71363,M3,NA
NLA12_NM-132,1,2.1761,M4,NA
NLA12_SC-104,1,0.10452,M3,J03
NLA12_SC-105,1,0.22783,M3,NA
NLA12_SC-112,1,0.11399,M3,J03
NLA12_SC-108,1,0,M3,N
NLA12_NM-152,1,0.01252,M4,J02
NLA12_CO-110,1,0.22579,M3,NA
NLA12_ND-101,1,0.34156,M4,NA
NLA12_KY-104,1,0.10561,M4,J03
NLA12_KS-130,1,0.17387,M4,NA
NLA12_PA-108,1,0,2012MCN_NLA_01RP,N
NLA12_NC-105,1,0.10554,M3,J03
NLA12_NM-105,1,0.09797,M4,J03
NLA12_SD-101,1,0.11936,M4,J03
NLA12_NM-104,1,0.09533,M4,J03
NLA12_KY-120,1,0.13777,M4,J03
NLA12_KY-122,1,0.15076,M4,NA
NLA12_TN-114,1,0.10388,M4,J03
NLA12_TN-101,1,0.17441,M4,NA
NLA12_TN-113,1,0.07764,M4,J02
NLA12_TN-108,1,0.08325,M4,J02
NLA12_KY-102,1,0.12747,M4,J03
NLA12_SC-106,1,0.13238,M4,J03
NLA12_NC-109,1,0.08599,M4,J02
NLA12_NC-101,1,0.14231,M4,J03
NLA12_NC-108,1,0.09127,M4,J02
NLA12_SD-138,1,0.11932,M4,J03
NLA12_NM-117,1,0,M5,N
NLA12_KS-108,1,0.33546,M4,NA
NLA12_KY-114,1,0.13856,M4,J03
NLA12_NM-133,1,0,M5,N
NLA12_MS-107,1,0.11936,M4,J03
NLA12_MS-106,1,0.12532,M4,J03
NLA12_IA-107,1,1.08681,M4,NA
NLA12_SD-130,1,0.50529,M4,NA
NLA12_KS-109,1,0.1439,M4,J03
NLA12_SD-182,1,0.17728,M4,NA
NLA12_VA-109,1,0.06824,M4,J02
NLA12_MT-113,1,0.068,M5,J02
NLA12_KY-117,1,0.12207,M4,J03
NLA12_KS-103,1,0.10742,M5,J03
NLA12_VA-116,1,0.12676,M4,J03
NLA12_SD-166,1,0.10698,M4,J03
NLA12_SC-103,1,0.17441,M4,NA
NLA12_SD-104,1,0.15559,M5,NA
NLA12_SD-122,1,4.91972,M4,NA
NLA12_UT-112,1,0.09915,M4,J03
NLA12_UT-128,1,0.20561,M4,NA
NLA12_PA-107,1,0,2012MCN_NLA_01RP,N
NLA12_KS-R02,1,0.07264,M5,J02
NLA12_MO-109,1,0.1712,M5,NA
NLA12_IA-132,1,0.442,M4,NA
NLA12_NC-116,1,0,M4,N
NLA12_MN-145,1,0,B2I0380,N
NLA12_MN-118,1,0.77,B2I0380,NA
NLA12_MN-111,1,0,B2I0380,N
NLA12_ND-104,1,34.5845,M4,NA
NLA12_ND-118,1,0.61762,M4,NA
NLA12_NM-150,1,0.09953,M5,J03
NLA12_UT-104,1,0,M4,N
NLA12_NV-106,1,0.1455,M4,NA
NLA12_NV-101,1,0.11378,M4,J03
NLA12_KS-125,1,0.10132,M5,J03
NLA12_NM-134,1,0.10013,M5,J03
NLA12_NM-138,1,0.11503,M5,J03
NLA12_NC-103,1,0.12161,M4,J03
NLA12_NM-129,1,0.11406,M5,J03
NLA12_MO-107,1,0.08727,M5,J02
NLA12_IL-R01,1,0.88896,M5,NA
NLA12_KS-138,1,0.09004,M5,J02
NLA12_OK-121,1,0.17334,M5,NA
NLA12_MN-132,1,0,B2I0380,N
NLA12_UT-102,1,0.17724,M6,NA
NLA12_IA-105,1,0.94635,M5,NA
NLA12_NM-160,1,0.10929,M5,J03
NLA12_IL-R04,1,0,M5,N
NLA12_MS-101,1,0.08294,M5,J02
NLA12_MS-102,1,0.08455,M5,J02
NLA12_MS-104,1,1.05791,M5,NA
NLA12_PA-101,1,0,2012MCN_NLA_01RP,N
NLA12_ND-139,1,2.76515,M5,NA
NLA12_IA-120,1,0.10243,M5,J03
NLA12_MT-104,1,0.09644,M5,J03
NLA12_SD-114,1,3.04865,M5,NA
NLA12_SD-115,1,0.099030000000000007,M5,J03
NLA12_ND-146,1,0.09808,M5,J03
NLA12_MN-120,1,0,B2I0380,N
NLA12_MN-122,1,0,B2I0380,N
NLA12_NH-108,1,0.0891,M5,J02
NLA12_OK-101,1,0.09644,M5,J03
NLA12_OK-291,1,0.14412,M5,J03
NLA12_UT-110,1,0.13662,M6,J03
NLA12_VA-108,1,0.05859,M7,J02
NLA12_WV-102,1,0.10434,M6,J03
NLA12_OK-108,1,0.0892,M5,J02
NLA12_OK-135,1,0.11341,M5,J03
NLA12_CA-174,1,0.1334,M5,J03
NLA12_CA-116,1,0.08595,M5,J02
NLA12_KS-R08,1,0.10048,M5,J03
NLA12_ND-110,1,0.27142,M5,NA
NLA12_VA-125,1,0.20882,M7,NA
NLA12_KS-105,1,0.10243,M5,J03
NLA12_IL-R03,1,0,M5,N
NLA12_LA-101,1,0.2583,M6,NA
NLA12_MN-137,1,6.9,B2I0380,NA
NLA12_UT-109,1,0.21851,M6,NA
NLA12_NY-0104,1,0.08591,M7,J02
NLA12_ND-162,1,0.9253,M5,NA
NLA12_KS-R07,1,0.25476,M6,NA
NLA12_GA-107,1,4.45425,M7,NA
NLA12_TX-121,1,0.12448,M5,J03
NLA12_VA-114,1,0.05289,M7,J02
NLA12_WV-106,1,0.13553,M6,J03
NLA12_ND-178,1,0.09017,M5,J02
NLA12_CA-132,1,0,M5,N
NLA12_ND-163,1,2.52968,M5,NA
NLA12_NH-104,1,0.08804,M5,J02
NLA12_MN-107,1,0,B2H0006,N
NLA12_LA-134,1,0.34118,M6,NA
NLA12_IA-101,1,2.12044,M9,NA
NLA12_KS-102,1,0.13406,M5,J03
NLA12_TX-R02,1,0.11566,M5,J03
NLA12_KS-124,1,0.14591,M7,NA
NLA12_AZ-101,2,0.0828,M7,J02
NLA12_KS-R11,1,0.0432,M6,J02
NLA12_MO-119,1,0.08057,M7,J02
NLA12_NV-127,1,0.10856,M5,J03
NLA12_NV-167,1,0.06824,M5,J02
NLA12_TX-144,1,0,M5,N
NLA12_LA-102,1,0.18614,M6,NA
NLA12_WI-R06,1,0.05386,M8,J02
NLA12_SD-168,1,0.17944,M7,NA
NLA12_ND-186,1,0.04539,M7,J02
NLA12_CA-157,1,0,M7,N
NLA12_LA-105,1,0.20789,M8,NA
NLA12_LA-161,1,0.12925,M8,J03
NLA12_ND-108,1,0.4729,M7,NA
NLA12_OK-134,1,0.10256,M7,J03
NLA12_TX-165,1,0.09964,M8,J03
NLA12_ND-126,1,0.12735,M7,J03
NLA12_KS-101,1,0.01746,M7,J02
NLA12_CA-121,1,0.06235,M7,J02
NLA12_IA-109,1,0.08425,M9,J02
NLA12_LA-103,1,0.06104,M8,J02
NLA12_LA-152,1,0.10506,M9,J03
NLA12_MN-102,1,0.57,B2H0006,NA
NLA12_MT-109,1,0.07111,M7,J02
NLA12_UT-105,1,0.0779,M8,J02
NLA12_TX-117,1,0.1352,M8,J03
NLA12_OR-110,1,0.09321,M9,J02
NLA12_OK-120,1,0.13044,M7,J03
NLA12_OK-104,1,0.05623,M7,J02
NLA12_NH-101,1,0.07689,M7,J02
NLA12_MI-R08,1,0.10674,M8,J03
NLA12_SD-172,1,0.12127,M7,J03
NLA12_SD-124,1,0.03876,M7,J02
NLA12_SD-140,1,0.05927,M7,J02
NLA12_MN-108,1,0,B2H0006,N
NLA12_CT-101,1,0.0858,M7,J02
NLA12_NH-R04,1,0.09229,M6,J02
NLA12_WV-101,1,0.07147,M7,J02
NLA12_ND-155,1,0.81565,M7,NA
NLA12_NY-0101,1,0.0297,M7,J02
NLA12_OK-109,1,0.1062,M7,J03
NLA12_MT-118,1,0.04158,M7,J02
NLA12_ND-151,1,1.24517,M7,NA
NLA12_WV-115,1,0.12299,M7,J03
NLA12_NH-112,1,0.0802,M7,J02
NLA12_MN-163,1,1.9,B2H0006,NA
NLA12_ND-173,1,0.70905,M7,NA
NLA12_LA-104,1,0.16579,M9,NA
NLA12_NV-103,1,0.06828,M7,J02
NLA12_NV-102,1,0.07111,M7,J02
NLA12_MN-130,1,0,B2H0006,N
NLA12_KS-109,2,0.09857,M7,J03
