SITE_ID,VISIT_NO,DATE_COL,AMFCALL,AMFCEMERGENT,AMFCFLOATING,AMFCSUBMERGENT,BFFFLAT,BFFGRADUAL,BFFSTEEP,BFFVERTICAL,BFOANGLE,BFXHORIZDIST,BFXHORIZDIST_DD,BFXVERTHEIGHT,BFXVERTHEIGHT_DD,BSFCBEDROCK,BSFCBOULDERS,BSFCCOBBLE,BSFCGRAVEL,BSFCORGANIC,BSFCSAND,BSFCSILT,BSFCWOOD,BSISITEVARIETY,BSISTAVARIETY,BSVLDIA,BSXLDIA,FCFCAQUATIC,FCFCAQUATIC_DD,FCFCAQUATIC_LIT,FCFCAQUATIC_SIM,FCFCBOULDERS,FCFCBOULDERS_DD,FCFCBOULDERS_LIT,FCFCBOULDERS_SIM,FCFCBRUSH,FCFCBRUSH_DD,FCFCBRUSH_LIT,FCFCBRUSH_SIM,FCFCLEDGES,FCFCLEDGES_DD,FCFCLEDGES_LIT,FCFCLEDGES_SIM,FCFCLIVETREES,FCFCLIVETREES_DD,FCFCLIVETREES_LIT,FCFCLIVETREES_SIM,FCFCOVERHANG,FCFCOVERHANG_DD,FCFCOVERHANG_LIT,FCFCOVERHANG_SIM,FCFCSNAG,FCFCSNAGS_DD,FCFCSNAGS_LIT,FCFCSNAGS_SIM,FCFCSTRUCTURES,FCFCSTRUCTURES_DD,FCFCSTRUCTURES_LIT,FCFCSTRUCTURES_SIM,FCFPALL,FCFPALL_DD,FCFPALL_LIT,FCFPALL_SIM,HIFPANY_SYN,HIFPANYCIRCA_SYN,HIIAG_SYN,HIIAGCIRCA_SYN,HIIALL_SYN,HIIALLCIRCA_SYN,HIINONAG_SYN,HIINONAGCIRCA_SYN,HIPWAG_SYN,HIPWALL_SYN,HIPWBUILDINGS_SYN,HIPWCOMMERCIAL_SYN,HIPWCROPS_SYN,HIPWDOCKS_SYN,HIPWLANDFILL_SYN,HIPWLAWN_SYN,HIPWNONAG_SYN,HIPWORCHARD_SYN,HIPWOTHER_SYN,HIPWPARK_SYN,HIPWPASTURE_SYN,HIPWPOWERLINES_SYN,HIPWROADS_SYN,HIPWWALLS_SYN,HORIZDD,VERTDD,LitCvrQc3OE,LitRipCvrQc3OE,RDis_IX,RVegQc3OE,RVFCCANBIG,RVFCCANBIG_DD,RVFCCANBIG_RIP,RVFCCANBIG_SYN,RVFCCANSMALL,RVFCCANSMALL_DD,RVFCCANSMALL_RIP,RVFCCANSMALL_SYN,RVFCGNDBARE,RVFCGNDBARE_DD,RVFCGNDBARE_RIP,RVFCGNDBARE_SYN,RVFCGNDINUNDATED,RVFCGNDINUNDATED_DD,RVFCGNDINUNDATED_RIP,RVFCGNDINUNDATED_SYN,RVFCGNDNONW,RVFCGNDNONW_DD,RVFCGNDNONW_RIP,RVFCGNDNONW_SYN,RVFCGNDWOODY,RVFCGNDWOODY_DD,RVFCGNDWOODY_RIP,RVFCGNDWOODY_SYN,RVFCUNDNONW,RVFCUNDNONW_DD,RVFCUNDNONW_RIP,RVFCUNDNONW_SYN,RVFCUNDWOODY,RVFCUNDWOODY_DD,RVFCUNDWOODY_RIP,RVFCUNDWOODY_SYN,RVICANOPY,RVICANOPY_DD,RVICANOPY_RIP,RVICANOPY_SYN,RVICANUND,RVICANUND_DD,RVICANUND_RIP,RVICANUND_SYN,RVIGROUND,RVIGROUND_DD,RVIGROUND_RIP,RVIGROUND_SYN,RVIHERBS,RVIHERBS_DD,RVIHERBS_RIP,RVIHERBS_SYN,RVITALLWOOD,RVITALLWOOD_DD,RVITALLWOOD_RIP,RVITALLWOOD_SYN,RVITOTALVEG,RVITOTALVEG_DD,RVITOTALVEG_RIP,RVITOTALVEG_SYN,RVIUNDERSTORY,RVIUNDERSTORY_DD,RVIUNDERSTORY_RIP,RVIUNDERSTORY_SYN,RVIWOODY,RVIWOODY_DD,RVIWOODY_RIP,RVIWOODY_SYN,SIVDEPTH,SIXDEPTH,SSFCBEDROCK,SSFCBOULDERS,SSFCCOBBLE,SSFCGRAVEL,SSFCORGANIC,SSFCOTHER,SSFCSAND,SSFCSILT,SSFCWOOD,SSISITEVARIETY,SSISTAVARIETY,SSVLDIA,SSXLDIA
NLA12_CA-143,1,5/2/2012,0.1825,0.045,0,0.1825,0,0.1,0.9,0,STEEP,NA,6.64,NA,2,0,NA,0.08304762,0.828367407,0.030059878,0.033593423,0,0.024931673,5,3.8,0.018618234,0.218499797,NA,0.2575,0.11,0.21315,NA,0,0,0,NA,0.1275,0.035,0.10085,NA,0,0.0575,0.02185,NA,0,0.005,0.00285,NA,0.06,0.005,0.0347,NA,0.005,0,0.00215,NA,0.025,0.025,0.025,NA,1,1,1,1,0.5,0,0,2.222518519,0.733333333,2.222518519,0.733333333,0,0.160601093,0.150333333,0,0,0.05,0.534,0.083333333,0.212971014,0,0.333333333,0.085666667,0,0,0.687333333,0.298518519,6.64,2,0.348260809,0.139343858,0.594841854,0.070712323,NA,NA,0,NA,NA,0.02,0.06,0.0476,NA,0.526752646,0.099470899,0.297665877,NA,0,0,0,NA,0.300498677,0.710460876,0.588671413,NA,0.172748677,0.190068224,0.113662709,NA,0.0925,0.25,0.213383333,NA,0.07,0.105,0.091566667,NA,0.02,0.06,0.0476,NA,0.1825,0.415,0.35255,NA,0.205,0.4875,0.395366667,NA,0.2475,0.6525,0.549083333,NA,0.09,0.165,0.139166667,NA,0.3875,0.9025,0.747916667,NA,0.1625,0.355,0.30495,NA,0.14,0.25,0.198833333,0.999388702,2.91,0,0,0.049011537,0.708736627,0.039878169,0.101871539,0.058038926,0.006666667,0.035796536,6,5.2,0.043620054,0.163582795
NLA12_AZ-101,1,5/8/2012,0.1,0,0.016666667,0.1,0,0.4,0.1,0.5,NEAR_VERTICAL,NA,1.84,NA,1,0.442944583,NA,0.378535134,0.15655245,0,0.053083397,0.004761905,0.008416988,6,3,0.168898706,0.495216675,NA,0.015,0.03,0.026,NA,0.235,0.2,0.2067,NA,0.06,0.02,0.0264,NA,0.375,0.5,0.48335,NA,0.02,0,0.0055,NA,0.065,0.04,0.0466,NA,0.005,0,0,NA,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1,1.442056161,0.831408179,0,0.595865259,NA,NA,0,0,NA,0.033333333,0.1,0.091111111,NA,0.867896996,0.367531908,0.489906311,NA,0,0,0,NA,0.055920228,0.396826515,0.31281075,NA,0.076182776,0.235641576,0.197282939,NA,0.055,0.167222222,0.15013081,NA,0.055,0.327777778,0.29686919,NA,0.033333333,0.1,0.091111111,NA,0.12,0.5375,0.48,NA,0.1,0.2875,0.2785,NA,0.095,0.3525,0.324366667,NA,0.065,0.3675,0.3286,NA,0.22,0.825,0.7585,NA,0.11,0.5075,0.452666667,NA,0.125,0.4725,0.434133333,2.110818693,7.7,0.359865282,0.213216491,0.251457503,0.107163209,0,0.007580751,0.035131643,0.005555556,0.020029564,7,3.9,0.136150888,0.445783225
NLA12_ND-115,1,5/16/2012,0.5,0.035,0.01,0.37,0,0.5,0.4,0.1,GRADUAL,NA,0,NA,0,0,NA,0.064876361,0.166567031,0.028132559,0.103454043,0.572337142,0.064632864,6,4.3,0.152592624,-0.202373785,NA,0,0.4125,0.4125,NA,0,0.1425,0.1425,NA,0,0.065,0.065,NA,0,0.015,0.015,NA,0,0,0,NA,0,0.09,0.09,NA,0,0,0,NA,0,0,0,NA,0,1,1,0.9,0.9,0.7,0.6,1.75,1,1.05,0.4,0.233333333,0.12704918,0.05,0,0.1,0.05,0.05,0.25,0.092391304,0,0.25,0.15,0.6,0,0.05,0.2,0,0,0.729968474,0.43852312,0.85990991,0.260595353,NA,0,0,0,NA,0,0.005,0.005,NA,0,0.04159974,0.04159974,NA,0,0.055405405,0.055405405,NA,0,0.868590053,0.868590053,NA,0,0.034404801,0.034404801,NA,0,0.23,0.23,NA,0,0.02,0.02,NA,0,0.005,0.005,NA,0,0.255,0.255,NA,0,0.7475,0.7475,NA,0,0.9325,0.9325,NA,0,0.025,0.025,NA,0,0.9925,0.9925,NA,0,0.25,0.25,NA,0,0.06,0.06,0.943044714,2.16,0,0.058510311,0.141118592,0.141690906,0.005555556,0.259507267,0.02767969,0.33400267,0.031935009,7,5.5,0.210391419,-0.047818358
NLA12_AZ-118,1,5/9/2012,0,0,0,0,0,0,0,1,NEAR_VERTICAL,NA,0,NA,0,0.317855512,NA,0.049351844,0.016216216,0.005405405,0,0.611171022,0,5,2.9,0.207884258,0.004417904,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.4025,0.4025,NA,0,0,0,NA,0,0.01,0.01,NA,0,0,0,NA,0,0.03,0.03,NA,0,1,1,1,0.6,0,0,3.4,1.933333333,3.4,1.933333333,0,0.25,0.75,0,0,0.35,0,0.75,0.327956989,0,0.5,0.15,0,0,0.2,0.7,0,0,0.749452082,0.743931508,0.686363636,0.737974723,NA,0,0.1925,0.1925,NA,0,0.045,0.045,NA,0,0.384889255,0.384889255,NA,0,0,0,NA,0,0.558034488,0.558034488,NA,0,0.057076257,0.057076257,NA,0,0.035,0.035,NA,0,0.13,0.13,NA,0,0.2375,0.2375,NA,0,0.4025,0.4025,NA,0,0.4625,0.4625,NA,0,0.4575,0.4575,NA,0,0.3675,0.3675,NA,0,0.865,0.865,NA,0,0.165,0.165,NA,0,0.4075,0.4075,1.539263893,2.84,0,0,0.134418902,0.454503249,0.048394868,0.279027634,0,0.138888889,0,4,2.5,0.355011713,0.191541364
NLA12_UT-103,1,5/9/2012,0,0,0,0,0,0.2,0.7,0.1,STEEP,3.57,0,1.39,0,0.010006254,NA,0.256403837,0.551394667,0.004081633,0.042275295,0.067916321,0.067921994,7,4.7,0.101502221,0.216112431,NA,0,0.01,0.01,NA,0,0.01,0.01,NA,0,0.1725,0.1725,NA,0,0.3025,0.3025,NA,0,0.105,0.105,NA,0,0.125,0.125,NA,0,0.005555556,0.005555556,NA,0,0,0,NA,0,1,1,0.6,0.4,0.25,0.1,1,0.7,0.75,0.6,0.083333333,0.07751938,0,0,0,0,0.4,0,0.075757576,0,0,0,0.25,0,0.35,0,0,0,2.972236496,1.634387973,0.533333333,1.338821713,NA,0,0.1675,0.1675,NA,0,0.1275,0.1275,NA,0,0.134700577,0.134700577,NA,0,0,0,NA,0,0.652291847,0.652291847,NA,0,0.213007576,0.213007576,NA,0,0.045,0.045,NA,0,0.2875,0.2875,NA,0,0.295,0.295,NA,0,0.6275,0.6275,NA,0,0.665,0.665,NA,0,0.535,0.535,NA,0,0.5825,0.5825,NA,0,1.2925,1.2925,NA,0,0.3325,0.3325,NA,0,0.7575,0.7575,1.322833659,3.59,0.031250976,0.01289226,0.276057083,0.391258541,0.00689434,0.073612381,0.055671317,0.043866999,0.108496102,8,6,0.0742777,0.204516692
NLA12_AZ-130,1,5/10/2012,0,0,0,0,0,0.333333333,0.555555556,0.111111111,STEEP,NA,67.125,NA,16.89,0.034248132,NA,0.035915304,0.345996895,0.019070561,0.550970584,0.149073217,0.006410256,7,4.2,0.679953277,-0.193412106,NA,0,0.02,0,NA,0.085,0.022222222,0.066666667,NA,0.015,0.005555556,0.011111111,NA,0.08,0.13,0.061111111,NA,0,0,0,NA,0,0.005,0,NA,0,0,0,NA,0.01,0.01,0.01,NA,1,0.9,1,0.4,0.1,0,0,0.35,0.1,0.35,0.1,0,0.026923077,0,0,0,0.05,0.1,0,0.035,0,0.15,0,0,0,0,0.05,67.125,16.89,0.310713815,0.186555266,0.17962963,0.138455288,NA,NA,0,NA,NA,0,0,0,NA,0.886460152,0.719523275,0.867765414,NA,0,0,0,NA,0.103283437,0.120036342,0.160335365,NA,0.01025641,0.160440383,0.068317601,NA,0.045,0.116666667,0.055208333,NA,0.01,0.269444444,0.019270833,NA,0,0,0,NA,0.055,0.3475,0.066203704,NA,0.08,0.122222222,0.088888889,NA,0.115,0.166666667,0.121296296,NA,0.01,0.2425,0.01712963,NA,0.135,0.4575,0.155092593,NA,0.055,0.386111111,0.074479167,NA,0.02,0.3075,0.033796296,4.364757853,4.611111111,0.117214926,0.035809418,0.113497204,0.375261112,0.009529212,0.102553598,0.230657049,0.01440726,0.004651163,8,4.9,0.19048298,0.185416797
NLA12_UT-101,1,5/15/2012,0.06,0.01,0,0.055,0.2,0.8,0,0,GRADUAL,NA,57.4,NA,1.53,0,NA,0.083693951,0.232663549,0.043347723,0.272219364,0.368075413,0,5,4.5,0.165334202,-0.103411819,NA,0,0.06,0,NA,0.1575,0.04,0.1575,NA,0.04,0,0.04,NA,0,0.025,0,NA,0,0,0,NA,0,0,0,NA,0.02,0,0.02,NA,0,0,0,NA,0.8,0.9,0.8,0.9,0.7,0,0,1.45,0.7,1.45,0.7,0,0.111538462,0.15,0,0,0.05,0.75,0,0.145,0,0,0.15,0,0,0.3,0.05,57.4,1.53,0.229141549,0.08818826,0.645918367,0.058948124,NA,0,0.1925,0,NA,0,0.1775,0,NA,0.891299691,0.31928379,0.891299691,NA,0.005128205,0,0.005128205,NA,0.103572104,0.583819222,0.103572104,NA,0,0.096896988,0,NA,0,0.145,0,NA,0,0.23,0,NA,0,0.37,0,NA,0,0.745,0,NA,0.095,0.575,0.095,NA,0.09,0.635,0.09,NA,0,0.6,0,NA,0.09,1.32,0.09,NA,0,0.375,0,NA,0,0.685,0,0.641958808,0.99,0,0.081810345,0.069938845,0.285842542,0.163283582,0.012452107,0.155101449,0.21514769,0.016423441,7,4.7,0.257230268,0.016905123
NLA12_ND-112,1,5/15/2012,0,0.025,0,0.005,0.125,0.5,0.375,0,GRADUAL,NA,0,NA,0,0,NA,0.11663346,0.254710992,0,0.553899247,0.069628096,0.005128205,5,3.8,0.065961955,0.022305079,NA,0,0.0675,0.0675,NA,0,0.11,0.11,NA,0,0.035,0.035,NA,0,0.03,0.03,NA,0,0,0,NA,0,0.04,0.04,NA,0,0.005,0.005,NA,0,0,0,NA,0,0.7,0.7,1,0.9,1.05,0.9,1.35,0.9,0.3,0,0.35,0.1125,0,0,0.5,0.05,0.1,0,0.033333333,0,NA,0,0.55,0.1,0.05,0,0,0,0.715921136,0.288113272,0.873664122,0.129365438,NA,0,0,0,NA,0,0,0,NA,0,0.346001591,0.346001591,NA,0,0.017430162,0.017430162,NA,0,0.596930382,0.596930382,NA,0,0.039637864,0.039637864,NA,0,0.0875,0.0875,NA,0,0.005,0.005,NA,0,0,0,NA,0,0.0925,0.0925,NA,0,0.5675,0.5675,NA,0,0.605,0.605,NA,0,0.005,0.005,NA,0,0.645,0.645,NA,0,0.0925,0.0925,NA,0,0.04,0.04,0.131656118,1.02,0,0.100670862,0.104569469,0.246565739,0.008959681,0.015969761,0.442747026,0.047823927,0.032693534,7,5.1,0.115093758,0.085996235
NLA12_GA-112,1,5/16/2012,0.105,0.1575,0,0.0875,0.2,0.8,0,0,GRADUAL,NA,0,NA,0,0,NA,0.003225806,0.014236365,0.219460525,0.186784861,0.533695008,0.042597435,6,4.1,0.057824662,-0.320685142,NA,0,0.125,0.125,NA,0,0,0,NA,0,0.04,0.04,NA,0,0,0,NA,0,0,0,NA,0,0.11,0.11,NA,0,0.005,0.005,NA,0,0,0,NA,0,1,1,1,0.8,0,0,1.85,1.3,1.85,1.3,0,0.142307692,0.4,0,0,0.15,0.2,0.7,0.185,0,0.25,0,0,0,0.05,0.1,0,0,0.529181541,0.773460449,0.724561404,0.996077036,NA,0,0.095,0.095,NA,0,0.2375,0.2375,NA,0,0.055952381,0.055952381,NA,0,0.15677794,0.15677794,NA,0,0.442104293,0.442104293,NA,0,0.345165386,0.345165386,NA,0,0.1725,0.1725,NA,0,0.2375,0.2375,NA,0,0.3325,0.3325,NA,0,0.7425,0.7425,NA,0,0.7,0.7,NA,0,0.5125,0.5125,NA,0,0.57,0.57,NA,0,1.305,1.305,NA,0,0.41,0.41,NA,0,0.7925,0.7925,0.697694616,1.37,0,0,0.004878049,0.017491289,0.280563557,0.146288164,0.125644219,0.383607496,0.041527226,6,5.4,0.051040726,-0.262346834
NLA12_UT-108,1,5/17/2012,0.355,0.09,0,0.3225,0.5,0.3,0.2,0,FLAT,NA,0.91,NA,0.24,0,NA,0.164253943,0.18120366,0.020713186,0.138997456,0.541582608,0.007407407,6,3.4,0.288512688,-0.117853644,NA,0.03,0.355,0.345275,NA,0.0575,0.0575,0.0575,NA,0.01,0.01,0.0122,NA,0.005,0.005,0.005,NA,0.03,0.025,0.0262,NA,0.035,0.13,0.1254,NA,0,0,0,NA,0,0.005,0.005,NA,0.4,0.9,1,1,0.5,0.446666667,0,2.113592593,0.922222222,1.666925926,0.922222222,0.148888889,0.16002584,0.05,0,0,0,0.493333333,0,0.163400673,0,0.492592593,0.1,0.446666667,0,0.431,0.1,0.91,0.24,1.447217519,0.399262676,0.647964582,0.171854794,NA,0,0,0,NA,0,0.005,0.004333333,NA,0.416374374,0.195547378,0.218250932,NA,0,0.111727244,0.111727244,NA,0.076218218,0.664064158,0.643117072,NA,0.007407407,0.028661219,0.026904751,NA,0.01,0.08,0.075533333,NA,0.03,0.06,0.0555,NA,0,0.005,0.004333333,NA,0.04,0.145,0.135366667,NA,0.05,0.8375,0.8136,NA,0.055,0.75,0.724633333,NA,0.03,0.065,0.059833333,NA,0.09,0.845,0.811466667,NA,0.04,0.14,0.131033333,NA,0.035,0.095,0.086833333,1.61176232,1.3,0,0.028333333,0.087369883,0.168905682,0.034518598,0.261040697,0.12486431,0.281784425,0.013183071,7,4.9,0.250858712,-0.08939329
