SITE_ID,VISIT_NO,DATE_COL,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_SCORE,AGR_STRING,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,IND_SCORE,IND_STRING,HYDRO_TYPE,LAKE_LEVEL,LEVEL_CHANGE_M,LEVEL_CHANGES,MAN_DRINKING_WATER,MAN_LEVEL_FLUCTUATIONS,MAN_SCORE,OUTLET_DAMS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_SCORE,REC_STRING,REC_TRAILS,REC_TRASH,RECREATIONAL_ACTIVITY,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SCORE,RES_SEWAGE,RES_STRING,SWIMMABILITY,TROPHIC_STATE
NLA12_MS-116,1,5-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,5,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ZERO,NA,NA,NA,NA,3,ARTIFICIAL,4,0-05,25-May,0-05,75-100,25-75,0-05,25-75,25-May,NA,L,NA,L,NA,2,LL,NA,NA,NA,GOOD,NA,NA,NA,M,L,L,L,6,NA,MLLL,GOOD,MESOTROPHIC
NLA12_MS-R03,1,6-Jun-12,NA,NA,L,NA,NA,NA,1,L,NA,5,EXCELLENT,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ZERO,NA,NA,NA,NA,1,ARTIFICIAL,5,0-05,0-05,0-05,25-75,25-75,0-05,25-75,25-May,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,NA,NA,NA,NA,L,NA,L,2,NA,LL,FAIR,MESOTROPHIC
NLA12_MS-119,1,7-Jun-12,NA,NA,L,NA,L,NA,2,LL,NA,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ZERO,NA,NA,NA,NA,1,ARTIFICIAL,3,25-May,0-05,0-05,25-May,75-100,0-05,25-75,0-05,L,NA,NA,NA,NA,2,LL,L,NA,NA,FAIR,NA,L,NA,M,NA,L,L,6,NA,LMLL,FAIR,MESOTROPHIC
NLA12_VT-101,1,18-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,4,GOOD,NA,NA,NA,L,NA,NA,NA,NA,1,L,DRAINAGE,ZERO,NA,NA,NA,NA,4,ARTIFICIAL,2,25-May,25-May,25-75,25-May,25-75,25-75,25-May,25-May,NA,NA,L,NA,NA,2,LL,NA,L,NA,GOOD,NA,L,NA,L,L,L,L,5,NA,LLLLL,GOOD,MESOTROPHIC
NLA12_TX-141,1,18-Jun-12,NA,NA,NA,NA,NA,NA,3,M,M,2,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ZERO,NA,NA,NA,NA,1,ARTIFICIAL,3,0-05,25-May,25-May,25-75,25-May,25-75,25-May,25-May,NA,NA,NA,L,NA,2,LL,NA,L,NA,FAIR,NA,NA,NA,L,NA,M,L,5,NA,LML,FAIR,MESOTROPHIC
NLA12_TX-169,1,19-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,4,POOR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ELEVATION CHANGE,3,3,NA,H,6,ARTIFICIAL,4,NA,NA,25-May,25-75,0-05,25-May,0-05,0-05,NA,NA,NA,NA,NA,1,L,NA,L,NA,GOOD,NA,NA,NA,L,NA,L,NA,2,NA,LL,GOOD,MESOTROPHIC
NLA12_OR-133,1,20-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,2,POOR,L,NA,L,M,NA,NA,NA,NA,5,LLM,RESERVOIR,ZERO,NA,NA,NA,NA,0,NONE,1,0-05,25-May,0-05,0-05,25-75,0-05,75-100,0-05,NA,NA,NA,NA,NA,3,M,M,NA,NA,FAIR,L,L,NA,M,L,M,M,13,L,LLMLMML,UNSWIMMABLE,EUTROPHIC
NLA12_OR-131,1,21-Jun-12,NA,NA,NA,NA,NA,NA,0,NA,NA,3,FAIR,L,NA,L,L,NA,NA,NA,NA,3,LLL,RESERVOIR,ZERO,NA,NA,NA,NA,0,NONE,2,0-05,0-05,0-05,0-05,25-May,0-05,75-100,0-05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FAIR,NA,L,NA,L,L,L,L,5,NA,LLLLL,UNSWIMMABLE,EUTROPHIC
NLA12_TX-158,1,24-Jun-12,M,NA,NA,NA,NA,NA,6,MM,M,3,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,ZERO,NA,NA,NA,NA,0,ARTIFICIAL,2,0-05,0-05,0-05,25-May,25-May,0-05,25-May,75-100,NA,NA,NA,NA,NA,1,L,NA,L,NA,POOR,L,NA,NA,NA,M,NA,L,5,NA,LML,UNSWIMMABLE,EUTROPHIC
NLA12_ID-107,1,25-Jun-12,NA,NA,L,NA,NA,NA,4,LM,M,1,FAIR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RESERVOIR,YES,3.5,3.5,NA,M,3,ARTIFICIAL,2,0-05,75-100,0-05,0-05,0-05,0-05,25-May,25-75,M,NA,NA,NA,NA,8,MH,NA,H,NA,POOR,NA,NA,L,NA,NA,L,L,3,NA,LLL,UNSWIMMABLE,MESOTROPHIC
