SITE_ID,VISIT_NO,UID,INDEX_SITE_DEPTH
NLA12_AL-101,1,6300,13.1
NLA12_AL-101,2,7374,13.7
NLA12_AL-102,1,7228,17.3
NLA12_AL-103,1,7292,6.5
NLA12_AL-104,1,7368,19.8
NLA12_AL-105,1,6267,4.6
NLA12_AL-105,2,7394,5
NLA12_AL-112,1,7375,3.8
NLA12_AL-113,1,7769,2.5
NLA12_AL-114,1,7459,3.5
NLA12_AR-101,1,7392,1.9
NLA12_AR-101,2,8021,2.1
NLA12_AR-102,1,8144,1.3
NLA12_AR-103,1,8217,13.4
NLA12_AR-104,1,7812,9.1
NLA12_AR-105,1,7409,2.3
NLA12_AR-105,2,8022,2.6
NLA12_AR-106,1,8121,5.4
NLA12_AR-109,1,7811,7.8
NLA12_AR-111,1,8145,1.2
NLA12_AZ-101,1,6187,23.3
NLA12_AZ-101,2,6612,24.4
NLA12_AZ-102,1,8648,1.6
NLA12_AZ-103,1,7821,3.6
NLA12_AZ-106,1,8218,4.8
NLA12_AZ-107,1,7475,3.6
NLA12_AZ-118,1,6192,2.4
NLA12_AZ-123,1,8219,1.8
NLA12_AZ-127,1,6281,4.3
NLA12_AZ-130,1,6195,12.7
NLA12_AZ-130,2,8198,21.2
NLA12_AZ-140,1,7290,4.1
NLA12_AZ-143,1,8320,4
NLA12_AZ-145,1,8016,3
NLA12_AZ-157,1,8251,1.6
NLA12_CA-101,1,7020,12
NLA12_CA-101,2,8759,9.2
NLA12_CA-102,1,8264,2.2
NLA12_CA-103,1,7916,19.8
NLA12_CA-104,1,8483,29.9
NLA12_CA-105,1,7126,4.3
NLA12_CA-106,1,6250,2.7
NLA12_CA-107,1,8466,8.3
NLA12_CA-108,1,7796,14
NLA12_CA-111,1,7341,5.1
NLA12_CA-111,2,7937,5.4
NLA12_CA-112,1,7424,6.3
NLA12_CA-116,1,6559,34.5
NLA12_CA-119,1,7740,33
NLA12_CA-121,1,6659,14.3
NLA12_CA-123,1,7989,5.7
NLA12_CA-128,1,7563,3.5
NLA12_CA-132,1,6596,9.6
NLA12_CA-135,1,7988,16
NLA12_CA-138,1,8424,1.3
NLA12_CA-141,1,8148,3.7
NLA12_CA-143,1,6160,8.3
NLA12_CA-145,1,7529,3.5
NLA12_CA-154,1,7229,3
NLA12_CA-156,1,8265,2.7
NLA12_CA-157,1,6642,7.2
NLA12_CA-166,1,7423,6.7
NLA12_CA-167,1,7263,8.3
NLA12_CA-168,1,6235,24.1
NLA12_CA-172,1,6279,12.8
NLA12_CA-174,1,6558,6
NLA12_CA-180,1,7064,29.1
NLA12_CA-181,1,8333,5.8
NLA12_CA-188,1,7712,29
NLA12_CA-190,1,7208,2
NLA12_CA-200,1,7366,10.2
NLA12_CA-206,1,8076,45
NLA12_CA-208,1,8149,1.5
NLA12_CA-212,1,8398,14.8
NLA12_CA-223,1,8779,25.8
NLA12_CO-101,1,7173,2.2
NLA12_CO-101,2,8129,1.8
NLA12_CO-102,1,6795,14
NLA12_CO-103,1,8505,5
NLA12_CO-104,1,8596,6.7
NLA12_CO-105,1,8325,4.4
NLA12_CO-106,1,7325,7.2
NLA12_CO-107,1,8297,16.4
NLA12_CO-108,1,6976,4.9
NLA12_CO-109,1,8184,12.5
NLA12_CO-110,1,6342,4
NLA12_CO-111,1,8477,6
NLA12_CO-114,1,6874,5.1
NLA12_CO-115,1,7102,3.3
NLA12_CO-117,1,7686,5
NLA12_CO-119,1,7322,30
NLA12_CO-121,1,7684,3.1
NLA12_CO-124,1,6753,4.8
NLA12_CO-125,1,7476,6.5
NLA12_CO-127,1,8414,5.3
NLA12_CO-129,1,7395,2.1
NLA12_CO-130,1,7957,5.8
NLA12_CO-131,1,6875,7.6
NLA12_CO-131,2,8025,7.6
NLA12_CO-133,1,7827,2.4
NLA12_CT-101,1,6689,1.9
NLA12_CT-101,2,8298,2.5
NLA12_CT-102,1,6854,19.3
NLA12_CT-103,1,7800,23.6
NLA12_CT-104,1,7091,5.7
NLA12_CT-105,1,8500,6.3
NLA12_CT-107,1,7450,4.5
NLA12_CT-108,1,7953,2.5
NLA12_CT-115,1,6813,6.7
NLA12_CT-115,2,8412,6.7
NLA12_CT-118,1,7224,9.2
NLA12_CT-126,1,7582,3.9
NLA12_DE-101,1,7729,1.7
NLA12_DE-101,2,8654,1.7
NLA12_DE-102,1,6838,1.3
NLA12_DE-103,1,7972,1.7
NLA12_DE-104,1,8115,1.9
NLA12_DE-105,1,6780,2.4
NLA12_DE-105,2,8620,2.2
NLA12_DE-107,1,8592,1.4
NLA12_DE-121,1,8469,1.5
NLA12_FL-101,1,6212,4.4
NLA12_FL-101,2,8062,3.7
NLA12_FL-102,1,6222,3.8
NLA12_FL-102,2,7826,3.9
NLA12_FL-103,1,7530,1.2
NLA12_FL-104,1,6233,6.7
NLA12_FL-105,1,7839,3.5
NLA12_FL-106,1,6232,2.8
NLA12_FL-107,1,6228,6.1
NLA12_FL-108,1,7531,5.5
NLA12_FL-109,1,7836,2.4
NLA12_FL-110,1,6231,2.6
NLA12_FL-110,2,7908,2.8
NLA12_FL-114,1,6251,6.6
NLA12_FL-123,1,6218,17.3
NLA12_FL-123,2,8061,12.5
