SITE_ID,BASINAreaSqKM,OPEN_11_km2,ICE_11_km2,DEVOPEN_11_km2,DEVLOW_11_km2,DEVMED_11_km2,DEVHIGH_11_km2,BARREN_11_km2,DECID_11_km2,CONIF_11_km2,MIXED_11_km2,SHRUBLAND_11_km2,GRASS_11_km2,PASTURE_11_km2,CROPS_11_km2,WDYWET_11_km2,EMHERBWET_11_km2
NLA12_CA-174,0.0189,0.0135,0,0,9e-4,0.0036,9e-4,0,0,0,0,0,0,0,0,0,0
NLA12_SD-202,0.0279,0.0279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLA12_TX-154,0.0306,0,0,0,0,0,0,0,0,0,0,0,0.0288,0.0018,0,0,0
NLA12_AZ-112,0.0333,0.0126,0,0.0045,9e-4,0,0,0,0,0,0,0,0,0,0.0153,0,0
NLA12_IL-110,0.036,0.0135,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0,0
NLA12_MI-163,0.036,0.0045,0,0.0018,0.0171,0.0054,0,0,0,0,0,0,0,0,0,0.0072,0
NLA12_UT-406,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0.0144,0,0,0.0216
NLA12_UT-197,0.0369,0,0,0,0,0,0,0,0,0,0,0.0279,0.0081,9e-4,0,0,0
NLA12_WA-153,0.0387,0.0108,0,0,0.0027,0,0,0,0,0,0.0045,0.0054,0,0.0054,0,0.0072,0.0027
NLA12_UT-334,0.0405,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135
NLA12_MI-174,0.0468,0.0279,0,0,0,0,0,0,0.0045,0,0,0,0,0,0,0.0135,9e-4
NLA12_UT-362,0.0486,0,0,0,0,0,0,0,0,0,0,0.0477,9e-4,0,0,0,0
NLA12_CA-143,0.0495,0.0207,0,0.0045,9e-4,0.0234,0,0,0,0,0,0,0,0,0,0,0
NLA12_IN-132,0.0513,0.0108,0,0,0,0,0,0,0.0045,0,0,0,0.009,0,0.027,0,0
NLA12_ND-170,0.054,0.0153,0,0,0,0,0,0,0.0027,0,0,0.0054,0.0261,0,0,0,0.0045
NLA12_NE-164,0.0576,0.0126,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0
NLA12_UT-171,0.0603,0.0153,0,0,0,0,0,0.0045,0.0036,0.0243,0.0027,0.0099,0,0,0,0,0
NLA12_UT-301,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,0.0648,0,0,0
